T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     1081.808                -332.734              
200     666.329                 -331.274              
298.15  612.044                 -328.444              
300     612.056                 -328.373              
400     637.736                 -326.027              
500     688.496                 -320.639              
600     747.532                 -315.571              
700     808.454                 -311.244              
800     868.614                 -307.585              
900     926.944                 -304.702              
1000    983.070                 -302.997              
1100    1036.931                -302.930              
1200    1088.602                -304.701              
1300    1138.215                -308.594              
1400    1185.923                -314.817              
1500    1231.877                -323.452              
1600    1276.225                -334.571              
1700    1319.099                -348.224              
1800    1360.622                -364.452              
1900    1400.903                -383.294              
2000    1440.043                -404.778              
