T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     41.746                  0.                    
200     25.680                  0.                    
250     23.998                  0.                    
298.15  23.618                  0.                    
300     23.619                  0.                    
350     23.908                  0.                    
400     24.562                  0.                    
450     25.421                  0.                    
500     26.398                  0.                    
600     28.513                  0.                    
700     30.686                  0.                    
800     32.827                  0.                    
900     34.902                  0.                    
1000    36.901                  0.                    
1100    38.828                  0.                    
1200    40.687                  0.                    
1300    42.485                  0.                    
1400    44.231                  0.                    
1500    45.931                  0.                    
1600    47.589                  0.                    
1700    49.212                  0.                    
1800    50.804                  0.                    
1900    52.367                  0.                    
2000    53.905                  0.                    
2100    55.422                  0.                    
2200    57.216                  0.                    
2300    59.059                  0.                    
2400    60.819                  0.                    
2500    62.505                  0.                    
2600    64.121                  0.                    
2700    65.673                  0.                    
2800    67.167                  0.                    
2900    68.606                  0.                    
3000    69.994                  339.122               
3100    71.335                  -338.294              
3200    72.632                  -337.516              
3300    73.888                  -336.786              
3400    75.105                  -336.104              
3500    76.285                  -335.469              
