T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  169.836                 458.402               
300     169.837                 458.419               
350     170.090                 456.803               
400     170.652                 457.297               
450     171.379                 457.805               
500     172.192                 458.322               
600     173.915                 459.372               
700     175.644                 460.433               
800     177.313                 461.497               
900     178.900                 462.560               
1000    180.402                 396.491               
1100    181.820                 398.569               
1200    183.159                 400.647               
1300    184.425                 402.725               
1400    185.625                 404.802               
1500    186.764                 406.876               
1600    187.847                 408.947               
1700    188.880                 411.013               
1800    189.865                 413.070               
1900    190.808                 415.116               
2000    191.711                 417.148               
2100    192.578                 419.160               
2200    193.410                 421.148               
2300    194.212                 423.106               
2400    194.984                 425.030               
2500    195.730                 426.914               
2600    196.449                 428.751               
2700    197.146                 430.535               
2800    197.820                 432.260               
2900    198.473                 433.920               
3000    199.106                 435.508               
3100    199.721                 437.016               
3200    200.319                 438.439               
3300    200.899                 439.810               
3400    201.465                 441.060               
3500    202.015                 442.209               
3600    202.552                 443.252               
3700    203.075                 444.198               
3800    203.585                 445.032               
3900    204.083                 445.763               
4000    204.569                 446.356               
4100    205.045                 446.826               
4200    205.510                 447.172               
4300    205.965                 447.392               
4400    206.410                 447.777               
4500    206.846                 448.353               
4600    207.272                 448.368               
4700    207.691                 448.280               
4800    208.101                 448.093               
4900    208.503                 447.811               
5000    208.898                 447.438               
5100    209.285                 446.978               
5200    209.665                 446.968               
5300    210.039                 446.418               
5400    210.406                 446.081               
5500    210.766                 445.593               
5600    211.121                 444.914               
5700    211.469                 444.190               
5800    211.812                 443.426               
5900    212.149                 442.629               
6000    212.481                 441.805               
