T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  158.259                 235.365               
300     158.260                 235.329               
350     158.632                 234.363               
400     159.466                 233.432               
450     160.557                 232.534               
500     161.791                 231.667               
600     164.449                 230.009               
700     167.166                 228.419               
800     169.832                 226.865               
900     172.404                 225.322               
1000    174.867                 223.773               
1100    177.218                 222.210               
1200    179.459                 220.627               
1300    181.598                 219.022               
1400    183.639                 217.395               
1500    185.590                 215.746               
1600    187.457                 214.078               
1700    189.246                 212.392               
1800    190.964                 210.689               
1900    192.615                 208.971               
2000    194.204                 207.240               
2100    195.736                 205.497               
2200    197.214                 203.744               
2300    198.642                 201.982               
2400    200.024                 200.212               
2500    201.361                 198.435               
2600    202.658                 196.652               
2700    203.916                 194.862               
2800    205.138                 193.068               
2900    206.325                 191.270               
3000    207.480                 189.467               
3100    208.605                 187.661               
3200    209.700                 185.851               
3300    210.769                 184.038               
3400    211.811                 182.222               
3500    212.828                 180.403               
3600    213.822                 178.581               
3700    214.794                 176.756               
3800    215.744                 174.929               
3900    216.674                 173.099               
4000    217.584                 171.266               
4100    218.476                 169.430               
4200    219.349                 167.592               
4300    220.206                 165.751               
4400    221.046                 163.908               
4500    221.871                 162.063               
4600    222.680                 160.215               
4700    223.475                 158.366               
4800    224.256                 156.514               
4900    225.023                 154.662               
5000    225.778                 152.809               
5100    226.519                 150.955               
5200    227.249                 149.101               
5300    227.967                 147.247               
5400    228.674                 145.395               
5500    229.370                 143.544               
5600    230.055                 141.696               
5700    230.731                 139.852               
5800    231.396                 138.011               
5900    232.052                 136.175               
6000    232.698                 134.345               
