T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  104.600                 -832.616              
300     104.602                 -832.636              
400     108.809                 -833.040              
500     117.242                 -832.474              
600     127.205                 -831.150              
700     137.669                 -829.323              
800     148.166                 -827.216              
900     158.484                 -825.055              
1000    168.520                 -823.237              
1100    178.231                 -822.032              
1200    187.601                 -820.081              
1300    196.626                 -816.357              
1400    205.315                 -812.653              
1500    213.677                 -809.013              
