T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     257.352                 -96.503               
200     229.983                 -97.425               
250     227.357                 -97.889               
298.15  226.772                 -98.324               
300     226.772                 -98.340               
350     227.215                 -98.766               
400     228.215                 -99.161               
450     229.528                 -99.524               
500     231.022                 -99.857               
600     234.263                 -100.448              
700     237.601                 -100.956              
800     240.899                 -101.396              
900     244.101                 -101.779              
1000    247.184                 -102.114              
1100    250.143                 -102.408              
1200    252.979                 -102.666              
1300    255.698                 -102.896              
1400    258.305                 -103.103              
1500    260.809                 -103.292              
1600    263.215                 -103.468              
1700    265.530                 -103.634              
1800    267.760                 -103.794              
1900    269.911                 -103.951              
2000    271.988                 -104.105              
2100    273.995                 -104.257              
2200    275.938                 -104.409              
2300    277.819                 -104.561              
2400    279.642                 -104.712              
2500    281.412                 -104.861              
2600    283.130                 -105.009              
2700    284.800                 -105.154              
2800    286.424                 -105.296              
2900    288.005                 -105.433              
3000    289.545                 -105.566              
3100    291.045                 -105.693              
3200    292.508                 -105.814              
3300    293.936                 -105.928              
3400    295.331                 -106.035              
3500    296.693                 -106.135              
3600    298.024                 -106.228              
3700    299.326                 -106.313              
3800    300.599                 -106.390              
3900    301.846                 -106.459              
4000    303.067                 -106.522              
4100    304.262                 -106.577              
4200    305.434                 -106.625              
4300    306.583                 -106.666              
4400    307.710                 -106.702              
4500    308.816                 -106.731              
4600    309.902                 -106.755              
4700    310.967                 -106.774              
4800    312.014                 -106.789              
4900    313.042                 -106.800              
5000    314.052                 -106.807              
5100    315.046                 -106.812              
5200    316.023                 -106.814              
5300    316.983                 -106.814              
5400    317.929                 -106.813              
5500    318.859                 -106.811              
5600    319.774                 -106.809              
5700    320.676                 -106.807              
5800    321.564                 -106.806              
5900    322.438                 -106.805              
6000    323.300                 -106.807              
