T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  185.040                 1278.950              
300     185.041                 1278.979              
350     185.294                 1279.758              
400     185.856                 1280.512              
450     186.583                 1281.241              
500     187.396                 1281.946              
600     189.120                 1283.290              
700     190.848                 1284.545              
800     192.517                 1285.716              
900     194.105                 1286.802              
1000    195.606                 1287.806              
1100    197.024                 1288.729              
1200    198.363                 1289.569              
1300    199.629                 1290.329              
1400    200.829                 1291.016              
1500    201.968                 1291.635              
1600    203.052                 1292.186              
1700    204.085                 1292.671              
1800    205.071                 1293.092              
1900    206.015                 1293.454              
2000    206.920                 1293.759              
2100    207.790                 1288.363              
2200    208.627                 1289.117              
2300    209.434                 1289.808              
2400    210.214                 1290.444              
2500    210.970                 1290.946              
2600    211.702                 1262.291              
2700    212.413                 1262.982              
2800    213.106                 1263.739              
2900    213.781                 1264.571              
3000    214.441                 1265.483              
3100    215.086                 1266.484              
3200    215.719                 1267.579              
3300    216.340                 1268.776              
3400    216.951                 1270.078              
3500    217.553                 1271.490              
3600    218.146                 1273.017              
3700    218.732                 1274.659              
3800    219.311                 1276.420              
3900    219.884                 1278.298              
4000    220.451                 1280.295              
4100    221.014                 1282.409              
4200    221.572                 1284.636              
4300    222.126                 1286.975              
4400    222.677                 1289.422              
4500    223.224                 1291.971              
4600    223.768                 1294.618              
4700    224.310                 1297.358              
4800    224.848                 1300.183              
4900    225.384                 1303.088              
5000    225.918                 745.848               
5100    226.449                 748.821               
5200    226.977                 751.810               
5300    227.503                 754.807               
5400    228.027                 757.804               
5500    228.548                 760.795               
5600    229.066                 763.772               
5700    229.582                 766.730               
5800    230.095                 769.662               
5900    230.606                 772.562               
6000    231.114                 775.424               
