T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  237.120                 -3289.042             
300     237.124                 -3289.110             
400     244.287                 -3296.965             
500     258.908                 -3298.781             
600     276.416                 -3299.623             
700     294.959                 -3297.277             
800     315.000                 -3285.126             
900     336.181                 -3271.070             
1000    357.866                 -3255.357             
1100    379.664                 3396.492              
1200    401.312                 -3376.892             
1300    422.651                 -3356.496             
1400    443.591                 -3335.372             
1500    464.082                 -3313.601             
1600    484.096                 -3291.314             
1700    503.622                 -3268.619             
1800    522.657                 -3245.569             
1900    541.207                 -3222.218             
2000    559.282                 -3198.621             
2100    576.895                 -3174.868             
2200    594.059                 -3151.032             
2300    610.789                 -3127.143             
2400    627.099                 -3304.266             
2500    643.005                 -3280.672             
2600    658.523                 -3256.986             
2700    673.668                 -3233.240             
2800    688.453                 -3209.468             
2900    702.893                 -3185.701             
3000    717.001                 -3161.975             
