T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  56.484                  -632.621              
300     56.485                  -632.635              
400     59.419                  -633.098              
500     65.316                  -639.337              
600     72.280                  -639.045              
700     79.580                  -638.104              
800     86.905                  -636.605              
900     94.120                  -634.617              
1000    101.164                 -632.144              
1100    108.017                 -629.184              
1200    114.674                 -625.740              
1300    121.141                 -621.818              
1400    127.426                 -617.419              
1500    133.540                 -612.541              
1600    139.492                 -607.190              
1700    145.295                 -891.841              
1800    150.957                 -884.052              
1900    156.488                 -875.822              
2000    161.897                 -867.160              
