T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  93.711                  -1107.739             
300     93.712                  -1107.758             
400     96.578                  -1108.267             
500     102.372                 -1111.362             
600     109.189                 -1111.172             
700     116.270                 -1110.771             
800     123.294                 -1110.285             
900     130.124                 -1109.801             
1000    136.702                 -1119.953             
1100    143.013                 -1119.234             
1200    149.058                 -1118.391             
1300    154.848                 -1117.427             
1400    160.398                 -1116.343             
1500    165.732                 -1114.319             
1600    170.913                 -1111.459             
1700    175.947                 -1253.851             
1800    180.832                 -1250.271             
1900    185.570                 -1246.715             
2000    190.164                 1243.184              
2100    194.620                 -1239.679             
2200    198.943                 -1236.201             
2300    203.137                 -1232.750             
2400    207.210                 -1229.327             
2500    211.166                 -1225.934             
2600    215.011                 -1222.571             
2700    218.750                 -1219.240             
2800    222.388                 -1509.843             
2900    225.930                 -1505.483             
3000    229.380                 -1501.159             
3100    232.743                 -1496.871             
3200    236.021                 -1492.620             
3300    239.220                 -1488.408             
3400    242.343                 -1484.235             
3500    245.393                 -1480.103             
3600    248.373                 -1476.013             
3700    251.286                 -1471.966             
3800    254.135                 -1467.963             
3900    256.922                 -1464.005             
4000    259.651                 -1460.094             
