T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     124.420                 -1544.271             
200     74.617                  -1547.531             
298.15  67.768                  -1548.917             
300     67.770                  -1548.930             
400     71.160                  -1549.184             
500     77.915                  -1548.910             
600     85.812                  -1548.358             
700     94.008                  -1547.624             
800     102.152                 -1546.754             
900     110.097                 -1545.768             
1000    117.854                 -1552.726             
1100    125.298                 -1552.043             
1200    132.414                 -1551.461             
1300    139.250                 -1549.254             
1400    145.836                 -1676.053             
1500    152.126                 -1674.175             
1600    158.141                 -1672.377             
1700    163.899                 -1720.835             
1800    169.417                 -1718.964             
1900    174.712                 1717.128              
2000    179.801                 -1715.327             
2100    184.696                 -1713.561             
2200    189.411                 -1711.829             
2300    193.959                 -1710.131             
2400    198.349                 -1708.467             
2500    202.592                 -1706.838             
