T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     53.066                  0.                    
200     34.888                  0.                    
250     33.076                  0.                    
298.15  32.671                  0.                    
300     32.671                  0.                    
350     32.977                  0.                    
400     33.664                  0.                    
450     34.562                  0.                    
500     35.578                  0.                    
600     37.764                  0.                    
700     39.999                  0.                    
800     42.200                  0.                    
900     44.336                  0.                    
1000    46.401                  8.590                 
1100    48.394                  -8.589                
1200    50.322                  -8.402                
1300    52.192                  -8.011                
1400    54.011                  -134.803              
1500    55.786                  -132.588              
1600    57.524                  -130.106              
1700    59.230                  -127.336              
1800    60.910                  -124.256              
1900    62.568                  -120.846              
2000    64.210                  -117.084              
