T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  74.281                  -729.165              
300     74.282                  -729.153              
400     77.250                  -728.175              
500     83.088                  -726.812              
600     89.843                  -725.239              
700     96.806                  -723.469              
800     103.700                 -721.470              
900     110.417                 -719.204              
1000    116.922                 -716.637              
1100    123.208                 -713.746              
1200    129.284                 -710.511              
1300    135.164                 -706.919              
1400    140.863                 -702.961              
1500    146.396                 -698.631              
