T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     313.645                 15.094                
200     276.802                 13.211                
250     273.042                 12.578                
298.15  272.187                 12.134                
300     272.188                 12.119                
350     272.850                 11.807                
400     274.360                 11.617                
450     276.364                 11.527                
500     278.659                 11.519                
600     283.681                 11.691                
700     288.894                 12.043                
800     294.074                 12.513                
900     299.121                 13.062                
1000    303.990                 13.663                
1100    308.668                 14.299                
1200    313.151                 14.956                
1300    317.445                 15.627                
1400    321.558                 16.304                
1500    325.500                 16.982                
1600    329.282                 17.657                
1700    332.914                 18.324                
1800    336.405                 18.981                
1900    339.764                 19.626                
2000    343.001                 20.254                
2100    346.123                 20.865                
2200    349.137                 21.457                
2300    352.050                 22.027                
2400    354.868                 22.574                
2500    357.597                 23.097                
2600    360.242                 23.596                
2700    362.808                 24.068                
2800    365.299                 24.515                
2900    367.719                 24.935                
3000    370.073                 25.329                
3100    372.363                 25.698                
3200    374.593                 26.041                
3300    376.766                 26.360                
3400    378.884                 26.656                
3500    380.951                 26.929                
3600    382.968                 27.182                
3700    384.938                 27.415                
3800    386.863                 27.630                
3900    388.745                 27.829                
4000    390.586                 28.014                
4100    392.388                 28.185                
4200    394.152                 28.345                
4300    395.879                 28.494                
4400    397.572                 28.635                
4500    399.231                 28.768                
4600    400.859                 28.894                
4700    402.455                 29.015                
4800    404.021                 29.131                
4900    405.559                 29.243                
5000    407.068                 29.352                
5100    408.552                 29.456                
5200    410.009                 29.558                
5300    411.441                 29.657                
5400    412.850                 29.752                
5500    414.235                 29.844                
5600    415.597                 29.932                
5700    416.938                 30.015                
5800    418.257                 30.093                
5900    419.556                 30.164                
6000    420.835                 30.228                
