T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  82.958                  -960.019              
300     82.959                  -960.024              
400     85.670                  -962.886              
500     91.080                  -962.859              
600     97.450                  -962.442              
700     104.113                 -961.704              
800     110.779                 -960.699              
900     117.486                 -955.997              
1000    124.462                 -950.164              
1100    131.503                 -944.468              
1200    138.481                 -1035.672             
1300    145.326                 1029.331              
1400    151.998                 -1023.069             
1500    158.479                 -1016.879             
1600    164.760                 -1010.757             
1700    170.841                 -1004.700             
1800    176.725                 -998.706              
1900    182.418                 -992.772              
2000    187.927                 -986.898              
2100    193.261                 -981.083              
2200    198.426                 -975.327              
2300    203.432                 -969.629              
2400    208.287                 -1014.248             
2500    212.997                 -1008.744             
