T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     172.147                 108.288               
200     155.568                 107.911               
250     154.009                 107.626               
298.15  153.667                 107.300               
300     153.667                 107.286               
350     153.920                 106.873               
400     154.482                 103.743               
450     155.209                 103.220               
500     156.022                 102.721               
600     157.746                 101.783               
700     159.475                 100.909               
800     161.144                 100.079               
900     162.731                 99.270                
1000    164.232                 98.462                
1100    165.650                 97.632                
1200    166.989                 0.                    
1300    168.256                 0.                    
1400    169.456                 0.                    
1500    170.595                 0.                    
1600    171.678                 0.                    
1700    172.710                 0.                    
1800    173.696                 0.                    
1900    174.639                 0.                    
2000    175.542                 0.                    
2100    176.408                 0.                    
2200    177.241                 0.                    
2300    178.043                 0.                    
2400    178.816                 0.                    
2500    179.562                 0.                    
2600    180.282                 0.                    
2700    180.979                 0.                    
2800    181.654                 0.                    
2900    182.309                 0.                    
3000    182.944                 0.                    
3100    183.561                 0.                    
3200    184.161                 0.                    
3300    184.746                 0.                    
3400    185.315                 0.                    
3500    185.870                 0.                    
3600    186.411                 0.                    
3700    186.941                 0.                    
3800    187.458                 0.                    
3900    187.964                 0.                    
4000    188.459                 0.                    
4100    188.945                 0.                    
4200    189.421                 0.                    
4300    189.888                 0.                    
4400    190.346                 0.                    
4500    190.796                 0.                    
4600    191.239                 0.                    
4700    191.675                 0.                    
4800    192.105                 0.                    
4900    192.528                 0.                    
5000    192.944                 0.                    
5100    193.356                 0.                    
5200    193.762                 0.                    
5300    194.163                 0.                    
5400    194.560                 0.                    
5500    194.952                 0.                    
5600    195.340                 0.                    
5700    195.724                 0.                    
5800    196.104                 0.                    
5900    196.481                 0.                    
6000    196.852                 0.                    
