T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     279.294                 171.349               
200     252.392                 169.823               
250     249.783                 169.030               
298.15  249.204                 162.601               
300     249.205                 162.552               
350     249.638                 146.076               
400     250.606                 145.651               
450     251.865                 145.237               
500     253.279                 144.830               
600     256.294                 144.032               
700     259.335                 143.249               
800     262.283                 142.476               
900     265.097                 141.711               
1000    267.767                 140.952               
1100    270.294                 140.197               
1200    272.686                 75.873                
1300    274.953                 75.900                
1400    277.104                 75.924                
1500    279.149                 75.945                
1600    281.097                 75.963                
1700    282.956                 75.978                
1800    284.733                 75.989                
1900    286.434                 75.996                
2000    288.066                 75.997                
2100    289.634                 75.992                
2200    291.142                 75.980                
2300    292.595                 75.961                
2400    293.997                 75.933                
2500    295.351                 75.898                
2600    296.659                 75.854                
2700    297.926                 75.802                
2800    299.153                 75.743                
2900    300.344                 75.677                
3000    301.499                 75.605                
3100    302.622                 75.528                
3200    303.714                 75.448                
3300    304.776                 75.366                
3400    305.810                 75.282                
3500    306.819                 75.198                
3600    307.802                 75.116                
3700    308.761                 75.038                
3800    309.698                 74.963                
3900    310.613                 74.894                
4000    311.507                 74.831                
4100    312.382                 74.776                
4200    313.237                 74.731                
4300    314.075                 74.694                
4400    314.896                 74.668                
4500    315.700                 74.654                
4600    316.488                 74.651                
4700    317.261                 74.661                
4800    318.019                 74.684                
4900    318.763                 74.720                
5000    319.493                 74.770                
5100    320.211                 74.834                
5200    320.916                 74.912                
5300    321.608                 75.004                
5400    322.289                 75.110                
5500    322.959                 75.231                
5600    323.618                 75.367                
5700    324.266                 75.516                
5800    324.903                 75.680                
5900    325.531                 75.858                
6000    326.150                 76.051                
