T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     299.211                 -485.722              
200     266.890                 -487.206              
250     263.680                 -487.749              
298.15  262.957                 -488.256              
300     262.957                 -488.275              
350     263.511                 -489.505              
400     264.766                 -490.060              
450     266.419                 -490.571              
500     268.299                 -491.048              
600     272.372                 -491.929              
700     276.548                 -492.744              
800     280.652                 -493.517              
900     284.610                 -494.263              
1000    288.397                 -494.994              
1100    292.006                 -495.715              
1200    295.441                 -560.005              
1300    298.713                 -559.947              
1400    301.830                 -559.898              
1500    304.804                 -559.857              
1600    307.644                 -559.825              
1700    310.362                 -559.803              
1800    312.965                 -559.790              
1900    315.463                 -559.784              
2000    317.862                 -559.783              
2100    320.171                 -559.786              
2200    322.394                 -559.787              
2300    324.538                 -559.786              
2400    326.609                 -559.778              
2500    328.610                 -559.760              
2600    330.546                 -559.728              
2700    332.421                 -559.679              
2800    334.239                 -559.611              
2900    336.003                 -559.520              
3000    337.716                 -559.405              
3100    339.381                 -559.262              
3200    341.000                 -559.089              
3300    342.576                 -558.886              
3400    344.111                 -558.651              
3500    345.607                 -558.383              
3600    347.066                 -558.080              
3700    348.490                 -557.743              
3800    349.880                 -557.370              
3900    351.238                 -556.962              
4000    352.565                 -556.518              
4100    353.864                 -556.037              
4200    355.134                 -555.521              
4300    356.377                 -554.969              
4400    357.595                 -554.381              
4500    358.788                 -553.757              
4600    359.958                 -553.098              
4700    361.104                 -552.404              
4800    362.229                 -551.675              
4900    363.333                 -550.911              
5000    364.417                 -550.114              
5100    365.481                 -549.282              
5200    366.526                 -548.417              
5300    367.554                 -547.519              
5400    368.564                 -546.588              
5500    369.557                 -545.624              
5600    370.534                 -544.628              
5700    371.495                 -543.600              
5800    372.440                 -542.540              
5900    373.372                 -541.449              
6000    374.289                 -540.327              
