T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  312.962                 -887.464              
300     312.964                 -887.495              
350     314.068                 -888.303              
400     316.567                 -891.285              
450     319.851                 -892.708              
500     323.574                 -894.178              
600     331.601                 -896.648              
700     339.781                 -898.858              
800     347.776                 -900.931              
900     355.453                 -956.058              
1000    362.769                 -956.800              
1100    369.719                 -957.575              
1200    376.318                 -958.386              
1300    382.585                 -959.235              
1400    388.545                 -960.123              
1500    394.219                 -961.050              
1600    399.631                 -962.015              
1700    404.801                 -963.018              
1800    409.748                 -964.054              
1900    414.488                 -965.119              
2000    419.037                 -966.208              
2100    423.409                 -967.314              
2200    427.616                 -968.429              
2300    431.671                 -969.545              
2400    435.583                 -970.654              
2500    439.362                 -971.749              
2600    443.016                 -972.820              
2700    446.553                 -973.860              
2800    449.980                 -974.861              
2900    453.304                 -975.818              
3000    456.531                 -976.725              
3100    459.666                 -977.576              
3200    462.714                 -978.366              
3300    465.680                 -979.092              
3400    468.568                 -979.751              
3500    471.382                 -980.341              
3600    474.126                 -980.860              
3700    476.803                 -981.306              
3800    479.417                 -981.679              
3900    481.970                 -981.978              
4000    484.465                 -982.203              
4100    486.905                 -982.356              
4200    489.293                 -982.437              
4300    491.630                 -982.446              
4400    493.918                 -982.385              
4500    496.160                 -982.255              
4600    498.357                 -982.059              
4700    500.512                 -981.796              
4800    502.625                 -981.470              
4900    504.699                 -981.082              
5000    506.735                 -980.634              
5100    508.734                 -980.128              
5200    510.698                 -979.565              
5300    512.627                 -978.948              
5400    514.524                 -978.278              
5500    516.389                 -977.558              
5600    518.223                 -976.788              
5700    520.027                 -975.972              
5800    521.803                 -975.110              
5900    523.551                 -974.205              
6000    525.271                 -973.257              
