T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     283.467                 -122.483              
200     255.566                 -123.153              
250     252.879                 -123.496              
298.15  252.284                 -123.846              
300     252.285                 -123.860              
350     252.728                 -124.250              
400     253.716                 -124.665              
450     254.998                 -125.107              
500     256.435                 -125.575              
600     259.495                 -126.593              
700     262.574                 -127.718              
800     265.555                 -128.950              
900     268.398                 -130.917              
1000    271.093                 -132.043              
1100    273.641                 -141.070              
1200    276.052                 -143.106              
1300    278.336                 -145.141              
1400    280.503                 -147.174              
1500    282.562                 -149.205              
1600    284.523                 -151.234              
1700    286.393                 -290.177              
1800    288.181                 -290.342              
1900    289.893                 -290.511              
2000    291.534                 -290.687              
2100    293.111                 -290.871              
2200    294.629                 -291.070              
2300    296.090                 -291.288              
2400    297.500                 -291.532              
2500    298.862                 -291.807              
2600    300.179                 -292.122              
2700    301.455                 -292.484              
2800    302.691                 -292.902              
2900    303.890                 -293.384              
3000    305.056                 -293.939              
3100    306.189                 -294.576              
3200    307.291                 -295.302              
3300    308.365                 -296.124              
3400    309.412                 -297.051              
3500    310.433                 -298.088              
3600    311.431                 -299.240              
3700    312.405                 -300.511              
3800    313.358                 -301.905              
3900    314.291                 -303.423              
4000    315.204                 -305.065              
4100    316.098                 -306.832              
4200    316.975                 -308.717              
4300    317.836                 -310.725              
4400    318.680                 -312.848              
4500    319.509                 -315.082              
4600    320.324                 -317.355              
4700    321.124                 -319.773              
4800    321.912                 -322.277              
4900    322.687                 -324.860              
5000    323.449                 -327.508              
5100    324.200                 -330.199              
5200    324.940                 -332.960              
5300    325.669                 -335.763              
5400    326.388                 -338.600              
5500    327.096                 -341.461              
5600    327.796                 -344.339              
5700    328.485                 -347.223              
5800    329.167                 -350.107              
5900    329.839                 -352.773              
6000    330.503                 -355.602              
