T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     78.738                  0.                    
200     58.112                  0.                    
298.15  55.694                  0.                    
300     55.694                  0.                    
350     56.022                  0.                    
400     56.757                  0.                    
450     57.716                  0.                    
500     58.797                  0.                    
600     61.122                  0.                    
700     63.495                  0.                    
800     65.827                  0.                    
900     68.085                  0.626                 
1000    70.260                  -0.302                
1100    72.349                  -7.768                
1200    74.358                  -8.129                
1300    76.292                  -8.374                
1400    78.156                  -8.500                
1500    79.956                  -8.505                
