T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     56.044                  -335.658              
200     33.350                  -337.070              
298.15  30.235                  -337.649              
300     30.236                  -337.654              
400     31.787                  -337.641              
500     34.906                  -337.289              
600     38.557                  -336.812              
700     42.328                  -336.294              
800     46.048                  -335.753              
900     49.645                  -335.232              
1000    53.095                  -334.797              
1100    56.392                  -334.508              
1200    59.542                  -338.345              
1300    62.551                  -337.610              
1400    65.430                  -336.890              
1500    68.190                  -336.193              
1600    70.839                  -335.528              
1700    73.386                  -334.906              
1800    75.840                  -334.337              
1900    78.208                  -333.831              
2000    80.497                  -348.087              
2100    82.713                  -348.489              
2200    84.861                  -348.804              
2300    86.946                  -349.031              
2400    88.972                  -349.170              
2500    90.944                  -349.218              
2600    92.865                  -349.175              
2700    94.738                  -349.040              
2800    96.567                  -348.813              
2900    98.354                  -348.493              
3000    100.102                 -348.079              
3100    101.812                 -347.571              
3200    103.488                 -346.969              
3300    105.631                 -280.139              
3400    107.827                 -280.449              
3500    109.950                 -280.761              
3600    112.005                 -281.076              
3700    113.996                 -690.492              
3800    115.927                 -689.578              
3900    117.801                 -688.721              
4000    119.622                 -687.920              
4100    121.392                 -687.174              
4200    123.115                 -686.481              
4300    124.792                 -685.839              
4400    126.426                 -685.247              
4500    128.019                 -684.701              
