T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  166.751                 1037.336              
300     166.751                 1037.366              
350     167.004                 1038.162              
400     167.566                 1038.935              
450     168.293                 1039.684              
500     169.106                 1040.407              
600     170.830                 1041.767              
700     172.559                 1035.667              
800     174.227                 1036.686              
900     175.815                 1037.705              
1000    177.316                 1038.725              
1100    178.734                 1039.744              
1200    180.073                 925.662               
1300    181.340                 927.741               
1400    182.540                 929.819               
1500    183.679                 931.898               
1600    184.762                 933.977               
1700    185.794                 936.055               
1800    186.780                 938.134               
1900    187.722                 940.212               
2000    188.626                 942.291               
2100    189.492                 944.370               
2200    190.325                 946.448               
2300    191.126                 948.527               
2400    191.899                 950.605               
2500    192.644                 952.684               
2600    193.364                 954.763               
2700    194.060                 956.841               
2800    194.734                 958.920               
2900    195.387                 960.998               
3000    196.021                 963.077               
3100    196.636                 965.155               
3200    197.233                 967.233               
3300    197.814                 969.311               
3400    198.379                 971.388               
3500    198.930                 973.465               
3600    199.466                 975.541               
3700    199.989                 977.616               
3800    200.499                 979.691               
3900    200.997                 981.763               
4000    201.484                 983.835               
4100    201.959                 985.904               
4200    202.424                 987.970               
4300    202.879                 990.033               
4400    203.324                 992.093               
4500    203.760                 994.149               
4600    204.187                 996.200               
4700    204.605                 998.245               
4800    205.015                 1000.284              
4900    205.418                 1002.316              
5000    205.812                 1004.340              
5100    206.200                 1006.355              
5200    206.580                 1008.360              
5300    206.953                 1010.353              
5400    207.320                 1012.334              
5500    207.681                 1014.302              
5600    208.035                 1016.256              
5700    208.384                 1018.193              
5800    208.727                 1020.113              
5900    209.064                 1022.015              
6000    209.396                 1023.896              
