Aluminum Chloride Fluoride (AlClF)	Al1Cl1F1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.133	-488.119	-488.119	INFINITE
100	37.818	236.245	322.865	-8.662	-488.041	-492.998	257.516
200	43.971	264.376	287.217	-4.568	-488.732	-497.717	129.990
250	46.668	274.486	283.688	-2.300	-489.139	-499.916	104.452
298.15	48.806	282.895	282.895	0.	-489.528	-501.957	87.941
300	48.879	283.198	282.896	0.090	-489.543	-502.034	87.412
350	50.619	290.869	283.498	2.580	-489.942	-504.084	75.230
400	51.969	297.720	284.855	5.146	-490.340	-506.077	66.087
450	53.019	303.904	286.634	7.772	-490.739	-508.020	58.969
500	53.842	309.534	288.647	10.444	-491.143	-509.919	53.271
600	55.016	319.463	292.977	15.891	-491.984	-513.596	44.712
700	55.785	328.005	297.386	21.434	-492.901	-517.126	38.588
800	56.312	335.491	301.690	27.040	-493.930	-520.518	33.986
900	56.686	342.146	305.823	32.691	-495.107	-523.773	30.399
1000	56.961	348.134	309.759	38.374	-507.053	-526.127	27.482
1100	57.168	353.573	313.499	44.081	-508.256	-527.976	25.072
1200	57.328	358.554	317.049	49.806	-509.460	-529.716	23.058
1300	57.454	363.148	320.421	55.546	-510.666	-531.355	21.350
1400	57.554	367.410	323.627	61.296	-511.877	-532.901	19.883
1500	57.636	371.383	326.679	67.056	-513.093	-534.361	18.608
1600	57.703	375.105	329.591	72.823	-514.316	-535.739	17.490
1700	57.759	378.605	332.372	78.596	-515.544	-537.040	16.501
1800	57.806	381.908	335.033	84.374	-516.780	-538.269	15.620
1900	57.846	385.034	337.583	90.157	-518.022	-539.429	14.830
2000	57.881	388.002	340.031	95.943	-519.270	-540.523	14.117
2100	57.911	390.827	342.383	101.733	-520.523	-541.555	13.470
2200	57.938	393.522	344.647	107.526	-521.781	-542.527	12.881
2300	57.963	396.098	346.828	113.321	-523.042	-543.442	12.342
2400	57.985	398.565	348.933	119.118	-524.306	-544.302	11.846
2500	58.007	400.933	350.966	124.918	-525.571	-545.109	11.389
2600	58.028	403.208	352.932	130.719	-526.836	-545.865	10.967
2700	58.049	405.399	354.834	136.523	-528.101	-546.573	10.574
2800	58.070	407.510	356.678	142.329	-823.264	-546.267	10.191
2900	58.093	409.548	358.466	148.137	-823.427	-536.371	9.661
3000	58.117	411.518	360.202	153.948	-823.586	-526.470	9.167
3100	58.143	413.424	361.888	159.761	-823.739	-516.563	8.704
3200	58.172	415.271	363.528	165.576	-823.884	-506.652	8.270
3300	58.204	417.061	365.123	171.395	-824.021	-496.736	7.863
3400	58.238	418.799	366.676	177.217	-824.147	-486.817	7.479
3500	58.276	420.488	368.190	183.043	-824.262	-476.894	7.117
3600	58.318	422.130	369.666	188.873	-824.364	-466.967	6.776
3700	58.364	423.729	371.105	194.707	-824.451	-457.038	6.452
3800	58.414	425.286	372.511	200.546	-824.522	-447.108	6.146
3900	58.468	426.804	373.883	206.390	-824.576	-437.175	5.855
4000	58.526	428.285	375.225	212.239	-824.612	-427.241	5.579
4100	58.589	429.731	376.537	218.095	-824.627	-417.306	5.317
4200	58.655	431.143	377.820	223.957	-824.622	-407.372	5.066
4300	58.727	432.524	379.076	229.826	-824.594	-397.437	4.828
4400	58.802	433.875	380.307	235.703	-824.544	-387.504	4.600
4500	58.881	435.198	381.512	241.587	-824.468	-377.572	4.383
4600	58.965	436.493	382.693	247.479	-824.369	-367.642	4.175
4700	59.052	437.762	383.851	253.380	-824.246	-357.715	3.976
4800	59.143	439.006	384.987	259.290	-824.097	-347.790	3.785
4900	59.237	440.226	386.102	265.209	-823.922	-337.869	3.602
5000	59.335	441.424	387.197	271.137	-823.723	-327.951	3.426
5100	59.436	442.600	388.272	277.076	-823.498	-318.038	3.257
5200	59.539	443.755	389.327	283.024	-823.248	-308.130	3.095
5300	59.645	444.890	390.365	288.984	-822.974	-298.226	2.939
5400	59.754	446.006	391.385	294.954	-822.675	-288.328	2.789
5500	59.865	447.104	392.388	300.935	-822.354	-278.435	2.644
5600	59.977	448.183	393.375	306.927	-822.010	-268.549	2.505
5700	60.091	449.246	394.346	312.930	-821.644	-258.669	2.370
5800	60.207	450.292	395.302	318.945	-821.255	-248.796	2.241
5900	60.323	451.322	396.242	324.971	-820.849	-238.929	2.115
6000	60.441	452.337	397.169	331.010	-820.403	-229.072	1.994
