Aluminum Iodide (AlI)	Al1I1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.749	69.337	69.337	INFINITE
100	31.012	210.863	278.841	-6.798	70.280	52.942	-27.654
200	34.703	233.666	251.098	-3.486	69.323	35.915	-9.380
250	35.586	241.513	248.422	-1.727	68.655	27.638	-5.775
298.15	36.127	247.830	247.830	0.	67.948	19.802	-3.469
300	36.144	248.054	247.831	0.067	67.920	19.503	-3.396
350	36.516	253.655	248.273	1.884	67.096	11.497	-1.716
400	36.778	258.549	249.258	3.717	58.242	3.887	-0.508
450	36.971	262.893	250.536	5.561	56.766	-2.819	0.327
500	37.119	266.796	251.970	7.413	35.208	-7.460	0.779
600	37.333	273.584	255.023	11.136	34.318	-15.912	1.385
700	37.484	279.351	258.097	14.877	33.328	-24.207	1.806
800	37.601	284.364	261.074	18.632	32.212	-32.351	2.112
900	37.697	288.798	263.913	22.397	30.941	-40.347	2.342
1000	37.780	292.774	266.604	26.171	18.899	-47.432	2.478
1100	37.856	296.379	269.149	29.953	17.598	-54.002	2.564
1200	37.925	299.676	271.558	33.742	16.296	-60.454	2.632
1300	37.990	302.714	273.839	37.538	14.988	-66.797	2.684
1400	38.053	305.532	276.003	41.340	13.672	-73.039	2.725
1500	38.113	308.159	278.060	45.148	12.342	-79.186	2.758
1600	38.171	310.621	280.019	48.962	10.992	-85.244	2.783
1700	38.228	312.937	281.888	52.782	9.619	-91.217	2.803
1800	38.284	315.123	283.674	56.608	8.219	-97.108	2.818
1900	38.340	317.195	285.385	60.439	6.790	-102.921	2.829
2000	38.396	319.163	287.025	64.276	5.332	-108.658	2.838
2100	38.451	321.037	288.600	68.118	3.845	-114.321	2.844
2200	38.507	322.827	290.115	71.966	2.333	-119.912	2.847
2300	38.564	324.540	291.575	75.820	0.799	-125.435	2.849
2400	38.623	326.183	292.983	79.679	-0.752	-130.890	2.849
2500	38.685	327.761	294.343	83.544	-2.314	-136.280	2.847
2600	38.750	329.279	295.658	87.416	-3.880	-141.608	2.845
2700	38.819	330.743	296.930	91.295	-5.445	-146.875	2.841
2800	38.893	332.156	298.163	95.180	-300.904	-151.117	2.819
2900	38.974	333.522	299.359	99.073	-301.352	-145.760	2.625
3000	39.063	334.845	300.520	102.975	-301.782	-140.387	2.444
3100	39.159	336.127	301.648	106.886	-302.188	-135.000	2.275
3200	39.266	337.372	302.745	110.807	-302.565	-129.601	2.116
3300	39.383	338.582	303.813	114.740	-302.910	-124.191	1.966
3400	39.512	339.760	304.853	118.684	-303.218	-118.770	1.825
3500	39.653	340.907	305.867	122.643	-303.488	-113.341	1.692
3600	39.808	342.027	306.856	126.616	-303.717	-107.905	1.566
3700	39.977	343.120	307.821	130.605	-303.902	-102.463	1.447
3800	40.160	344.188	308.764	134.611	-304.041	-97.017	1.334
3900	40.359	345.234	309.686	138.637	-304.134	-91.568	1.226
4000	40.572	346.258	310.587	142.684	-304.178	-86.117	1.125
4100	40.802	347.263	311.470	146.752	-304.173	-80.665	1.028
4200	41.047	348.249	312.334	150.844	-304.118	-75.214	0.935
4300	41.307	349.218	313.180	154.962	-304.012	-69.765	0.847
4400	41.583	350.171	314.010	159.106	-303.856	-64.319	0.764
4500	41.875	351.108	314.824	163.279	-303.646	-58.878	0.683
4600	42.180	352.032	315.623	167.482	-303.387	-53.441	0.607
4700	42.500	352.943	316.407	171.716	-303.076	-48.011	0.534
4800	42.834	353.841	317.178	175.982	-302.714	-42.588	0.463
4900	43.181	354.728	317.935	180.283	-302.301	-37.173	0.396
5000	43.540	355.604	318.680	184.619	-301.838	-31.767	0.332
5100	43.910	356.469	319.412	188.991	-301.325	-26.370	0.270
5200	44.291	357.326	320.133	193.401	-300.764	-20.984	0.211
5300	44.681	358.173	320.843	197.850	-300.154	-15.610	0.154
5400	45.080	359.012	321.542	202.338	-299.497	-10.247	0.099
5500	45.486	359.843	322.231	206.866	-298.794	-4.897	0.047
5600	45.899	360.666	322.910	211.435	-298.045	0.440	-0.004
5700	46.318	361.482	323.579	216.046	-297.253	5.763	-0.053
5800	46.740	362.291	324.240	220.699	-296.416	11.072	-0.100
5900	47.167	363.094	324.892	225.394	-295.540	16.366	-0.145
6000	47.595	363.890	325.535	230.132	-294.602	21.642	-0.188
