Boron Nitride (BN)	B1N1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.686	473.839	473.839	INFINITE
100	29.107	180.503	238.329	-5.783	475.267	465.238	-243.016
200	29.136	200.682	215.038	-2.871	476.391	454.736	-118.765
250	29.235	207.192	212.842	-1.412	476.751	449.278	-93.872
298.15	29.450	212.358	212.358	0.	476.976	443.965	-77.781
300	29.461	212.541	212.359	0.054	476.983	443.760	-77.265
350	29.820	217.107	212.719	1.536	477.108	438.212	-65.400
400	30.280	221.119	213.523	3.038	477.145	432.652	-56.499
450	30.797	224.715	214.570	4.565	477.111	427.091	-49.575
500	31.333	227.987	215.751	6.118	477.024	421.538	-44.038
600	32.362	233.792	218.286	9.304	476.737	410.465	-35.734
700	33.257	238.850	220.870	12.586	476.343	399.450	-29.807
800	34.001	243.341	223.403	15.950	475.870	388.497	-25.366
900	34.609	247.382	225.847	19.382	475.331	377.607	-21.916
1000	35.105	251.055	228.187	22.868	474.735	366.780	-19.159
1100	35.514	254.421	230.421	26.400	474.088	356.015	-16.906
1200	35.857	257.526	232.552	29.969	473.394	345.312	-15.031
1300	36.150	260.408	234.585	33.570	472.656	334.668	-13.447
1400	36.405	263.096	236.527	37.198	471.878	324.082	-12.092
1500	36.633	265.616	238.383	40.850	471.061	313.554	-10.919
1600	36.841	267.987	240.160	44.523	470.209	303.081	-9.895
1700	37.034	270.226	241.863	48.217	469.324	292.662	-8.992
1800	37.218	272.348	243.498	51.930	468.408	282.296	-8.192
1900	37.394	274.365	245.070	55.661	467.462	271.983	-7.477
2000	37.565	276.288	246.584	59.409	466.488	261.719	-6.835
2100	37.732	278.125	248.042	63.174	465.488	251.505	-6.256
2200	37.895	279.884	249.450	66.955	464.463	241.340	-5.730
2300	38.055	281.572	250.810	70.752	463.413	231.221	-5.251
2400	38.211	283.195	252.126	74.566	412.080	222.217	-4.836
2500	38.364	284.758	253.400	78.395	410.905	214.331	-4.478
2600	38.514	286.265	254.635	82.239	409.741	206.491	-4.148
2700	38.661	287.722	255.834	86.097	408.587	198.695	-3.844
2800	38.803	289.130	256.998	89.971	407.443	190.942	-3.562
2900	38.941	290.494	258.130	93.858	406.309	183.230	-3.300
3000	39.076	291.817	259.230	97.759	405.185	175.557	-3.057
3100	39.205	293.100	260.302	101.673	404.071	167.921	-2.829
3200	39.331	294.347	261.347	105.600	402.967	160.321	-2.617
3300	39.452	295.559	262.365	109.539	401.872	152.755	-2.418
3400	39.569	296.738	263.359	113.490	400.786	145.223	-2.231
3500	39.681	297.887	264.329	117.452	399.708	137.722	-2.055
3600	39.789	299.006	265.277	121.426	398.639	130.252	-1.890
3700	39.893	300.098	266.203	125.410	397.579	122.811	-1.734
3800	39.994	301.163	267.110	129.404	396.526	115.399	-1.586
3900	40.090	302.203	267.996	133.409	395.481	108.015	-1.447
4000	40.183	303.220	268.864	137.422	394.443	100.657	-1.314
4100	40.272	304.213	269.714	141.445	393.412	93.325	-1.189
4200	40.359	305.184	270.547	145.477	-87.461	93.043	-1.157
4300	40.442	306.135	271.364	149.517	-87.391	97.339	-1.182
4400	40.523	307.066	272.165	153.565	-87.317	101.635	-1.207
4500	40.602	307.977	272.950	157.621	-87.238	105.928	-1.230
4600	40.678	308.871	273.722	161.685	-87.156	110.220	-1.252
4700	40.752	309.746	274.479	165.757	-87.070	114.510	-1.273
4800	40.824	310.605	275.222	169.836	-86.982	118.798	-1.293
4900	40.894	311.447	275.953	173.922	-86.892	123.084	-1.312
5000	40.963	312.274	276.671	178.014	-86.800	127.368	-1.331
5100	41.031	313.086	277.377	182.114	-86.706	131.650	-1.348
5200	41.097	313.883	278.072	186.221	-86.612	135.931	-1.365
5300	41.163	314.667	278.755	190.334	-86.517	140.210	-1.382
5400	41.227	315.437	279.427	194.453	-86.422	144.487	-1.398
5500	41.291	316.194	280.089	198.579	-86.327	148.762	-1.413
5600	41.353	316.939	280.740	202.711	-86.233	153.035	-1.427
5700	41.416	317.671	281.382	206.850	-86.141	157.307	-1.442
5800	41.477	318.392	282.014	210.994	-86.051	161.578	-1.455
5900	41.538	319.101	282.636	215.145	-85.963	165.846	-1.468
6000	41.599	319.800	283.250	219.302	-85.878	170.113	-1.481
