Boron (B2)	B2(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.810	823.305	823.305	INFINITE
100	29.111	169.727	228.775	-5.905	826.162	809.251	-422.709
200	29.500	189.962	204.880	-2.984	828.418	791.393	-206.691
250	30.345	196.626	202.585	-1.490	829.169	782.044	-163.399
298.15	31.594	202.072	202.072	0.	829.687	772.918	-135.412
300	31.648	202.268	202.073	0.058	829.704	772.566	-134.516
350	33.187	207.260	202.464	1.679	830.070	763.012	-113.873
400	34.737	211.794	203.351	3.377	830.297	753.415	-98.386
450	36.146	215.969	204.524	5.150	830.415	743.797	-86.338
500	37.335	219.841	205.864	6.988	830.446	734.170	-76.698
600	39.012	226.809	208.788	10.813	830.309	714.924	-62.240
700	39.916	232.899	211.807	14.765	829.950	695.719	-51.915
800	40.310	238.259	214.785	18.779	829.399	676.578	-44.176
900	40.410	243.015	217.663	22.817	828.673	657.517	-38.161
1000	40.355	247.271	220.415	26.856	827.788	638.546	-33.354
1100	40.226	251.111	223.033	30.886	826.758	619.671	-29.426
1200	40.071	254.605	225.521	34.901	825.595	600.895	-26.156
1300	39.914	257.806	227.883	38.900	824.311	582.221	-23.394
1400	39.766	260.758	230.127	42.884	822.915	563.651	-21.030
1500	39.632	263.497	232.262	46.853	821.417	545.183	-18.985
1600	39.516	266.051	234.295	50.811	819.821	526.819	-17.199
1700	39.416	268.444	236.234	54.757	818.135	508.558	-15.626
1800	39.332	270.694	238.086	58.694	816.363	490.398	-14.231
1900	39.263	272.819	239.859	62.624	814.510	472.339	-12.986
2000	39.207	274.832	241.558	66.547	812.578	454.380	-11.867
2100	39.164	276.743	243.188	70.466	810.572	436.519	-10.858
2200	39.132	278.564	244.755	74.381	808.492	418.755	-9.943
2300	39.110	280.303	246.263	78.293	806.343	401.088	-9.109
2400	39.098	281.968	247.716	82.203	703.606	385.653	-8.394
2500	39.095	283.564	249.119	86.112	701.166	372.455	-7.782
2600	39.099	285.097	250.473	90.022	698.725	359.355	-7.220
2700	39.112	286.573	251.783	93.933	696.286	346.349	-6.701
2800	39.131	287.996	253.051	97.845	693.848	333.432	-6.220
2900	39.156	289.369	254.280	101.759	691.412	320.603	-5.775
3000	39.188	290.697	255.472	105.676	688.979	307.858	-5.360
3100	39.224	291.983	256.629	109.597	686.550	295.195	-4.974
3200	39.266	293.229	257.753	113.521	684.124	282.609	-4.613
3300	39.312	294.438	258.847	117.450	681.703	270.099	-4.275
3400	39.362	295.612	259.911	121.384	679.287	257.662	-3.958
3500	39.416	296.754	260.947	125.323	676.876	245.297	-3.661
3600	39.474	297.865	261.957	129.267	674.470	233.000	-3.381
3700	39.534	298.947	262.943	133.217	672.071	220.770	-3.117
3800	39.597	300.002	263.904	137.174	669.677	208.605	-2.867
3900	39.663	301.032	264.843	141.137	667.290	196.502	-2.632
4000	39.731	302.037	265.760	145.107	664.910	184.461	-2.409
4100	39.801	303.019	266.657	149.083	662.536	172.479	-2.197
4200	39.872	303.979	267.534	153.067	-299.529	174.604	-2.172
4300	39.945	304.918	268.393	157.058	-299.713	185.895	-2.258
4400	40.020	305.837	269.233	161.056	-299.894	197.190	-2.341
4500	40.095	306.737	270.057	165.062	-300.072	208.489	-2.420
4600	40.172	307.619	270.864	169.075	-300.247	219.793	-2.496
4700	40.249	308.484	271.655	173.096	-300.418	231.100	-2.568
4800	40.328	309.332	272.431	177.125	-300.588	242.411	-2.638
4900	40.406	310.164	273.193	181.162	-300.757	253.725	-2.705
5000	40.486	310.982	273.940	185.206	-300.924	265.042	-2.769
5100	40.565	311.784	274.675	189.259	-301.091	276.363	-2.831
5200	40.645	312.573	275.396	193.319	-301.258	287.688	-2.890
5300	40.725	313.348	276.105	197.388	-301.426	299.015	-2.947
5400	40.805	314.110	276.801	201.464	-301.596	310.346	-3.002
5500	40.885	314.859	277.487	205.549	-301.768	321.680	-3.055
5600	40.966	315.596	278.160	209.641	-301.942	333.017	-3.106
5700	41.046	316.322	278.824	213.742	-302.121	344.357	-3.156
5800	41.126	317.037	279.476	217.850	-302.303	355.700	-3.203
5900	41.206	317.740	280.119	221.967	-302.491	367.046	-3.250
6000	41.285	318.434	280.752	226.092	-302.685	378.396	-3.294
