Beryllium Chloride (BeCl)	Be1Cl1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.860	58.331	58.331	INFINITE
100	29.118	185.044	244.568	-5.952	59.743	50.739	-26.504
200	29.867	205.369	220.449	-3.016	60.583	41.340	-10.797
250	30.735	212.124	218.131	-1.502	60.696	36.513	-7.629
298.15	31.642	217.615	217.615	0.	60.668	31.856	-5.581
300	31.677	217.811	217.615	0.059	60.665	31.677	-5.516
350	32.554	222.761	218.004	1.665	60.533	26.856	-4.008
400	33.316	227.159	218.879	3.312	60.341	22.057	-2.880
450	33.957	231.121	220.023	4.994	60.109	17.285	-2.006
500	34.490	234.727	221.315	6.706	59.847	12.541	-1.310
600	35.301	241.092	224.095	10.198	59.256	3.134	-0.273
700	35.872	246.579	226.924	13.758	58.589	-6.168	0.460
800	36.285	251.397	229.688	17.367	57.851	-15.370	1.004
900	36.596	255.690	232.343	21.012	57.043	-24.475	1.420
1000	36.836	259.558	234.875	24.684	56.164	-33.486	1.749
1100	37.029	263.079	237.281	28.378	55.211	-42.405	2.014
1200	37.187	266.308	239.567	32.089	54.183	-51.235	2.230
1300	37.319	269.289	241.740	35.814	53.077	-59.975	2.410
1400	37.433	272.059	243.808	39.552	51.892	-68.627	2.561
1500	37.533	274.646	245.779	43.300	50.624	-77.192	2.688
1600	37.622	277.071	247.659	47.058	34.737	-85.144	2.780
1700	37.702	279.354	249.457	50.824	33.700	-92.605	2.845
1800	37.776	281.511	251.179	54.598	32.646	-100.004	2.902
1900	37.844	283.555	252.829	58.379	31.572	-107.345	2.951
2000	37.908	285.498	254.415	62.167	30.478	-114.628	2.994
2100	37.968	287.349	255.939	65.961	29.364	-121.856	3.031
2200	38.025	289.117	257.407	69.760	28.228	-129.030	3.064
2300	38.080	290.808	258.823	73.566	27.069	-136.152	3.092
2400	38.133	292.430	260.190	77.376	25.886	-143.224	3.117
2500	38.184	293.988	261.511	81.192	24.680	-150.245	3.139
2600	38.233	295.486	262.789	85.013	23.448	-157.218	3.159
2700	38.282	296.930	264.027	88.839	22.190	-164.143	3.176
2800	38.329	298.323	265.227	92.669	-270.050	-164.798	3.074
2900	38.376	299.669	266.392	96.505	-270.297	-161.035	2.901
3000	38.423	300.971	267.523	100.345	-270.553	-157.263	2.738
3100	38.469	302.232	268.622	104.189	-270.821	-153.482	2.586
3200	38.515	303.454	269.692	108.038	-271.101	-149.693	2.443
3300	38.562	304.639	270.733	111.892	-271.395	-145.894	2.309
3400	38.609	305.791	271.747	115.751	-271.704	-142.087	2.183
3500	38.656	306.911	272.736	119.614	-272.027	-138.270	2.064
3600	38.705	308.001	273.700	123.482	-272.368	-134.443	1.951
3700	38.754	309.062	274.642	127.355	-272.725	-130.607	1.844
3800	38.805	310.096	275.561	131.233	-273.101	-126.761	1.742
3900	38.857	311.105	276.460	135.116	-273.495	-122.905	1.646
4000	38.911	312.089	277.338	139.004	-273.909	-119.038	1.554
4100	38.967	313.051	278.198	142.898	-274.343	-115.161	1.467
4200	39.025	313.991	279.039	146.798	-274.799	-111.273	1.384
4300	39.085	314.910	279.862	150.703	-275.276	-107.374	1.304
4400	39.148	315.809	280.669	154.615	-275.775	-103.464	1.228
4500	39.212	316.689	281.460	158.533	-276.296	-99.542	1.155
4600	39.280	317.552	282.235	162.458	-276.841	-95.608	1.086
4700	39.350	318.397	282.995	166.389	-277.410	-91.662	1.019
4800	39.423	319.227	283.742	170.328	-278.002	-87.704	0.954
4900	39.499	320.040	284.474	174.274	-278.619	-83.733	0.893
5000	39.578	320.839	285.193	178.228	-279.261	-79.749	0.833
5100	39.660	321.624	285.900	182.190	-279.927	-75.752	0.776
5200	39.745	322.394	286.595	186.160	-280.618	-71.742	0.721
5300	39.833	323.152	287.277	190.139	-281.334	-67.719	0.667
5400	39.923	323.898	287.948	194.126	-282.075	-63.681	0.616
5500	40.017	324.631	288.609	198.123	-282.841	-59.630	0.566
5600	40.114	325.353	289.258	202.130	-283.631	-55.564	0.518
5700	40.213	326.064	289.898	206.146	-284.446	-51.485	0.472
5800	40.316	326.764	290.528	210.173	-285.285	-47.390	0.427
5900	40.421	327.454	291.148	214.210	-286.147	-43.281	0.383
6000	40.529	328.135	291.758	218.257	-287.032	-39.158	0.341
