Beryllium Hydride (BeH2)	Be1H2(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.714	127.206	127.206	INFINITE
100	29.101	141.109	199.331	-5.822	127.059	123.071	-64.286
200	29.204	161.292	175.842	-2.910	126.700	119.159	-31.121
250	29.588	167.843	173.610	-1.442	126.180	117.329	-24.515
298.15	30.370	173.115	173.115	0.	125.520	115.682	-20.267
300	30.408	173.303	173.115	0.056	125.492	115.622	-20.131
350	31.659	178.079	173.490	1.606	124.715	114.037	-17.019
400	33.233	182.406	174.338	3.227	123.916	112.566	-14.700
450	34.999	186.421	175.460	4.933	123.134	111.195	-12.907
500	36.842	190.204	176.747	6.729	122.392	109.908	-11.482
600	40.446	197.244	179.585	10.595	121.062	107.540	-9.362
700	43.678	203.727	182.577	14.805	119.943	105.378	-7.863
800	46.434	209.744	185.601	19.315	119.003	103.363	-6.749
900	48.733	215.351	188.599	24.077	118.198	101.458	-5.888
1000	50.634	220.587	191.539	29.048	117.482	99.637	-5.204
1100	52.204	225.489	194.405	34.192	116.816	97.885	-4.648
1200	53.505	230.088	197.189	39.480	116.167	96.192	-4.187
1300	54.589	234.415	199.887	44.886	115.508	94.554	-3.799
1400	55.496	238.495	202.501	50.392	114.817	92.968	-3.469
1500	56.262	242.351	205.030	55.981	114.078	91.433	-3.184
1600	56.912	246.003	207.478	61.640	98.740	90.475	-2.954
1700	57.467	249.470	209.847	67.360	98.268	89.973	-2.765
1800	57.944	252.769	212.140	73.131	97.786	89.499	-2.597
1900	58.357	255.913	214.362	78.947	97.287	89.052	-2.448
2000	58.716	258.916	216.515	84.801	96.769	88.632	-2.315
2100	59.030	261.788	218.603	90.688	96.227	88.238	-2.195
2200	59.306	264.541	220.629	96.605	95.659	87.871	-2.086
2300	59.550	267.183	222.596	102.548	95.065	87.530	-1.988
2400	59.766	269.722	224.507	108.514	94.441	87.215	-1.898
2500	59.958	272.165	226.365	114.501	93.787	86.928	-1.816
2600	60.131	274.520	228.172	120.505	93.102	86.667	-1.741
2700	60.285	276.793	229.931	126.526	92.386	86.433	-1.672
2800	60.425	278.988	231.644	132.562	-199.320	92.448	-1.725
2900	60.551	281.110	233.313	138.611	-199.037	102.864	-1.853
3000	60.665	283.165	234.941	144.672	-198.771	113.270	-1.972
3100	60.768	285.156	236.529	150.743	-198.524	123.667	-2.084
3200	60.863	287.087	238.079	156.825	-198.295	134.056	-2.188
3300	60.950	288.961	239.593	162.916	-198.089	144.439	-2.286
3400	61.029	290.782	241.071	169.015	-197.906	154.816	-2.378
3500	61.102	292.552	242.517	175.121	-197.748	165.188	-2.465
3600	61.169	294.274	243.931	181.235	-197.619	175.555	-2.547
3700	61.231	295.951	245.314	187.355	-197.519	185.920	-2.625
3800	61.288	297.585	246.669	193.481	-197.451	196.282	-2.698
3900	61.341	299.177	247.995	199.612	-197.418	206.643	-2.768
4000	61.390	300.731	249.294	205.749	-197.421	217.003	-2.834
4100	61.436	302.247	250.567	211.890	-197.463	227.365	-2.897
4200	61.478	303.728	251.815	218.036	-197.547	237.727	-2.957
4300	61.518	305.175	253.039	224.186	-197.674	248.092	-3.014
4400	61.555	306.590	254.240	230.339	-197.847	258.461	-3.068
4500	61.590	307.974	255.419	236.497	-198.067	268.834	-3.121
4600	61.622	309.328	256.576	242.657	-198.337	279.212	-3.171
4700	61.653	310.653	257.713	248.821	-198.658	289.597	-3.219
4800	61.681	311.952	258.829	254.988	-199.031	299.990	-3.265
4900	61.708	313.224	259.926	261.157	-199.458	310.390	-3.309
5000	61.734	314.471	261.005	267.329	-199.940	320.800	-3.351
5100	61.758	315.693	262.065	273.504	-200.478	331.220	-3.392
5200	61.780	316.893	263.108	279.681	-201.072	341.651	-3.432
5300	61.802	318.070	264.134	285.860	-201.724	352.094	-3.470
5400	61.822	319.225	265.144	292.041	-202.433	362.550	-3.507
5500	61.841	320.360	266.137	298.224	-203.200	373.019	-3.543
5600	61.859	321.474	267.115	304.409	-204.024	383.504	-3.577
5700	61.876	322.569	268.079	310.596	-204.905	394.003	-3.611
5800	61.893	323.646	269.028	316.785	-205.842	404.519	-3.643
5900	61.908	324.704	269.962	322.975	-206.836	415.050	-3.675
6000	61.923	325.744	270.883	329.166	-207.884	425.599	-3.705
