Beryllium Oxide ((BeO)4)	Be4O4(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-16.529	-1583.286	-1583.286	INFINITE
100	43.449	235.990	364.943	-12.895	-1585.579	-1574.365	822.364
200	64.574	272.167	309.947	-7.556	-1587.794	-1562.330	408.039
250	77.225	287.926	303.979	-4.013	-1588.943	-1555.829	325.073
298.15	89.389	302.575	302.575	0.	-1589.920	-1549.360	271.441
300	89.844	303.129	302.577	0.166	-1589.954	-1549.108	269.724
350	101.591	317.876	303.714	4.956	-1590.751	-1542.234	230.166
400	112.062	332.140	306.381	10.303	-1591.285	-1535.263	200.485
450	121.155	345.877	310.012	16.140	-1591.563	-1528.241	177.394
500	128.942	359.056	314.262	22.397	-1591.617	-1521.201	158.919
600	141.187	383.708	323.813	35.937	-1591.197	-1507.147	131.209
700	150.034	406.173	333.999	50.522	-1590.296	-1493.205	111.424
800	156.507	426.652	344.320	65.865	-1589.117	-1479.413	96.596
900	161.327	445.377	354.524	81.768	-1587.802	-1465.778	85.072
1000	164.987	462.573	364.481	98.092	-1586.452	-1452.292	75.860
1100	167.817	478.436	374.129	114.738	-1585.137	-1438.940	68.330
1200	170.043	493.137	383.441	131.635	-1583.912	-1425.704	62.059
1300	171.821	506.821	392.412	148.732	-1582.817	-1412.566	56.758
1400	173.262	519.608	401.045	165.988	-1581.884	-1399.505	52.216
1500	174.443	531.604	409.354	183.375	-1581.141	-1386.506	48.282
1600	175.423	542.894	417.350	200.870	-1624.217	-1371.972	44.790
1700	176.245	553.555	425.052	218.455	-1622.711	-1356.253	41.673
1800	176.940	563.649	432.474	236.115	-1621.241	-1340.622	38.904
1900	177.533	573.232	439.632	253.839	-1619.819	-1325.071	36.429
2000	178.043	582.351	446.542	271.619	-1618.453	-1309.593	34.203
2100	178.484	591.049	453.218	289.446	-1617.149	-1294.182	32.191
2200	178.869	599.361	459.673	307.314	-1615.915	-1278.831	30.363
2300	179.205	607.320	465.921	325.218	-1614.753	-1263.536	28.696
2400	179.502	614.953	471.972	343.154	-1613.669	-1248.290	27.168
2500	179.765	622.286	477.839	361.117	-1612.666	-1233.087	25.764
2600	179.998	629.341	483.531	379.106	-1611.745	-1217.922	24.468
2700	180.207	636.138	489.058	397.116	-1610.909	-1202.790	23.269
2800	180.394	642.696	494.429	415.146	-2483.029	-1169.021	21.808
2900	180.563	649.029	499.652	433.194	-2479.174	-1122.162	20.212
3000	180.715	655.153	504.733	451.258	-2475.357	-1075.433	18.725
3100	180.853	661.081	509.682	469.337	-2471.581	-1028.830	17.336
3200	180.979	666.825	514.503	487.429	-2467.852	-982.350	16.035
3300	181.093	672.395	519.204	505.532	-2464.172	-935.986	14.815
3400	181.198	677.803	523.789	523.647	-2460.548	-889.731	13.669
3500	181.294	683.057	528.265	541.772	-2456.984	-843.583	12.590
3600	181.382	688.166	532.636	559.905	-2453.485	-797.535	11.572
3700	181.463	693.136	536.907	578.048	-2450.057	-751.585	10.610
3800	181.538	697.977	541.082	596.198	-2446.706	-705.724	9.701
3900	181.607	702.693	545.166	614.355	-2443.437	-659.951	8.839
4000	181.671	707.292	549.162	632.519	-2440.258	-614.262	8.021
4100	181.731	711.779	553.074	650.689	-2437.174	-568.650	7.245
4200	181.786	716.158	556.905	668.865	-2434.190	-523.113	6.506
4300	181.838	720.437	560.658	687.047	-2431.315	-477.644	5.802
4400	181.886	724.618	564.337	705.233	-2428.554	-432.243	5.131
4500	181.931	728.706	567.945	723.424	-2425.912	-386.904	4.491
4600	181.974	732.705	571.483	741.619	-2423.397	-341.621	3.879
4700	182.013	736.619	574.955	759.818	-2421.015	-296.390	3.294
4800	182.050	740.451	578.363	778.021	-2418.770	-251.209	2.734
4900	182.085	744.205	581.710	796.228	-2416.669	-206.072	2.197
5000	182.118	747.884	584.996	814.438	-2414.717	-160.978	1.682
5100	182.149	751.491	588.226	832.652	-2412.919	-115.921	1.187
5200	182.178	755.028	591.400	850.868	-2411.280	-70.900	0.712
5300	182.205	758.498	594.520	869.087	-2409.804	-25.905	0.255
5400	182.231	761.905	597.588	887.309	-2408.495	19.060	-0.184
5500	182.256	765.249	600.606	905.533	-2407.356	64.003	-0.608
5600	182.279	768.533	603.576	923.760	-2406.393	108.930	-1.016
5700	182.301	771.759	606.498	941.989	-2405.607	153.838	-1.410
5800	182.322	774.930	609.375	960.220	-2405.001	198.737	-1.790
5900	182.342	778.047	612.207	978.454	-2404.577	243.622	-2.157
6000	182.361	781.112	614.997	996.689	-2404.339	288.506	-2.512
