Bromine Chloride (BrCl)	Br1Cl1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.402	22.087	22.087	INFINITE
100	29.709	204.809	269.641	-6.483	22.153	13.815	-7.216
200	32.987	226.411	243.147	-3.347	21.320	5.776	-1.509
250	34.180	233.907	240.573	-1.666	20.783	1.950	-0.407
298.15	34.990	240.001	240.001	0.	14.644	-0.967	0.169
300	35.015	240.218	240.002	0.065	14.607	-1.063	0.185
350	35.604	245.662	240.430	1.831	-0.811	-2.829	0.422
400	36.029	250.445	241.389	3.622	-0.810	-3.117	0.407
450	36.344	254.708	242.637	5.432	-0.809	-3.405	0.395
500	36.586	258.550	244.039	7.256	-0.808	-3.694	0.386
600	36.927	265.253	247.032	10.932	-0.807	-4.271	0.372
700	37.157	270.964	250.053	14.637	-0.807	-4.848	0.362
800	37.323	275.937	252.984	18.362	-0.809	-5.426	0.354
900	37.452	280.340	255.784	22.101	-0.812	-6.003	0.348
1000	37.557	284.292	258.441	25.851	-0.817	-6.579	0.344
1100	37.646	287.876	260.956	29.612	-0.823	-7.155	0.340
1200	37.724	291.155	263.338	33.380	-0.832	-7.730	0.336
1300	37.793	294.177	265.596	37.156	-0.842	-8.305	0.334
1400	37.858	296.980	267.738	40.939	-0.855	-8.878	0.331
1500	37.918	299.594	269.776	44.727	-0.871	-9.451	0.329
1600	37.974	302.043	271.717	48.522	-0.891	-10.022	0.327
1700	38.028	304.347	273.569	52.322	-0.916	-10.592	0.325
1800	38.081	306.522	275.340	56.128	-0.946	-11.160	0.324
1900	38.131	308.583	277.036	59.938	-0.984	-11.727	0.322
2000	38.180	310.540	278.663	63.754	-1.029	-12.291	0.321
2100	38.229	312.404	280.225	67.574	-1.085	-12.853	0.320
2200	38.276	314.183	281.729	71.400	-1.152	-13.412	0.318
2300	38.323	315.886	283.177	75.230	-1.232	-13.967	0.317
2400	38.369	317.518	284.574	79.064	-1.326	-14.519	0.316
2500	38.414	319.085	285.923	82.903	-1.434	-15.066	0.315
2600	38.460	320.592	287.228	86.747	-1.558	-15.609	0.314
2700	38.504	322.045	288.491	90.595	-1.698	-16.147	0.312
2800	38.549	323.446	289.714	94.448	-1.853	-16.680	0.311
2900	38.593	324.799	290.901	98.305	-2.023	-17.206	0.310
3000	38.637	326.108	292.053	102.166	-2.208	-17.726	0.309
3100	38.681	327.376	293.172	106.032	-2.407	-18.240	0.307
3200	38.724	328.605	294.260	109.903	-2.617	-18.748	0.306
3300	38.768	329.797	295.319	113.777	-2.838	-19.248	0.305
3400	38.811	330.955	296.350	117.656	-3.068	-19.742	0.303
3500	38.854	332.081	297.355	121.539	-3.303	-20.230	0.302
3600	38.897	333.176	298.335	125.427	-3.543	-20.710	0.300
3700	38.940	334.242	299.291	129.319	-3.784	-21.183	0.299
3800	38.983	335.281	300.225	133.215	-4.025	-21.650	0.298
3900	39.026	336.294	301.137	137.115	-4.263	-22.111	0.296
4000	39.068	337.283	302.028	141.020	-4.495	-22.566	0.295
4100	39.111	338.248	302.900	144.929	-4.719	-23.015	0.293
4200	39.154	339.191	303.752	148.842	-4.933	-23.458	0.292
4300	39.196	340.113	304.587	152.760	-5.135	-23.897	0.290
4400	39.239	341.015	305.405	156.682	-5.322	-24.331	0.289
4500	39.281	341.897	306.206	160.608	-5.493	-24.761	0.287
4600	39.323	342.761	306.992	164.538	-5.645	-25.187	0.286
4700	39.366	343.607	307.762	168.472	-5.777	-25.611	0.285
4800	39.408	344.436	308.517	172.411	-5.888	-26.032	0.283
4900	39.450	345.249	309.258	176.354	-5.975	-26.450	0.282
5000	39.492	346.046	309.986	180.301	-6.039	-26.868	0.281
5100	39.535	346.829	310.701	184.252	-6.077	-27.284	0.279
5200	39.577	347.597	311.403	188.208	-6.089	-27.700	0.278
5300	39.619	348.351	312.093	192.168	-6.074	-28.115	0.277
5400	39.661	349.092	312.772	196.132	-6.032	-28.531	0.276
5500	39.703	349.820	313.439	200.100	-5.961	-28.948	0.275
5600	39.745	350.536	314.095	204.072	-5.861	-29.367	0.274
5700	39.788	351.240	314.740	208.049	-5.732	-29.788	0.273
5800	39.830	351.932	315.375	212.030	-5.574	-30.212	0.272
5900	39.872	352.614	316.001	216.015	-5.387	-30.638	0.271
6000	39.914	353.284	316.617	220.004	-5.170	-31.068	0.270
