Magnesium Bromide (MgBr)	Br1Mg1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.580	-27.670	-27.670	INFINITE
100	30.272	208.838	275.326	-6.649	-26.777	-44.018	22.993
200	33.916	231.036	248.160	-3.425	-28.011	-60.847	15.892
250	34.967	238.726	245.529	-1.701	-28.865	-68.960	14.408
298.15	35.639	244.946	244.946	0.	-35.342	-75.942	13.305
300	35.660	245.166	244.947	0.066	-35.392	-76.194	13.266
350	36.132	250.701	245.383	1.861	-51.184	-82.118	12.255
400	36.467	255.549	246.357	3.677	-51.577	-86.511	11.297
450	36.715	259.859	247.622	5.507	-51.988	-90.853	10.546
500	36.904	263.738	249.043	7.347	-52.418	-95.148	9.940
600	37.173	270.491	252.071	11.052	-53.341	-103.609	9.020
700	37.359	276.236	255.123	14.779	-54.355	-111.908	8.351
800	37.498	281.235	258.081	18.522	-55.476	-120.055	7.839
900	37.609	285.658	260.904	22.278	-56.721	-128.054	7.432
1000	37.703	289.625	263.582	26.044	-66.699	-135.195	7.062
1100	37.785	293.223	266.115	29.818	-68.247	-141.969	6.742
1200	37.860	296.514	268.513	33.601	-69.791	-148.603	6.469
1300	37.928	299.547	270.785	37.390	-71.333	-155.108	6.232
1400	37.993	302.360	272.941	41.186	-200.282	-158.328	5.907
1500	38.054	304.983	274.991	44.989	-200.467	-155.324	5.409
1600	38.113	307.441	276.943	48.797	-200.652	-152.309	4.972
1700	38.171	309.754	278.806	52.611	-200.837	-149.282	4.587
1800	38.227	311.937	280.586	56.431	-201.023	-146.244	4.244
1900	38.281	314.005	282.291	60.256	-201.210	-143.195	3.937
2000	38.335	315.970	283.927	64.087	-201.401	-140.137	3.660
2100	38.389	317.842	285.497	67.923	-201.596	-137.069	3.409
2200	38.441	319.629	287.009	71.765	-201.796	-133.992	3.181
2300	38.493	321.339	288.464	75.612	-202.001	-130.905	2.973
2400	38.545	322.978	289.868	79.464	-202.214	-127.809	2.782
2500	38.597	324.553	291.225	83.321	-202.434	-124.705	2.606
2600	38.649	326.068	292.536	87.183	-202.662	-121.591	2.443
2700	38.702	327.527	293.805	91.051	-202.898	-118.468	2.292
2800	38.755	328.936	295.034	94.924	-203.142	-115.337	2.152
2900	38.808	330.297	296.227	98.802	-203.396	-112.197	2.021
3000	38.863	331.613	297.385	102.685	-203.658	-109.047	1.899
3100	38.919	332.888	298.510	106.574	-203.930	-105.889	1.784
3200	38.976	334.125	299.603	110.469	-204.211	-102.722	1.677
3300	39.035	335.325	300.668	114.370	-204.501	-99.546	1.576
3400	39.097	336.491	301.704	118.276	-204.801	-96.361	1.480
3500	39.161	337.626	302.715	122.189	-205.111	-93.168	1.390
3600	39.228	338.730	303.700	126.108	-205.431	-89.965	1.305
3700	39.298	339.806	304.661	130.035	-205.761	-86.753	1.225
3800	39.372	340.855	305.600	133.968	-206.103	-83.532	1.148
3900	39.450	341.878	306.517	137.909	-206.457	-80.302	1.076
4000	39.531	342.878	307.413	141.858	-206.823	-77.062	1.006
4100	39.618	343.855	308.290	145.816	-207.203	-73.813	0.940
4200	39.708	344.811	309.149	149.782	-207.597	-70.555	0.877
4300	39.804	345.746	309.989	153.757	-208.006	-67.288	0.817
4400	39.905	346.663	310.812	157.743	-208.432	-64.010	0.760
4500	40.011	347.561	311.619	161.739	-208.874	-60.723	0.705
4600	40.123	348.441	312.410	165.745	-209.334	-57.426	0.652
4700	40.239	349.305	313.186	169.763	-209.814	-54.118	0.601
4800	40.362	350.154	313.947	173.793	-210.314	-50.800	0.553
4900	40.490	350.987	314.694	177.836	-210.835	-47.472	0.506
5000	40.623	351.807	315.428	181.891	-211.379	-44.132	0.461
5100	40.762	352.612	316.150	185.961	-211.946	-40.782	0.418
5200	40.907	353.405	316.858	190.044	-212.538	-37.420	0.376
5300	41.056	354.186	317.555	194.142	-213.155	-34.046	0.336
5400	41.212	354.955	318.241	198.256	-213.799	-30.661	0.297
5500	41.372	355.713	318.915	202.385	-214.470	-27.263	0.259
5600	41.537	356.459	319.579	206.530	-215.170	-23.853	0.222
5700	41.707	357.196	320.233	210.692	-215.899	-20.430	0.187
5800	41.882	357.923	320.876	214.872	-216.659	-16.995	0.153
5900	42.062	358.641	321.510	219.069	-217.450	-13.546	0.120
6000	42.245	359.349	322.135	223.284	-218.273	-10.083	0.088
