Titanium Bromide (TiBr)	Br1Ti1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.938	219.694	219.694	INFINITE
100	31.427	222.442	292.172	-6.973	220.702	201.976	-105.501
200	35.424	245.604	263.646	-3.608	219.699	183.565	-47.942
250	36.809	253.660	260.868	-1.802	218.934	174.618	-36.484
298.15	38.020	260.249	260.249	0.	212.547	166.815	-29.225
300	38.065	260.484	260.249	0.070	212.501	166.531	-28.996
350	39.192	266.438	260.717	2.002	196.821	159.737	-23.839
400	40.173	271.737	261.769	3.987	196.564	154.457	-20.170
450	41.000	276.518	263.147	6.017	196.316	149.209	-17.320
500	41.678	280.874	264.705	8.085	196.076	143.988	-15.042
600	42.651	288.566	268.058	12.305	195.611	133.614	-11.632
700	43.232	295.189	271.472	16.602	195.150	123.317	-9.202
800	43.559	300.985	274.806	20.943	194.690	113.087	-7.384
900	43.734	306.127	278.006	25.309	194.183	102.916	-5.973
1000	43.829	310.740	281.053	29.687	193.553	92.807	-4.848
1100	43.887	314.920	283.945	34.073	192.733	82.771	-3.930
1200	43.933	318.741	286.687	38.464	187.733	72.938	-3.175
1300	43.980	322.259	289.290	42.860	187.248	63.391	-2.547
1400	44.034	325.520	291.763	47.260	186.685	53.884	-2.010
1500	44.097	328.561	294.116	51.667	186.032	44.420	-1.547
1600	44.169	331.409	296.359	56.080	185.276	35.003	-1.143
1700	44.249	334.089	298.500	60.501	184.404	25.637	-0.788
1800	44.336	336.621	300.548	64.930	183.402	16.326	-0.474
1900	44.426	339.020	302.510	69.368	182.258	7.075	-0.195
2000	44.519	341.301	304.393	73.816	166.270	-1.659	0.043
2100	44.612	343.475	306.203	78.272	164.051	-10.001	0.249
2200	44.704	345.553	307.945	82.738	161.831	-18.237	0.433
2300	44.794	347.542	309.624	87.213	159.610	-26.372	0.599
2400	44.881	349.450	311.244	91.697	157.386	-34.410	0.749
2500	44.965	351.284	312.809	96.189	155.159	-42.356	0.885
2600	45.044	353.049	314.323	100.689	152.929	-50.213	1.009
2700	45.119	354.751	315.789	105.198	150.696	-57.984	1.122
2800	45.190	356.393	317.210	109.713	148.460	-65.672	1.225
2900	45.256	357.980	318.588	114.235	146.220	-73.280	1.320
3000	45.318	359.515	319.927	118.764	143.977	-80.810	1.407
3100	45.376	361.002	321.228	123.299	141.732	-88.266	1.487
3200	45.430	362.444	322.494	127.839	139.486	-95.650	1.561
3300	45.481	363.842	323.726	132.385	137.239	-102.963	1.630
3400	45.528	365.201	324.926	136.935	134.993	-110.208	1.693
3500	45.572	366.521	326.095	141.490	132.748	-117.387	1.752
3600	45.614	367.806	327.236	146.050	130.506	-124.502	1.806
3700	45.653	369.056	328.350	150.613	-280.831	-123.767	1.747
3800	45.690	370.274	329.437	155.180	-281.831	-119.508	1.643
3900	45.726	371.461	330.499	159.751	-282.880	-115.223	1.543
4000	45.760	372.619	331.538	164.325	-283.977	-110.910	1.448
4100	45.793	373.750	332.554	168.903	-285.119	-106.570	1.358
4200	45.825	374.854	333.548	173.484	-286.303	-102.201	1.271
4300	45.856	375.932	334.521	178.068	-287.527	-97.803	1.188
4400	45.887	376.987	335.474	182.655	-288.788	-93.376	1.109
4500	45.918	378.018	336.408	187.245	-290.084	-88.920	1.032
4600	45.949	379.028	337.324	191.839	-291.412	-84.435	0.959
4700	45.980	380.016	338.222	196.435	-292.769	-79.921	0.888
4800	46.011	380.985	339.103	201.035	-294.154	-75.378	0.820
4900	46.042	381.934	339.967	205.637	-295.564	-70.806	0.755
5000	46.074	382.864	340.816	210.243	-296.996	-66.204	0.692
5100	46.106	383.777	341.649	214.852	-298.447	-61.574	0.631
5200	46.140	384.673	342.468	219.464	-299.917	-56.915	0.572
5300	46.173	385.552	343.273	224.080	-301.402	-52.228	0.515
5400	46.208	386.415	344.064	228.699	-302.901	-47.513	0.460
5500	46.244	387.263	344.841	233.322	-304.411	-42.769	0.406
5600	46.280	388.097	345.606	237.948	-305.930	-37.998	0.354
5700	46.318	388.916	346.359	242.578	-307.458	-33.200	0.304
5800	46.356	389.722	347.100	247.212	-308.991	-28.376	0.256
5900	46.395	390.515	347.829	251.849	-310.528	-23.524	0.208
6000	46.436	391.295	348.547	256.491	-312.068	-18.647	0.162
