Magnesium Bromide (MgBr2)	Br2Mg1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	73.161	117.152	117.152	0.	-524.255	-504.063	88.310
300	73.387	117.605	117.153	0.136	-524.306	-503.937	87.743
400	77.278	139.284	120.083	7.681	-553.796	-491.005	64.119
500	79.743	156.808	125.731	15.538	-552.296	-475.479	49.673
600	81.429	171.498	132.168	23.598	-550.723	-460.263	40.069
700	82.969	184.165	138.712	31.818	-549.114	-445.313	33.230
800	84.554	195.346	145.106	40.193	-547.480	-430.595	28.115
900	86.270	205.403	151.256	48.733	-545.822	-416.084	24.149
1000	88.136	214.586	157.136	57.450	-552.735	-401.046	20.948
1100	90.144	223.079	162.749	66.363	-551.036	-385.957	18.328
1200	92.257	231.013	168.111	75.483	-549.140	-371.032	16.151
1300	94.433	238.484	173.240	84.817	-547.036	-356.274	14.315
1400	96.567	245.560	178.155	94.367	-672.136	-338.518	12.630
1500	98.701	252.295	182.875	104.131	-668.270	-314.822	10.963
