Lead Bromide (PbBr2)	Br2Pb1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-14.989	-87.992	-87.992	INFINITE
100	49.793	280.145	388.803	-10.866	-88.428	-107.375	56.087
200	55.493	316.912	344.558	-5.529	-90.518	-125.561	32.793
250	56.408	329.404	340.321	-2.729	-91.839	-134.174	28.034
298.15	56.918	339.386	339.386	0.	-104.391	-140.883	24.682
300	56.933	339.739	339.388	0.105	-104.475	-141.109	24.569
350	57.259	348.541	340.082	2.961	-135.624	-145.497	21.714
400	57.474	356.202	341.629	5.829	-135.960	-146.885	19.181
450	57.624	362.981	343.632	8.707	-136.320	-148.229	17.206
500	57.732	369.058	345.876	11.591	-136.704	-149.532	15.622
600	57.873	379.597	350.644	17.372	-137.531	-152.022	13.235
700	57.960	388.525	355.434	23.164	-143.300	-153.568	11.459
800	58.016	396.269	360.065	28.963	-144.271	-154.968	10.118
900	58.054	403.104	364.475	34.766	-145.216	-156.248	9.068
1000	58.082	409.222	368.649	40.573	-146.138	-157.425	8.223
1100	58.103	414.759	372.593	46.383	-147.036	-158.509	7.527
1200	58.118	419.816	376.321	52.194	-147.911	-159.514	6.943
1300	58.131	424.468	379.848	58.006	-148.770	-160.446	6.447
1400	58.140	428.776	383.191	63.820	-149.628	-161.312	6.019
1500	58.148	432.788	386.365	69.634	-150.497	-162.116	5.645
1600	58.154	436.541	389.385	75.449	-151.384	-162.862	5.317
1700	58.160	440.067	392.264	81.265	-152.294	-163.551	5.025
1800	58.164	443.391	395.013	87.081	-153.234	-164.187	4.765
1900	58.168	446.536	397.642	92.898	-154.206	-164.769	4.530
2000	58.171	449.520	400.162	98.715	-155.215	-165.299	4.317
2100	58.174	452.358	402.581	104.532	-333.483	-158.662	3.947
2200	58.176	455.064	404.905	110.350	-334.182	-150.321	3.569
2300	58.178	457.650	407.143	116.167	-334.991	-141.946	3.224
2400	58.180	460.126	409.299	121.985	-335.912	-133.534	2.906
2500	58.182	462.501	411.380	127.803	-336.947	-125.080	2.613
2600	58.183	464.783	413.390	133.622	-338.096	-116.584	2.342
2700	58.185	466.979	415.335	139.440	-339.354	-108.040	2.090
2800	58.186	469.095	417.217	145.258	-340.719	-99.449	1.855
2900	58.187	471.137	419.042	151.077	-342.183	-90.806	1.636
3000	58.188	473.110	420.811	156.896	-343.740	-82.112	1.430
3100	58.188	475.018	422.529	162.715	-345.382	-73.364	1.236
3200	58.189	476.865	424.198	168.534	-347.100	-64.562	1.054
3300	58.190	478.656	425.822	174.352	-348.884	-55.705	0.882
3400	58.191	480.393	427.401	180.172	-350.726	-46.793	0.719
3500	58.191	482.080	428.940	185.991	-352.614	-37.827	0.565
3600	58.192	483.719	430.439	191.810	-354.541	-28.806	0.418
3700	58.192	485.313	431.900	197.629	-356.496	-19.730	0.279
3800	58.193	486.865	433.326	203.448	-358.471	-10.603	0.146
3900	58.193	488.377	434.719	209.267	-360.459	-1.422	0.019
4000	58.193	489.850	436.079	215.087	-362.450	7.809	-0.102
4100	58.194	491.287	437.408	220.906	-364.438	17.090	-0.218
4200	58.194	492.689	438.707	226.726	-366.418	26.420	-0.329
4300	58.194	494.059	439.979	232.545	-368.382	35.796	-0.435
4400	58.195	495.397	441.223	238.364	-370.327	45.218	-0.537
4500	58.195	496.705	442.441	244.184	-372.247	54.684	-0.635
4600	58.195	497.984	443.635	250.003	-374.139	64.193	-0.729
4700	58.195	499.235	444.805	255.823	-376.000	73.742	-0.820
4800	58.196	500.460	445.951	261.643	-377.826	83.330	-0.907
4900	58.196	501.660	447.076	267.462	-379.616	92.956	-0.991
5000	58.196	502.836	448.180	273.282	-381.368	102.618	-1.072
5100	58.196	503.988	449.263	279.101	-383.081	112.315	-1.150
5200	58.196	505.119	450.326	284.921	-384.754	122.045	-1.226
5300	58.197	506.227	451.370	290.741	-386.386	131.807	-1.299
5400	58.197	507.315	452.396	296.560	-387.977	141.599	-1.370
5500	58.197	508.383	453.405	302.380	-389.527	151.421	-1.438
5600	58.197	509.431	454.396	308.200	-391.036	161.269	-1.504
5700	58.197	510.461	455.370	314.019	-392.506	171.145	-1.568
5800	58.197	511.474	456.329	319.839	-393.937	181.046	-1.630
5900	58.197	512.468	457.272	325.659	-395.328	190.972	-1.691
6000	58.198	513.447	458.200	331.479	-396.682	200.920	-1.749
