Zirconium Bromide (ZrBr2)	Br2Zr1(l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	91.002	184.024	184.024	0.	-342.333	-340.230	59.607
300	91.002	184.587	184.026	0.168	-342.351	-340.217	59.237
400	91.002	210.767	187.596	9.269	-370.290	-333.606	43.565
500	91.002	231.074	194.336	18.369	-367.506	-324.760	33.927
600	91.002	247.665	201.884	27.469	-364.817	-316.464	27.551
700	91.002	261.693	209.452	36.569	-362.222	-308.612	23.029
800	91.002	273.845	216.758	45.669	-359.724	-301.125	19.661
900	91.002	284.563	223.708	54.770	-357.335	-293.945	17.060
1000	91.002	294.151	230.282	63.870	-355.065	-287.025	14.993
1100	91.002	302.825	236.488	72.970	-352.919	-280.325	13.312
1200	91.002	310.743	242.351	82.070	-354.613	-273.594	11.909
1300	91.002	318.027	247.896	91.170	-352.182	-266.942	10.726
1400	91.002	324.771	253.149	100.271	-349.802	-260.475	9.718
1500	91.002	331.049	258.136	109.371	-347.484	-254.175	8.851
1600	91.002	336.923	262.878	118.471	-345.240	-248.028	8.097
1700	91.002	342.440	267.398	127.571	-343.081	-242.019	7.436
1800	91.002	347.641	271.713	136.671	-341.020	-236.134	6.852
1900	91.002	352.561	275.839	145.772	-339.070	-230.361	6.333
2000	91.002	357.229	279.793	154.872	-337.242	-224.687	5.868
