Tetrabromosilane (SiBr4)	Br4Si1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-22.313	-385.548	-385.548	INFINITE
100	70.691	287.079	459.223	-17.214	-386.301	-403.857	210.953
200	88.479	342.240	388.009	-9.154	-389.222	-420.368	109.789
250	93.599	362.569	380.944	-4.594	-391.143	-427.942	89.414
298.15	97.009	379.365	379.365	0.	-415.471	-432.207	75.721
300	97.117	379.965	379.367	0.180	-415.609	-432.311	75.272
350	99.568	395.131	380.559	5.100	-477.023	-431.728	64.432
400	101.316	408.547	383.235	10.125	-476.745	-425.276	55.535
450	102.594	420.558	386.726	15.224	-476.453	-418.860	48.620
500	103.552	431.419	390.661	20.379	-476.152	-412.477	43.091
600	104.857	450.424	399.083	30.805	-475.541	-399.799	34.806
700	105.676	466.654	407.605	41.334	-474.936	-387.224	28.895
800	106.222	480.803	415.889	51.931	-474.354	-374.733	24.468
900	106.603	493.337	423.811	62.573	-473.801	-362.314	21.028
1000	106.879	504.584	431.336	73.248	-473.285	-349.955	18.280
1100	107.085	514.781	438.466	83.947	-472.809	-337.645	16.033
1200	107.243	524.106	445.219	94.664	-472.375	-325.377	14.163
1300	107.366	532.695	451.622	105.394	-471.986	-313.143	12.582
1400	107.464	540.655	457.701	116.136	-471.645	-300.938	11.228
1500	107.544	548.072	463.481	126.886	-471.357	-288.755	10.055
1600	107.609	555.015	468.987	137.644	-471.123	-276.590	9.030
1700	107.663	561.540	474.242	148.408	-521.126	-263.990	8.111
1800	107.709	567.696	479.264	159.177	-520.785	-248.874	7.222
1900	107.747	573.520	484.073	169.949	-520.470	-233.777	6.427
2000	107.780	579.048	488.685	180.726	-520.184	-218.695	5.712
2100	107.809	584.307	493.114	191.505	-519.932	-203.627	5.065
2200	107.833	589.323	497.374	202.287	-519.717	-188.570	4.477
2300	107.855	594.117	501.477	213.072	-519.543	-173.522	3.941
2400	107.874	598.707	505.433	223.858	-519.412	-158.480	3.449
2500	107.890	603.111	509.253	234.647	-519.324	-143.443	2.997
2600	107.905	607.343	512.945	245.436	-519.280	-128.410	2.580
2700	107.918	611.416	516.517	256.228	-519.279	-113.376	2.193
2800	107.930	615.341	519.977	267.020	-519.320	-98.342	1.835
2900	107.941	619.128	523.331	277.814	-519.400	-83.306	1.500
3000	107.950	622.788	526.585	288.608	-519.515	-68.267	1.189
3100	107.959	626.328	529.746	299.404	-519.663	-53.222	0.897
3200	107.967	629.756	532.818	310.200	-519.837	-38.173	0.623
3300	107.974	633.078	535.806	320.997	-520.034	-23.118	0.366
3400	107.981	636.301	538.715	331.795	-520.248	-8.057	0.124
3500	107.987	639.432	541.548	342.593	-520.474	7.010	-0.105
3600	107.992	642.474	544.309	353.392	-904.858	32.546	-0.472
3700	107.997	645.433	547.003	364.192	-904.677	58.583	-0.827
3800	108.002	648.313	549.631	374.992	-904.495	84.614	-1.163
3900	108.006	651.118	552.197	385.792	-904.305	110.640	-1.482
4000	108.010	653.853	554.705	396.593	-904.103	136.662	-1.785
4100	108.014	656.520	557.156	407.394	-903.883	162.679	-2.073
4200	108.017	659.123	559.552	418.196	-903.643	188.689	-2.347
4300	108.021	661.665	561.898	428.998	-903.377	214.694	-2.608
4400	108.024	664.148	564.193	439.800	-903.083	240.693	-2.857
4500	108.026	666.576	566.442	450.602	-902.756	266.684	-3.096
4600	108.029	668.950	568.644	461.405	-902.396	292.667	-3.323
4700	108.031	671.273	570.803	472.208	-901.999	318.643	-3.541
4800	108.034	673.548	572.920	483.011	-901.563	344.610	-3.750
4900	108.036	675.775	574.997	493.815	-901.087	370.567	-3.950
5000	108.038	677.958	577.034	504.618	-900.570	396.514	-4.142
5100	108.040	680.097	579.034	515.422	-900.010	422.450	-4.327
5200	108.042	682.195	580.998	526.226	-899.407	448.374	-4.504
5300	108.043	684.253	582.927	537.031	-898.760	474.288	-4.674
5400	108.045	686.273	584.822	547.835	-898.070	500.188	-4.838
5500	108.047	688.255	586.685	558.640	-897.335	526.075	-4.996
5600	108.048	690.202	588.516	569.444	-896.557	551.948	-5.148
5700	108.049	692.115	590.317	580.249	-895.735	577.807	-5.295
5800	108.051	693.994	592.088	591.054	-894.871	603.650	-5.436
5900	108.052	695.841	593.831	601.859	-893.966	629.479	-5.573
6000	108.053	697.657	595.546	612.665	-893.018	655.292	-5.705
