Titanium Bromide (TiBr4)	Br4Ti1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-28.556	-592.684	-592.684	INFINITE
100	94.098	120.922	349.954	-22.903	-593.178	-593.675	310.104
200	117.273	194.146	255.191	-12.209	-594.203	-593.819	155.090
298.15	131.503	243.622	243.622	0.	-617.977	-590.681	103.485
300	131.815	244.436	243.624	0.244	-618.060	-590.512	102.817
311.400	133.779	249.388	243.745	1.757	CRYSTAL <--> LIQUID
400	133.779	282.886	248.860	13.611	676.266  569.177 74.327
500	133.779	312.738	258.761	26.989	-673.012	-542.785	56.704
600	133.779	337.129	269.852	40.366	-669.899	-517.034	45.012
700	133.779	357.751	280.974	53.744	-666.885	-491.796	36.698
800	133.779	375.615	291.712	67.122	-663.937	-466.985	30.491
900	133.779	391.372	301.927	80.500	-661.078	-442.539	25.684
1000	133.779	405.467	311.589	93.878	-658.370	-418.404	21.855
1100	133.779	418.218	320.712	107.256	-655.873	-394.530	18.735
1200	133.779	429.858	329.329	120.634	-657.574	-370.753	16.138
1300	133.779	440.566	337.480	134.012	-654.777	-346.966	13.941
1400	133.779	450.480	345.202	147.390	-652.077	-323.390	12.066
1500	133.779	459.710	352.531	160.768	-649.487	-300.004	10.447
