Zirconium Bromide (ZrBr4)	Br4Zr1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-28.162	-734.298	-734.298	INFINITE
100	93.625	103.324	328.883	-22.556	-735.164	-733.321	383.048
200	116.077	176.515	235.865	-11.870	-736.473	-730.998	190.917
298.15	124.805	224.689	224.689	0.	-760.651	-725.293	127.068
300	124.917	225.462	224.692	0.231	-760.747	-725.073	126.246
400	129.286	262.045	229.650	12.958	-819.539	-700.929	91.532
500	131.629	291.157	239.139	26.009	-816.496	-671.627	70.164
600	133.344	315.313	249.879	39.260	-813.375	-642.945	55.973
700	134.725	335.974	260.738	52.666	-810.213	-614.789	45.876
800	135.896	354.041	271.295	66.197	-807.037	-587.089	38.333
900	137.068	370.115	281.398	79.845	-803.864	-559.786	32.489
1000	138.239	384.617	291.007	93.610	-800.703	-532.835	27.832
