Carbonic Dichloride (COCl2)	C1Cl2O1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.867	-218.372	-218.372	INFINITE
100	36.537	233.747	328.453	-9.471	-219.399	-215.113	112.363
200	48.362	262.618	288.800	-5.236	-219.985	-210.551	54.990
250	53.603	273.992	284.724	-2.683	-220.075	-208.180	43.497
298.15	57.695	283.796	283.796	0.	-220.078	-205.887	36.071
300	57.835	284.153	283.797	0.107	-220.077	-205.799	35.833
350	61.211	293.332	284.514	3.086	-220.026	-203.423	30.359
400	63.938	301.689	286.147	6.217	-219.945	-201.056	26.255
450	66.184	309.354	288.305	9.472	-219.853	-198.701	23.065
500	68.068	316.427	290.768	12.830	-219.760	-196.356	20.513
600	71.048	329.115	296.127	19.793	-219.587	-191.691	16.688
700	73.282	340.242	301.650	27.014	-219.438	-187.054	13.958
800	74.993	350.144	307.105	34.432	-219.309	-182.437	11.912
900	76.324	359.057	312.390	42.000	-219.198	-177.835	10.321
1000	77.373	367.155	317.468	49.687	-219.102	-173.244	9.049
1100	78.210	374.570	322.327	57.468	-219.020	-168.662	8.009
1200	78.886	381.406	326.969	65.324	-218.952	-164.087	7.143
1300	79.437	387.742	331.403	73.241	-218.898	-159.517	6.409
1400	79.891	393.646	335.641	81.208	-218.859	-154.951	5.781
1500	80.270	399.172	339.694	89.217	-218.836	-150.387	5.237
1600	80.588	404.363	343.575	97.260	-218.831	-145.824	4.761
1700	80.857	409.256	347.296	105.332	-218.845	-141.261	4.340
1800	81.086	413.885	350.868	113.430	-218.880	-136.697	3.967
1900	81.284	418.274	354.301	121.549	-218.937	-132.130	3.632
2000	81.455	422.448	357.605	129.686	-219.018	-127.559	3.331
2100	81.604	426.426	360.788	137.839	-219.125	-122.983	3.059
2200	81.734	430.225	363.859	146.006	-219.259	-118.402	2.811
2300	81.849	433.861	366.824	154.185	-219.423	-113.814	2.585
2400	81.950	437.347	369.690	162.375	-219.618	-109.218	2.377
2500	82.040	440.694	372.464	170.575	-219.846	-104.614	2.186
2600	82.120	443.913	375.150	178.783	-220.108	-99.999	2.009
2700	82.192	447.014	377.755	186.999	-220.405	-95.374	1.845
2800	82.257	450.004	380.282	195.221	-220.738	-90.737	1.693
2900	82.316	452.892	382.737	203.450	-221.108	-86.088	1.551
3000	82.368	455.683	385.122	211.684	-221.515	-81.425	1.418
3100	82.416	458.385	387.442	219.923	-221.958	-76.748	1.293
3200	82.460	461.002	389.700	228.167	-222.437	-72.057	1.176
3300	82.500	463.540	391.899	236.415	-222.951	-67.350	1.066
3400	82.537	466.004	394.043	244.667	-223.498	-62.626	0.962
3500	82.570	468.397	396.133	252.922	-224.076	-57.887	0.864
3600	82.601	470.723	398.173	261.181	-224.685	-53.130	0.771
3700	82.629	472.987	400.164	269.443	-225.320	-48.356	0.683
3800	82.656	475.191	402.110	277.707	-225.981	-43.564	0.599
3900	82.680	477.338	404.011	285.974	-226.664	-38.754	0.519
4000	82.703	479.432	405.871	294.243	-227.366	-33.927	0.443
4100	82.724	481.474	407.690	302.514	-228.085	-29.083	0.371
4200	82.743	483.468	409.471	310.787	-228.819	-24.220	0.301
4300	82.761	485.415	411.214	319.063	-229.564	-19.340	0.235
4400	82.778	487.318	412.922	327.340	-230.318	-14.442	0.171
4500	82.794	489.178	414.596	335.618	-231.079	-9.528	0.111
4600	82.809	490.998	416.237	343.898	-231.844	-4.596	0.052
4700	82.823	492.779	417.847	352.180	-232.611	0.352	-0.004
4800	82.836	494.523	419.426	360.463	-233.378	5.317	-0.058
4900	82.848	496.231	420.976	368.747	-234.143	10.299	-0.110
5000	82.860	497.905	422.498	377.033	-234.905	15.295	-0.160
5100	82.871	499.546	423.993	385.319	-235.662	20.306	-0.208
5200	82.881	501.155	425.462	393.607	-236.413	25.332	-0.254
5300	82.891	502.734	426.905	401.895	-237.157	30.373	-0.299
5400	82.900	504.284	428.323	410.185	-237.893	35.428	-0.343
5500	82.909	505.805	429.718	418.476	-238.620	40.496	-0.385
5600	82.917	507.299	431.090	426.767	-239.339	45.577	-0.425
5700	82.925	508.766	432.440	435.059	-240.048	50.671	-0.464
5800	82.932	510.209	433.769	443.352	-240.748	55.778	-0.502
5900	82.939	511.626	435.076	451.645	-241.438	60.896	-0.539
6000	82.946	513.020	436.364	459.940	-242.119	66.026	-0.575
