Triclorofluormethane (CCl3F)	C1Cl3F1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-16.060	-285.522	-285.522	INFINITE
100	43.323	244.360	369.234	-12.487	-287.829	-275.301	143.802
200	64.411	281.288	316.474	-7.037	-288.727	-262.314	68.509
250	72.066	296.515	310.988	-3.618	-288.783	-255.700	53.426
298.15	78.018	309.735	309.735	0.	-288.696	-249.335	43.682
300	78.223	310.219	309.737	0.145	-288.691	-249.090	43.371
350	83.173	322.662	310.708	4.184	-288.494	-242.505	36.192
400	87.149	334.038	312.924	8.446	-288.227	-235.952	30.812
450	90.347	344.494	315.859	12.886	-287.912	-229.437	26.632
500	92.930	354.151	319.211	17.470	-287.569	-222.957	23.292
600	96.749	371.455	326.511	26.967	-286.835	-210.103	18.291
700	99.350	386.577	334.034	36.780	-286.079	-197.374	14.728
800	101.178	399.969	341.455	46.811	-285.322	-184.754	12.063
900	102.502	411.967	348.635	56.999	-284.577	-172.228	9.996
1000	103.488	422.820	355.520	67.300	-283.848	-159.784	8.346
1100	104.238	432.720	362.094	77.688	-283.139	-147.412	7.000
1200	104.822	441.816	368.364	88.143	-282.452	-135.104	5.881
1300	105.284	450.225	374.342	98.649	-281.788	-122.852	4.936
1400	105.655	458.042	380.044	109.196	-281.148	-110.650	4.128
1500	105.959	465.342	385.490	119.778	-280.533	-98.493	3.430
1600	106.209	472.189	390.697	130.386	-279.943	-86.377	2.820
1700	106.418	478.634	395.682	141.018	-279.379	-74.296	2.283
1800	106.594	484.722	400.461	151.669	-278.842	-62.248	1.806
1900	106.744	490.489	405.049	162.336	-278.330	-50.229	1.381
2000	106.872	495.968	409.459	173.017	-277.845	-38.237	0.999
2100	106.983	501.185	413.704	183.710	-277.387	-26.268	0.653
2200	107.080	506.164	417.794	194.413	-276.957	-14.320	0.340
2300	107.164	510.926	421.741	205.125	-276.553	-2.391	0.054
2400	107.239	515.488	425.552	215.846	-276.178	9.521	-0.207
2500	107.304	519.867	429.238	226.573	-275.830	21.418	-0.448
2600	107.363	524.077	432.805	237.306	-275.510	33.302	-0.669
2700	107.415	528.130	436.261	248.045	-275.219	45.174	-0.874
2800	107.462	532.037	439.612	258.789	-274.955	57.035	-1.064
2900	107.504	535.809	442.865	269.537	-274.719	68.888	-1.241
3000	107.542	539.454	446.024	280.290	-274.508	80.732	-1.406
3100	107.576	542.981	449.095	291.045	-274.323	92.571	-1.560
3200	107.607	546.397	452.083	301.805	-274.161	104.403	-1.704
3300	107.636	549.708	454.991	312.567	-274.020	116.231	-1.840
3400	107.662	552.922	457.824	323.332	-273.897	128.055	-1.967
3500	107.685	556.043	460.586	334.099	-273.791	139.875	-2.088
3600	107.707	559.077	463.280	344.869	-273.697	151.693	-2.201
3700	107.728	562.029	465.909	355.640	-273.613	163.509	-2.308
3800	107.746	564.902	468.477	366.414	-273.534	175.321	-2.410
3900	107.763	567.701	470.985	377.190	-273.458	187.132	-2.506
4000	107.779	570.429	473.437	387.967	-273.381	198.942	-2.598
4100	107.794	573.091	475.836	398.745	-273.298	210.749	-2.685
4200	107.808	575.688	478.182	409.526	-273.206	222.554	-2.768
4300	107.821	578.225	480.480	420.307	-273.102	234.356	-2.847
4400	107.832	580.704	482.729	431.090	-272.982	246.156	-2.922
4500	107.844	583.128	484.934	441.873	-272.842	257.953	-2.994
4600	107.854	585.498	487.094	452.658	-272.679	269.747	-3.063
4700	107.864	587.818	489.213	463.444	-272.490	281.537	-3.129
4800	107.873	590.089	491.291	474.231	-272.273	293.322	-3.192
4900	107.882	592.313	493.330	485.019	-272.024	305.103	-3.252
5000	107.890	594.493	495.331	495.807	-271.742	316.878	-3.310
5100	107.897	596.629	497.297	506.597	-271.424	328.648	-3.366
5200	107.905	598.724	499.227	517.387	-271.068	340.410	-3.419
5300	107.911	600.780	501.124	528.178	-270.674	352.166	-3.471
5400	107.918	602.797	502.988	538.969	-270.238	363.913	-3.520
5500	107.924	604.777	504.821	549.761	-269.761	375.653	-3.568
5600	107.930	606.722	506.623	560.554	-269.241	387.383	-3.613
5700	107.935	608.632	508.396	571.347	-268.678	399.103	-3.657
5800	107.940	610.510	510.140	582.141	-268.070	410.814	-3.700
5900	107.945	612.355	511.857	592.935	-267.418	422.513	-3.741
6000	107.950	614.169	513.547	603.730	-266.721	434.200	-3.780
