Formyl Fluoride (HCOF)	C1H1F1O1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-10.443	-372.964	-372.964	INFINITE
100	33.314	207.960	279.124	-7.116	-374.103	-372.583	194.617
200	35.452	231.500	250.043	-3.709	-375.288	-370.617	96.795
250	37.759	239.647	247.170	-1.881	-375.934	-369.375	77.177
298.15	40.414	246.520	246.520	0.	-376.560	-368.054	64.482
300	40.521	246.771	246.521	0.075	-376.584	-368.002	64.075
350	43.451	253.236	247.025	2.174	-377.213	-366.521	54.700
400	46.351	259.229	248.180	4.419	-377.810	-364.952	47.658
450	49.110	264.849	249.723	6.807	-378.373	-363.311	42.172
500	51.678	270.158	251.504	9.327	-378.903	-361.609	37.777
600	56.197	279.992	255.446	14.728	-379.861	-358.058	31.172
700	59.958	288.946	259.601	20.541	-380.693	-354.356	26.442
800	63.083	297.163	263.790	26.698	-381.406	-350.544	22.888
900	65.689	304.748	267.925	33.141	-382.016	-346.649	20.119
1000	67.874	311.785	271.963	39.822	-382.535	-342.690	17.900
1100	69.714	318.343	275.885	46.704	-382.981	-338.684	16.083
1200	71.270	324.478	279.682	53.755	-383.367	-334.639	14.566
1300	72.594	330.236	283.351	60.950	-383.708	-330.564	13.282
1400	73.724	335.658	286.896	68.268	-384.014	-326.465	12.181
1500	74.694	340.779	290.319	75.690	-384.297	-322.344	11.225
1600	75.531	345.627	293.625	83.202	-384.563	-318.205	10.388
1700	76.256	350.228	296.821	90.792	-384.820	-314.050	9.650
1800	76.888	354.605	299.910	98.450	-385.074	-309.880	8.992
1900	77.441	358.777	302.900	106.167	-385.328	-305.696	8.404
2000	77.926	362.762	305.794	113.936	-385.585	-301.498	7.874
2100	78.355	366.575	308.598	121.751	-385.848	-297.287	7.395
2200	78.734	370.229	311.317	129.605	-386.118	-293.063	6.958
2300	79.072	373.736	313.955	137.496	-386.396	-288.827	6.559
2400	79.374	377.108	316.517	145.419	-386.682	-284.579	6.194
2500	79.644	380.354	319.006	153.370	-386.976	-280.319	5.857
2600	79.887	383.482	321.426	161.347	-387.277	-276.047	5.546
2700	80.106	386.501	323.781	169.346	-387.585	-271.763	5.258
2800	80.304	389.418	326.073	177.367	-387.900	-267.467	4.990
2900	80.484	392.239	328.306	185.407	-388.220	-263.161	4.740
3000	80.648	394.971	330.483	193.463	-388.546	-258.842	4.507
3100	80.797	397.618	332.606	201.536	-388.876	-254.513	4.289
3200	80.934	400.185	334.678	209.622	-389.211	-250.174	4.084
3300	81.059	402.678	336.701	217.722	-389.549	-245.824	3.891
3400	81.174	405.099	338.677	225.834	-389.890	-241.463	3.710
3500	81.280	407.454	340.609	233.957	-390.234	-237.093	3.538
3600	81.377	409.745	342.498	242.089	-390.580	-232.713	3.377
3700	81.468	411.976	344.345	250.232	-390.930	-228.323	3.223
3800	81.551	414.149	346.154	258.383	-391.282	-223.923	3.078
3900	81.629	416.269	347.925	266.542	-391.637	-219.514	2.940
4000	81.701	418.336	349.659	274.708	-391.995	-215.096	2.809
4100	81.768	420.355	351.359	282.882	-392.356	-210.669	2.684
4200	81.831	422.326	353.025	291.062	-392.721	-206.233	2.565
4300	81.889	424.252	354.659	299.248	-393.089	-201.789	2.451
4400	81.944	426.135	356.263	307.440	-393.461	-197.336	2.343
4500	81.995	427.977	357.836	315.637	-393.838	-192.875	2.239
4600	82.043	429.780	359.380	323.838	-394.219	-188.405	2.139
4700	82.088	431.545	360.897	332.045	-394.606	-183.926	2.044
4800	82.131	433.274	362.387	340.256	-394.999	-179.439	1.953
4900	82.171	434.968	363.851	348.471	-395.399	-174.944	1.865
5000	82.208	436.628	365.290	356.690	-395.805	-170.441	1.781
5100	82.244	438.256	366.705	364.913	-396.218	-165.929	1.699
5200	82.278	439.854	368.096	373.139	-396.639	-161.410	1.621
5300	82.309	441.421	369.465	381.368	-397.069	-156.882	1.546
5400	82.339	442.960	370.812	389.601	-397.508	-152.346	1.474
5500	82.368	444.471	372.137	397.836	-397.956	-147.803	1.404
5600	82.395	445.955	373.442	406.074	-398.413	-143.250	1.336
5700	82.420	447.414	374.727	414.315	-398.882	-138.690	1.271
5800	82.445	448.848	375.993	422.558	-399.361	-134.120	1.208
5900	82.468	450.257	377.240	430.804	-399.852	-129.544	1.147
6000	82.490	451.643	378.468	439.052	-400.355	-124.958	1.088
