Formyl, Ion (HCO+)	C1H1O1+(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.249	827.215				
100	29.166	169.137	232.573	-6.344						
200	31.793	189.930	206.575	-3.329						
250	33.980	197.259	203.998	-1.685						
298.15	35.963	203.417	203.417	0.	833.034	817.906	-143.294
300	36.035	203.639	203.417	0.067	833.070	817.812	-142.394
350	37.811	209.331	203.863	1.914	834.023	815.193	-121.661
400	39.328	214.482	204.873	3.843	834.964	812.439	-106.094
450	40.645	219.192	206.206	5.843	835.886	809.568	-93.972
500	41.819	223.536	207.725	7.905	836.787	806.595	-84.264
600	43.892	231.348	211.025	12.194	838.531	800.392	-69.680
700	45.727	238.254	214.431	16.676	840.223	793.901	-59.242
800	47.389	244.471	217.804	21.333	841.893	787.169	-51.397
900	48.895	250.141	221.087	26.149	843.563	780.229	-45.283
1000	50.251	255.364	224.256	31.107	845.244	773.102	-40.383
1100	51.463	260.211	227.307	36.194	846.942	765.805	-36.365
1200	52.541	264.736	230.240	41.395	848.657	758.354	-33.010
1300	53.496	268.980	233.058	46.698	850.387	750.759	-30.166
1400	54.339	272.976	235.768	52.091	852.130	743.029	-27.723
1500	55.084	276.751	238.376	57.563	853.881	735.175	-25.601
1600	55.741	280.327	240.887	63.105	855.638	727.204	-23.741
1700	56.322	283.725	243.308	68.708	857.395	719.124	-22.096
1800	56.837	286.959	245.644	74.367	859.151	710.939	-20.631
1900	57.293	290.044	247.900	80.074	860.901	702.657	-19.317
2000	57.700	292.993	250.082	85.824	862.644	694.284	-18.133
2100	58.062	295.818	252.193	91.612	864.377	685.823	-17.059
2200	58.386	298.526	254.238	97.435	866.098	677.280	-16.081
2300	58.677	301.128	256.220	103.288	867.806	668.659	-15.186
2400	58.939	303.631	258.144	109.169	869.499	659.964	-14.364
2500	59.175	306.042	260.012	115.075	871.175	651.199	-13.606
2600	59.388	308.367	261.827	121.004	872.835	642.367	-12.905
2700	59.581	310.612	263.593	126.952	874.478	633.472	-12.255
2800	59.757	312.782	265.311	132.919	876.102	624.516	-11.650
2900	59.917	314.882	266.984	138.903	877.707	615.502	-11.086
3000	60.063	316.916	268.615	144.902	879.293	606.434	-10.559
3100	60.197	318.887	270.205	150.915	880.859	597.313	-10.065
3200	60.320	320.800	271.756	156.941	882.406	588.141	-9.600
3300	60.433	322.658	273.271	162.979	883.933	578.921	-9.164
3400	60.537	324.464	274.750	169.028	885.439	569.656	-8.752
3500	60.633	326.220	276.196	175.086	886.925	560.347	-8.363
3600	60.722	327.930	277.609	181.154	888.391	550.995	-7.995
3700	60.804	329.594	278.992	187.230	889.837	541.603	-7.646
3800	60.880	331.217	280.345	193.314	891.262	532.172	-7.315
3900	60.951	332.799	281.670	199.406	892.666	522.705	-7.001
4000	61.017	334.343	282.967	205.504	894.050	513.200	-6.702
4100	61.078	335.851	284.239	211.609	895.413	503.662	-6.417
4200	61.136	337.323	285.485	217.720	896.755	494.091	-6.145
4300	61.190	338.762	286.707	223.836	898.077	484.488	-5.885
4400	61.240	340.170	287.907	229.958	899.377	474.855	-5.637
4500	61.287	341.546	289.083	236.084	900.657	465.192	-5.400
4600	61.331	342.894	290.239	242.215	901.915	455.501	-5.172
4700	61.373	344.213	291.373	248.350	903.152	445.783	-4.954
4800	61.412	345.506	292.487	254.490	904.368	436.039	-4.745
4900	61.449	346.773	293.582	260.633	905.563	426.270	-4.544
5000	61.484	348.014	294.659	266.779	906.736	416.476	-4.351
5100	61.517	349.232	295.717	272.929	907.888	406.660	-4.165
5200	61.548	350.427	296.757	279.083	909.018	396.820	-3.986
5300	61.577	351.600	297.781	285.239	910.127	386.960	-3.814
5400	61.605	352.751	298.788	291.398	911.213	377.079	-3.648
5500	61.632	353.882	299.780	297.560	912.277	367.177	-3.487
5600	61.657	354.992	300.756	303.724	913.319	357.257	-3.332
5700	61.680	356.084	301.717	309.891	914.339	347.318	-3.183
5800	61.703	357.157	302.664	316.060	915.337	337.362	-3.038
5900	61.724	358.212	303.596	322.232	916.312	327.388	-2.898
6000	61.745	359.249	304.515	328.405	917.264	317.398	-2.763
