Chloromethane (CH3Cl)	C1H3Cl1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-10.415	-75.753	-75.753	INFINITE
100	33.284	195.966	266.858	-7.089	-78.441	-73.383	38.331
200	35.151	219.389	237.889	-3.700	-80.938	-67.379	17.598
250	37.631	227.482	235.019	-1.884	-82.322	-63.831	13.337
298.15	40.731	234.367	234.367	0.	-83.680	-60.146	10.537
300	40.859	234.619	234.368	0.075	-83.732	-60.000	10.447
350	44.466	241.186	234.878	2.208	-85.103	-55.936	8.348
400	48.155	247.365	236.056	4.523	-86.401	-51.679	6.749
450	51.745	253.245	237.642	7.022	-87.609	-47.266	5.486
500	55.145	258.875	239.486	9.695	-88.725	-42.722	4.463
600	61.284	269.485	243.613	15.523	-90.685	-33.332	2.902
700	66.605	279.341	248.021	21.924	-92.300	-23.640	1.764
800	71.239	288.545	252.518	28.822	-93.602	-13.740	0.897
900	75.294	297.175	257.005	36.153	-94.627	-3.692	0.214
1000	78.845	305.296	261.432	43.864	-95.414	6.456	-0.337
1100	81.952	312.960	265.771	51.907	-95.998	16.672	-0.792
1200	84.669	320.209	270.009	60.241	-96.413	26.935	-1.172
1300	87.043	327.082	274.137	68.829	-96.691	37.226	-1.496
1400	89.119	333.611	278.154	77.640	-96.857	47.534	-1.774
1500	90.936	339.823	282.060	86.644	-96.935	57.851	-2.015
1600	92.529	345.743	285.856	95.819	-96.941	68.170	-2.226
1700	93.929	351.396	289.547	105.144	-96.894	78.488	-2.412
1800	95.162	356.800	293.134	114.599	-96.804	88.803	-2.577
1900	96.253	361.975	296.622	124.171	-96.684	99.111	-2.725
2000	97.219	366.937	300.015	133.846	-96.543	109.412	-2.858
2100	98.079	371.702	303.316	143.612	-96.388	119.706	-2.978
2200	98.845	376.283	306.529	153.459	-96.227	129.993	-3.086
2300	99.531	380.692	309.658	163.378	-96.064	140.272	-3.186
2400	100.147	384.941	312.707	173.362	-95.906	150.544	-3.277
2500	100.701	389.041	315.679	183.405	-95.755	160.810	-3.360
2600	101.201	393.000	318.577	193.501	-95.617	171.069	-3.437
2700	101.654	396.828	321.405	203.644	-95.495	181.324	-3.508
2800	102.065	400.533	324.165	213.830	-95.390	191.575	-3.574
2900	102.439	404.121	326.860	224.056	-95.306	201.822	-3.635
3000	102.780	407.600	329.494	234.317	-95.244	212.067	-3.692
3100	103.092	410.975	332.068	244.611	-95.206	222.309	-3.746
3200	103.378	414.253	334.586	254.934	-95.194	232.551	-3.796
3300	103.640	417.438	337.048	265.286	-95.207	242.794	-3.843
3400	103.882	420.535	339.458	275.662	-95.247	253.037	-3.887
3500	104.105	423.550	341.818	286.061	-95.314	263.281	-3.929
3600	104.311	426.486	344.129	296.482	-95.408	273.528	-3.969
3700	104.502	429.346	346.394	306.923	-95.530	283.778	-4.006
3800	104.678	432.135	348.614	317.382	-95.678	294.032	-4.042
3900	104.843	434.857	350.790	327.858	-95.852	304.289	-4.075
4000	104.996	437.513	352.925	338.350	-96.053	314.552	-4.108
4100	105.138	440.107	355.020	348.857	-96.278	324.820	-4.138
4200	105.271	442.643	357.076	359.378	-96.529	335.094	-4.167
4300	105.395	445.121	359.095	369.911	-96.802	345.373	-4.195
4400	105.512	447.545	361.078	380.456	-97.098	355.660	-4.222
4500	105.621	449.918	363.026	391.013	-97.416	365.953	-4.248
4600	105.723	452.240	364.940	401.580	-97.755	376.254	-4.272
4700	105.819	454.515	366.822	412.158	-98.113	386.562	-4.296
4800	105.910	456.744	368.672	422.744	-98.489	396.879	-4.319
4900	105.995	458.929	370.492	433.339	-98.883	407.203	-4.341
5000	106.076	461.071	372.282	443.943	-99.293	417.536	-4.362
5100	106.151	463.172	374.044	454.554	-99.717	427.876	-4.382
5200	106.223	465.234	375.778	465.173	-100.156	438.225	-4.402
5300	106.291	467.258	377.485	475.799	-100.606	448.583	-4.421
5400	106.355	469.246	379.166	486.431	-101.068	458.950	-4.439
5500	106.416	471.198	380.821	497.070	-101.539	469.324	-4.457
5600	106.474	473.116	382.452	507.714	-102.018	479.708	-4.475
5700	106.529	475.001	384.060	518.364	-102.505	490.101	-4.491
5800	106.581	476.854	385.643	529.020	-102.997	500.502	-4.508
5900	106.630	478.676	387.205	539.680	-103.493	510.910	-4.523
6000	106.677	480.469	388.744	550.346	-103.992	521.328	-4.539
