Potassium Cyanide (KCN)	C1K1N1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.456	79.509	79.509	INFINITE
100	38.592	203.295	295.884	-9.259	79.462	70.779	-36.971
200	47.724	233.411	257.718	-4.861	79.484	62.115	-16.223
250	49.674	244.289	253.978	-2.422	79.525	57.767	-12.070
298.15	50.857	253.146	253.146	0.	79.496	53.578	-9.387
300	50.894	253.461	253.147	0.094	79.493	53.417	-9.301
350	51.734	261.373	253.770	2.661	76.969	49.177	-7.339
400	52.384	268.325	255.164	5.264	76.703	45.225	-5.906
450	52.944	274.528	256.977	7.898	76.412	41.307	-4.795
500	53.465	280.133	259.017	10.558	76.093	37.424	-3.910
600	54.456	289.969	263.378	15.955	75.380	29.755	-2.590
700	55.391	298.435	267.795	21.447	74.583	22.213	-1.658
800	56.246	305.888	272.100	27.030	73.713	14.790	-0.966
900	57.006	312.558	276.231	32.694	72.771	7.481	-0.434
1000	57.666	318.599	280.171	38.428	71.749	0.280	-0.015
1100	58.234	324.122	283.919	44.224	-8.316	-2.203	0.105
1200	58.719	329.211	287.484	50.072	-8.472	-1.641	0.071
1300	59.133	333.927	290.877	55.965	-8.654	-1.065	0.043
1400	59.487	338.323	294.111	61.896	-8.858	-0.473	0.018
1500	59.790	342.438	297.197	67.861	-9.082	0.133	-0.005
1600	60.051	346.305	300.147	73.853	-9.325	0.756	-0.025
1700	60.277	349.952	302.970	79.870	-9.585	1.393	-0.043
1800	60.472	353.403	305.677	85.907	-9.864	2.047	-0.059
1900	60.643	356.678	308.276	91.963	-10.161	2.717	-0.075
2000	60.792	359.792	310.774	98.035	-10.477	3.403	-0.089
2100	60.923	362.761	313.180	104.121	-10.814	4.105	-0.102
2200	61.039	365.598	315.499	110.219	-11.173	4.824	-0.115
2300	61.142	368.314	317.736	116.329	-11.555	5.559	-0.126
2400	61.234	370.918	319.898	122.448	-11.964	6.312	-0.137
2500	61.316	373.420	321.989	128.575	-12.401	7.083	-0.148
2600	61.389	375.826	324.014	134.710	-12.870	7.871	-0.158
2700	61.456	378.144	325.976	140.853	-13.372	8.678	-0.168
2800	61.515	380.380	327.880	147.001	-13.911	9.505	-0.177
2900	61.569	382.540	329.727	153.156	-14.489	10.351	-0.186
3000	61.619	384.628	331.523	159.315	-15.111	11.218	-0.195
3100	61.663	386.649	333.269	165.479	-15.779	12.106	-0.204
3200	61.704	388.607	334.967	171.648	-16.498	13.017	-0.212
3300	61.742	390.507	336.622	177.820	-17.261	13.951	-0.221
3400	61.776	392.350	338.234	183.996	-18.088	14.909	-0.229
3500	61.808	394.142	339.806	190.175	-18.972	15.892	-0.237
3600	61.837	395.883	341.339	196.357	-19.924	16.901	-0.245
3700	61.864	397.578	342.837	202.542	-20.946	17.938	-0.253
3800	61.888	399.228	344.299	208.730	-22.041	19.003	-0.261
3900	61.912	400.836	345.728	214.920	-23.215	20.099	-0.269
4000	61.933	402.404	347.126	221.112	-24.465	21.224	-0.277
4100	61.953	403.933	348.492	227.307	-25.804	22.383	-0.285
4200	61.971	405.426	349.830	233.503	-27.239	23.575	-0.293
4300	61.989	406.885	351.140	239.701	-28.772	24.803	-0.301
4400	62.005	408.310	352.423	245.900	-30.129	26.040	-0.309
4500	62.020	409.704	353.681	252.102	-31.800	27.336	-0.317
4600	62.034	411.067	354.914	258.304	-33.571	28.669	-0.326
4700	62.048	412.401	356.123	264.509	-35.422	30.040	-0.334
4800	62.060	413.708	357.309	270.714	-37.267	31.440	-0.342
4900	62.072	414.987	358.473	276.921	-39.319	32.892	-0.351
5000	62.083	416.241	359.616	283.128	-41.475	34.387	-0.359
5100	62.094	417.471	360.738	289.337	-43.736	35.927	-0.368
5200	62.104	418.677	361.841	295.547	-46.103	37.512	-0.377
5300	62.113	419.860	362.924	301.758	-48.577	39.143	-0.386
5400	62.122	421.021	363.990	307.970	-51.157	40.822	-0.395
5500	62.130	422.161	365.037	314.182	-53.843	42.550	-0.404
5600	62.138	423.280	366.067	320.396	-56.633	44.328	-0.413
5700	62.146	424.380	367.080	326.610	-59.183	46.109	-0.423
5800	62.153	425.461	368.078	332.825	-62.136	47.981	-0.432
5900	62.160	426.524	369.059	339.040	-65.186	49.906	-0.442
6000	62.166	427.569	370.026	345.257	-68.329	51.883	-0.452
