Fluoroethyne (C2HF)	C2H1F1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-11.452	124.816	124.816	INFINITE
100	31.761	186.882	271.833	-8.495	124.701	119.758	-62.555
200	43.530	212.465	236.141	-4.735	124.996	114.742	-29.968
250	48.488	222.731	232.452	-2.430	125.261	112.149	-23.432
298.15	52.321	231.611	231.611	0.	125.520	109.600	-19.201
300	52.452	231.935	231.612	0.097	125.530	109.501	-19.066
350	55.619	240.268	232.263	2.802	125.774	106.810	-15.941
400	58.190	247.868	233.746	5.649	125.974	104.087	-13.592
450	60.324	254.849	235.708	8.613	126.118	101.342	-11.763
500	62.143	261.301	237.949	11.676	126.203	98.584	-10.299
600	65.147	272.907	242.830	18.046	126.216	93.055	-8.101
700	67.611	283.140	247.872	24.688	126.067	87.538	-6.532
800	69.723	292.309	252.863	31.557	125.813	82.051	-5.357
900	71.570	300.630	257.715	38.624	125.496	76.599	-4.446
1000	73.196	308.257	262.393	45.864	125.143	71.185	-3.718
1100	74.630	315.302	266.887	53.256	124.769	65.807	-3.125
1200	75.894	321.851	271.198	60.784	124.382	60.464	-2.632
1300	77.007	327.971	275.332	68.430	123.985	55.153	-2.216
1400	77.987	333.714	279.299	76.181	123.579	49.874	-1.861
1500	78.850	339.125	283.109	84.024	123.164	44.623	-1.554
1600	79.612	344.238	286.771	91.948	122.738	39.401	-1.286
1700	80.285	349.085	290.295	99.943	122.300	34.206	-1.051
1800	80.882	353.692	293.690	108.002	121.848	29.037	-0.843
1900	81.411	358.079	296.965	116.117	121.383	23.893	-0.657
2000	81.882	362.267	300.126	124.282	120.903	18.775	-0.490
2100	82.302	366.273	303.181	132.492	120.409	13.680	-0.340
2200	82.678	370.110	306.137	140.741	119.901	8.610	-0.204
2300	83.015	373.793	308.999	149.026	119.379	3.563	-0.081
2400	83.319	377.332	311.773	157.343	118.845	-1.461	0.032
2500	83.593	380.739	314.464	165.689	118.298	-6.463	0.135
2600	83.840	384.023	317.076	174.061	117.740	-11.442	0.230
2700	84.065	387.191	319.615	182.456	117.172	-16.400	0.317
2800	84.269	390.252	322.083	190.873	116.594	-21.337	0.398
2900	84.455	393.213	324.485	199.309	116.008	-26.252	0.473
3000	84.625	396.079	326.824	207.764	115.413	-31.148	0.542
3100	84.781	398.856	329.103	216.234	114.812	-36.024	0.607
3200	84.924	401.550	331.325	224.719	114.203	-40.879	0.667
3300	85.055	404.165	333.493	233.218	113.587	-45.716	0.724
3400	85.176	406.706	335.609	241.730	112.965	-50.534	0.776
3500	85.288	409.177	337.676	250.253	112.337	-55.334	0.826
3600	85.391	411.581	339.696	258.787	111.703	-60.115	0.872
3700	85.487	413.922	341.670	267.331	111.062	-64.879	0.916
3800	85.576	416.203	343.602	275.885	110.415	-69.626	0.957
3900	85.659	418.427	345.492	284.446	109.760	-74.355	0.996
4000	85.735	420.597	347.343	293.016	109.099	-79.068	1.033
4100	85.807	422.715	349.155	301.593	108.430	-83.764	1.067
4200	85.874	424.783	350.931	310.177	107.754	-88.443	1.100
4300	85.937	426.805	352.673	318.768	107.069	-93.107	1.131
4400	85.995	428.781	354.380	327.365	106.376	-97.754	1.160
4500	86.051	430.714	356.055	335.967	105.673	-102.385	1.188
4600	86.102	432.606	357.698	344.575	104.962	-107.001	1.215
4700	86.151	434.458	359.312	353.187	104.240	-111.601	1.240
4800	86.196	436.273	360.897	361.805	103.509	-116.186	1.264
4900	86.240	438.050	362.453	370.426	102.767	-120.755	1.287
5000	86.280	439.793	363.982	379.052	102.015	-125.309	1.309
5100	86.319	441.502	365.486	387.682	101.251	-129.848	1.330
5200	86.355	443.178	366.964	396.316	100.476	-134.372	1.350
5300	86.389	444.824	368.417	404.953	99.690	-138.881	1.369
5400	86.422	446.439	369.847	413.594	98.892	-143.374	1.387
5500	86.452	448.025	371.254	422.238	98.083	-147.854	1.404
5600	86.482	449.583	372.639	430.884	97.262	-152.318	1.421
5700	86.509	451.114	374.003	439.534	96.429	-156.767	1.437
5800	86.536	452.619	375.345	448.186	95.584	-161.202	1.452
5900	86.561	454.098	376.667	456.841	94.727	-165.622	1.466
6000	86.585	455.553	377.970	465.498	93.858	-170.027	1.480
