Ethyne (C2H2)	C2H2(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-10.012	227.288	227.288	INFINITE
100	29.347	163.294	234.338	-7.104	227.078	221.011	-115.444
200	35.585	185.097	204.720	-3.925	226.911	215.006	-56.154
298.15	44.095	200.958	200.958	0.000	226.731	209.200	-36.651
300	44.229	201.231	200.959	.082	226.728	209.092	-36.406
400	50.480	214.856	202.774	4.833	226.527	203.242	-26.541
500	54.869	226.610	206.393	10.108	226.227	197.452	-20.628
600	58.287	236.924	210.640	15.771	225.804	191.735	-16.692
700	61.149	246.127	215.064	21.745	225.294	186.097	-13.887
800	63.760	254.466	219.476	27.992	224.747	180.534	-11.788
900	66.111	262.113	223.794	34.487	224.198	175.041	-10.159
1000	68.275	269.192	227.984	41.208	223.669	169.607	-8.859
1100	70.245	275.793	232.034	48.136	223.170	164.226	-7.798
1200	72.053	281.984	235.941	55.252	222.705	158.888	-6.916
1300	73.693	287.817	239.709	62.540	222.275	153.588	-6.171
1400	75.178	293.334	243.344	69.985	221.877	148.319	-5.534
1500	76.530	298.567	246.853	77.572	221.506	143.078	-4.982
1600	77.747	303.546	250.242	85.286	221.160	137.861	-4.501
1700	78.847	308.293	253.518	93.117	220.833	132.665	-4.076
1800	79.852	312.829	256.688	101.053	220.521	127.487	-3.700
1900	80.760	317.171	259.758	109.084	220.222	122.327	-3.363
2000	81.605	321.335	262.733	117.203	219.931	117.182	-3.060
2100	82.362	325.335	265.620	125.401	219.647	112.052	-2.787
2200	83.065	329.183	268.422	133.673	219.367	106.935	-2.539
2300	83.712	332.890	271.145	142.012	219.088	101.830	-2.313
2400	84.312	336.465	273.793	150.414	218.809	96.738	-2.105
2500	84.858	339.918	276.369	158.873	218.527	91.658	-1.915
2600	85.370	343.256	278.878	167.384	218.242	86.589	-1.740
2700	85.846	346.487	281.322	175.945	217.950	81.530	-1.577
2800	86.295	349.618	283.706	184.553	217.652	76.483	-1.427
2900	86.713	352.653	286.031	193.203	217.346	71.447	-1.287
3000	87.111	355.600	288.301	201.895	217.030	66.421	-1.157
3100	87.474	358.462	290.519	210.624	216.705	61.406	-1.035
3200	87.825	361.245	292.686	219.389	216.368	56.402	-.921
3300	88.164	363.952	294.804	228.189	216.019	51.409	-.814
3400	88.491	366.589	296.877	237.022	215.658	46.426	-.713
3500	88.805	369.159	298.906	245.886	215.285	41.454	-.619
3600	89.101	371.665	300.892	254.782	214.899	36.493	-.529
3700	89.388	374.110	302.838	263.706	214.499	31.542	-.445
3800	89.666	376.498	304.745	272.659	214.084	26.603	-.366
3900	89.935	378.830	306.615	281.639	213.655	21.675	-.290
4000	90.194	381.110	308.449	290.646	213.210	16.758	-.219
4100	90.439	383.341	310.248	299.678	212.750	11.852	-.151
4200	90.678	385.523	312.015	308.733	212.273	6.958	-.087
4300	90.910	387.659	313.749	317.813	211.779	2.076	-.025
4400	91.137	389.752	315.453	326.915	211.268	-2.795	.033
4500	91.358	391.802	317.127	336.040	210.740	-7.655	.089
4600	91.563	393.813	318.772	345.186	210.194	-12.502	.142
4700	91.768	395.784	320.390	354.353	209.630	-17.337	.193
4800	91.970	397.718	321.981	363.540	209.049	-22.160	.241
4900	92.171	399.617	323.546	372.747	208.450	-26.971	.288
5000	92.370	401.481	325.086	381.974	207.833	-31.769	.332
5100	92.571	403.312	326.602	391.221	207.201	-36.555	.374
5200	92.768	405.111	328.094	400.488	206.553	-41.328	.415
5300	92.963	406.880	329.564	409.775	205.889	-46.089	.454
5400	93.153	408.620	331.012	419.080	205.211	-50.836	.492
5500	93.341	410.331	332.439	428.405	204.517	-55.572	.528
5600	93.525	412.014	333.845	437.748	203.810	-60.294	.562
5700	93.706	413.671	335.231	447.110	203.090	-65.004	.596
5800	93.883	415.302	336.597	456.489	202.356	-69.701	.628
5900	94.057	416.909	337.945	465.886	201.610	-74.386	.659
6000	94.228	418.491	339.274	475.301	200.853	-79.057	.688
