Ethanedinitrile ((CN)2)	C2N2(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.626	307.219	307.219	INFINITE
100	36.399	191.121	286.323	-9.520	307.303	304.362	-158.982
200	48.910	220.447	246.531	-5.217	308.042	301.183	-78.661
250	53.388	231.863	242.482	-2.655	308.558	299.409	-62.558
298.15	56.746	241.565	241.565	0.	309.072	297.601	-52.138
300	56.859	241.917	241.566	0.105	309.092	297.529	-51.804
350	59.585	250.894	242.269	3.019	309.606	295.561	-44.110
400	61.799	259.000	243.862	6.055	310.079	293.522	-38.330
450	63.677	266.390	245.961	9.193	310.495	291.427	-33.828
500	65.332	273.186	248.348	12.419	310.850	289.288	-30.222
600	68.218	285.360	253.526	19.101	311.392	284.922	-24.805
700	70.704	296.067	258.853	26.050	311.752	280.479	-20.930
800	72.861	305.652	264.114	33.230	311.982	275.995	-18.021
900	74.717	314.344	269.220	40.612	312.117	271.487	-15.757
1000	76.302	322.301	274.136	48.165	312.184	266.969	-13.945
1100	77.650	329.638	278.852	55.864	312.199	262.446	-12.463
1200	78.795	336.445	283.371	63.688	312.171	257.924	-11.227
1300	79.769	342.791	287.701	71.618	312.109	253.406	-10.182
1400	80.598	348.734	291.850	79.637	312.015	248.894	-9.286
1500	81.308	354.320	295.831	87.733	311.895	244.389	-8.510
1600	81.918	359.587	299.652	95.895	311.748	239.893	-7.832
1700	82.445	364.569	303.326	104.114	311.577	235.407	-7.233
1800	82.901	369.295	306.861	112.382	311.382	230.932	-6.701
1900	83.299	373.788	310.266	120.692	311.165	226.469	-6.226
2000	83.648	378.070	313.550	129.040	310.925	222.017	-5.798
2100	83.954	382.159	316.720	137.421	310.663	217.578	-5.412
2200	84.225	386.071	319.784	145.830	310.379	213.152	-5.061
2300	84.465	389.820	322.748	154.265	310.073	208.740	-4.741
2400	84.679	393.419	325.619	162.722	309.746	204.341	-4.447
2500	84.870	396.880	328.400	171.199	309.397	199.956	-4.178
2600	85.041	400.212	331.099	179.695	309.026	195.586	-3.929
2700	85.195	403.425	333.718	188.207	308.634	191.230	-3.700
2800	85.335	406.525	336.263	196.734	308.220	186.889	-3.486
2900	85.461	409.522	338.738	205.274	307.785	182.563	-3.288
3000	85.576	412.421	341.146	213.826	307.328	178.253	-3.104
3100	85.680	415.229	343.491	222.388	306.850	173.958	-2.931
3200	85.775	417.951	345.776	230.961	306.350	169.680	-2.770
3300	85.863	420.592	348.003	239.543	305.828	165.417	-2.618
3400	85.943	423.156	350.176	248.134	305.285	161.170	-2.476
3500	86.016	425.649	352.297	256.732	304.720	156.939	-2.342
3600	86.084	428.073	354.368	265.337	304.134	152.725	-2.216
3700	86.147	430.432	356.392	273.948	303.526	148.528	-2.097
3800	86.205	432.730	358.371	282.566	302.896	144.347	-1.984
3900	86.259	434.970	360.306	291.189	302.244	140.183	-1.878
4000	86.309	437.155	362.200	299.818	301.571	136.036	-1.776
4100	86.356	439.287	364.055	308.451	300.876	131.906	-1.681
4200	86.399	441.368	365.871	317.089	300.159	127.794	-1.589
4300	86.439	443.402	367.650	325.731	299.420	123.699	-1.503
4400	86.477	445.389	369.395	334.376	298.659	119.621	-1.420
4500	86.513	447.333	371.105	343.026	297.877	115.561	-1.341
4600	86.546	449.235	372.783	351.679	297.073	111.518	-1.266
4700	86.577	451.096	374.429	360.335	296.247	107.493	-1.195
4800	86.606	452.919	376.046	368.994	295.398	103.486	-1.126
4900	86.634	454.705	377.633	377.656	294.528	99.497	-1.061
5000	86.660	456.456	379.192	386.321	293.635	95.525	-0.998
5100	86.684	458.172	380.724	394.988	292.720	91.572	-0.938
5200	86.707	459.856	382.229	403.658	291.783	87.637	-0.880
5300	86.729	461.508	383.710	412.329	290.824	83.720	-0.825
5400	86.750	463.129	385.165	421.003	289.842	79.822	-0.772
5500	86.769	464.721	386.597	429.679	288.837	75.942	-0.721
5600	86.788	466.285	388.006	438.357	287.811	72.080	-0.672
5700	86.805	467.821	389.393	447.037	286.761	68.237	-0.625
5800	86.822	469.331	390.759	455.718	285.688	64.413	-0.580
5900	86.838	470.815	392.103	464.401	284.592	60.607	-0.537
6000	86.853	472.275	393.427	473.086	283.472	56.820	-0.495
