Chromium Carbide (Cr23C6)	C6Cr23(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-104.755	-333.575	-333.575	INFINITE
100	250.316	117.835	1081.808	-96.397	-332.734	-334.089	174.510
200	509.447	383.581	666.329	-56.550	-331.274	-335.894	87.726
298.15	628.152	612.044	612.044	0.	-328.444	-338.693	59.338
300	629.692	615.935	612.056	1.164	-328.373	-338.757	58.983
400	704.376	808.005	637.736	68.108	-326.027	-342.211	44.688
500	753.538	970.840	688.496	141.172	-320.639	-346.880	36.238
600	785.751	1111.290	747.532	218.255	-315.571	-352.615	30.698
700	808.114	1234.112	808.454	297.960	-311.244	-359.142	26.799
800	829.072	1343.386	868.614	379.818	-307.585	-366.242	23.913
900	850.247	1442.252	926.944	463.778	-304.702	-373.756	21.692
1000	872.142	1532.961	983.070	549.890	-302.997	-381.534	19.929
1100	894.857	1617.144	1036.931	638.234	-302.930	-389.406	18.491
1200	918.329	1696.008	1088.602	728.888	-304.701	-397.203	17.290
1300	942.471	1770.464	1138.215	821.923	-308.594	-404.770	16.264
1400	967.178	1841.209	1185.923	917.402	-314.817	-411.950	15.370
1500	992.361	1908.794	1231.877	1015.375	-323.452	-418.601	14.577
1600	1017.946	1973.655	1276.225	1115.888	-334.571	-424.596	13.862
1700	1043.862	2036.143	1319.099	1218.976	-348.224	-429.817	13.207
1800	1070.058	2096.549	1360.622	1324.670	-364.452	-434.162	12.599
1900	1096.488	2155.112	1400.903	1432.996	-383.294	-437.533	12.029
2000	1123.115	2212.030	1440.043	1543.974	-404.778	-439.843	11.488
