Calcium (Ca)	Ca1(ref)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-5.736	0.	0.	0.
100	19.504	15.967	63.525	-4.756	0.	0.	0.
200	24.542	31.489	43.924	-2.487	0.	0.	0.
298.15	25.929	41.588	41.588	0.	0.	0.	0.
300	25.946	41.749	41.589	0.048	0.	0.	0.
400	26.868	49.322	42.615	2.683	0.	0.	0.
500	28.487	55.487	44.590	5.448	0.	0.	0.
600	30.382	60.846	46.861	8.391	0.	0.	0.
700	32.406	65.680	49.210	11.529	0.	0.	0.
716.000	32.737	66.416	49.586	12.051	ALPHA <--> BETA
716.000	31.503	67.715	49.586	12.981	TRANSITION
800	33.818	71.335	51.681	15.723	0.	0.	0.
900	36.713	75.484	54.097	19.249	0.	0.	0.
1000	39.706	79.507	56.437	23.069	0.	0.	0.
1100	42.763	83.434	58.714	27.192	0.	0.	0.
1115.000	43.226	84.017	59.050	27.837	BETA <--> LIQUID
1115.000	35.000	91.676	59.050	36.377	TRANSITION
1200	35.000	94.247	61.453	39.352	0.	0.	0.
1300	35.000	97.049	64.085	42.852	0.	0.	0.
1400	35.000	99.642	66.533	46.352	0.	0.	0.
1500	35.000	102.057	68.822	49.852	0.	0.	0.
1600	35.000	104.316	70.971	53.352	0.	0.	0.
1700	35.000	106.438	72.995	56.852	0.	0.	0.
1773.658	35.000	107.922	74.415	59.430	LIQUID <--> IDEAL GAS
1773.658	20.837	191.956	74.415	208.477	FUGACITY = 1 bar
1800	20.845	192.263	76.138	209.026	0.	0.	0.
1900	20.888	193.391	82.279	211.112	0.	0.	0.
2000	20.953	194.464	87.862	213.204	0.	0.	0.
2100	21.046	195.489	92.963	215.304	0.	0.	0.
2200	21.173	196.470	97.646	217.415	0.	0.	0.
2300	21.343	197.415	101.963	219.540	0.	0.	0.
2400	21.561	198.328	105.959	221.685	0.	0.	0.
2500	21.836	199.214	109.672	223.854	0.	0.	0.
2600	22.173	200.076	113.132	226.054	0.	0.	0.
2700	22.578	200.921	116.368	228.291	0.	0.	0.
2800	23.057	201.750	119.403	230.572	0.	0.	0.
2900	23.614	202.569	122.257	232.905	0.	0.	0.
3000	24.251	203.380	124.947	235.298	0.	0.	0.
3100	24.970	204.186	127.490	237.758	0.	0.	0.
3200	25.772	204.992	129.900	240.295	0.	0.	0.
3300	26.655	205.798	132.187	242.915	0.	0.	0.
3400	27.618	206.608	134.364	245.628	0.	0.	0.
3500	28.657	207.423	136.440	248.441	0.	0.	0.
3600	29.767	208.246	138.423	251.362	0.	0.	0.
3700	30.944	209.077	140.321	254.397	0.	0.	0.
3800	32.180	209.919	142.142	257.553	0.	0.	0.
3900	33.469	210.771	143.891	260.835	0.	0.	0.
4000	34.801	211.635	145.573	264.248	0.	0.	0.
4100	36.169	212.511	147.195	267.796	0.	0.	0.
4200	37.564	213.400	148.761	271.482	0.	0.	0.
4300	38.977	214.300	150.275	275.309	0.	0.	0.
4400	40.389	215.212	151.740	279.275	0.	0.	0.
4500	41.755	216.131	153.161	283.367	0.	0.	0.
4600	43.135	217.063	154.540	287.607	0.	0.	0.
4700	44.507	218.005	155.880	291.990	0.	0.	0.
4800	45.851	218.956	157.184	296.508	0.	0.	0.
4900	47.160	219.915	158.454	301.159	0.	0.	0.
5000	48.426	220.881	159.693	305.938	0.	0.	0.
5200	50.805	222.827	162.084	315.861	0.	0.	0.
5400	52.964	224.785	164.370	326.242	0.	0.	0.
5600	54.857	226.745	166.562	337.021	0.	0.	0.
5800	56.500	228.699	168.671	348.161	0.	0.	0.
6000	57.878	230.639	170.705	359.603	0.	0.	0.
