Calcium Iodide (CaI2)	Ca1I2(cr,l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-17.965	-535.838	-535.838	INFINITE
100	61.840	67.860	210.957	-14.310	-536.213	-535.303	279.614
200	73.304	115.131	152.260	-7.426	-536.530	-534.267	139.536
298.15	77.157	145.287	145.287	0.	-536.807	-533.097	93.396
300	77.195	145.764	145.288	0.143	-536.813	-533.074	92.816
400	79.161	168.244	148.340	7.962	-553.267	-531.211	69.369
500	81.170	186.124	154.168	15.978	-596.213	-521.572	54.488
600	83.136	201.097	160.775	24.194	-594.694	-506.786	44.120
700	85.103	214.060	167.481	32.605	-593.188	-492.254	36.732
800	87.069	225.553	174.035	41.214	-592.553	-477.833	31.199
900	89.036	235.921	180.344	50.019	-591.064	-463.583	26.906
1000	91.002	245.403	186.383	59.021	-589.684	-449.494	23.479
1052.000	92.048	250.043	189.416	63.780	CRYSTAL <--> LIQUID
+	
1052.000	103.345	289.815	189.416	105.620	TRANSITION
1100	103.345	294.426	193.898	110.580	-546.063	-437.458	20.773
1200	103.345	303.418	202.655	120.915	-551.721	-427.056	18.589
1300	103.345	311.690	210.729	131.249	-548.742	-416.788	16.747
1400	103.345	319.349	218.217	141.584	-545.795	-406.749	15.176
1500	103.345	326.479	225.200	151.918	-542.888	-396.919	13.822
1600	103.345	333.148	231.740	162.253	-540.030	-387.281	12.643
1700	103.345	339.414	237.892	172.587	-537.232	-377.820	11.609
1800	103.345	345.321	243.697	182.922	-683.172	-366.311	10.630
1900	103.345	350.908	249.194	193.256	-679.094	-348.819	9.590
2000	103.345	356.209	254.414	203.591	-675.092	-331.540	8.659
2100	103.345	361.251	259.382	213.925	-671.165	-314.459	7.822
2200	103.345	366.059	264.123	224.260	-667.312	-297.564	7.065
2300	103.345	370.653	268.655	234.594	-663.528	-280.842	6.378
2400	103.345	375.051	272.997	244.929	-659.808	-264.284	5.752
2500	103.345	379.270	277.164	255.263	-656.147	-247.879	5.179
