Chlorine (Cl)	Cl1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.272	119.621	119.621	INFINITE
100	20.788	142.175	184.104	-4.193	120.244	115.476	-60.319
200	21.079	156.636	167.161	-2.105	120.813	110.482	-28.855
250	21.450	161.378	165.547	-1.042	121.066	107.869	-22.538
298.15	21.838	165.189	165.189	0.	121.302	105.306	-18.449
300	21.852	165.325	165.190	0.040	121.311	105.207	-18.318
350	22.202	168.720	165.457	1.142	121.553	102.504	-15.298
400	22.467	171.703	166.055	2.259	121.795	99.766	-13.028
450	22.644	174.361	166.833	3.387	122.035	96.998	-11.259
500	22.744	176.752	167.708	4.522	122.272	94.203	-9.841
600	22.781	180.905	169.571	6.800	122.734	88.546	-7.709
700	22.692	184.411	171.448	9.074	123.172	82.813	-6.180
800	22.549	187.432	173.261	11.337	123.585	77.019	-5.029
900	22.389	190.079	174.986	13.584	123.972	71.174	-4.131
1000	22.233	192.430	176.615	15.815	124.334	65.288	-3.410
1100	22.089	194.542	178.150	18.031	124.675	59.367	-2.819
1200	21.959	196.458	179.597	20.233	124.997	53.416	-2.325
1300	21.843	198.211	180.963	22.423	125.300	47.438	-1.906
1400	21.742	199.826	182.253	24.602	125.589	41.438	-1.546
1500	21.652	201.323	183.475	26.772	125.863	35.417	-1.233
1600	21.573	202.718	184.635	28.933	126.124	29.379	-0.959
1700	21.504	204.024	185.737	31.087	126.374	23.325	-0.717
1800	21.443	205.251	186.788	33.234	126.612	17.256	-0.501
1900	21.389	206.409	187.790	35.375	126.840	11.175	-0.307
2000	21.341	207.505	188.749	37.512	127.058	5.081	-0.133
2100	21.298	208.545	189.667	39.644	127.265	-1.023	0.025
2200	21.260	209.535	190.548	41.772	127.463	-7.136	0.169
2300	21.226	210.479	191.394	43.896	127.650	-13.259	0.301
2400	21.195	211.382	192.208	46.017	127.827	-19.389	0.422
2500	21.167	212.246	192.992	48.135	127.992	-25.526	0.533
2600	21.142	213.076	193.749	50.250	128.147	-31.670	0.636
2700	21.119	213.874	194.480	52.364	128.290	-37.820	0.732
2800	21.099	214.641	195.186	54.474	128.421	-43.974	0.820
2900	21.080	215.381	195.870	56.583	128.541	-50.133	0.903
3000	21.063	216.096	196.532	58.690	128.649	-56.297	0.980
3100	21.047	216.786	197.174	60.796	128.746	-62.463	1.052
3200	21.032	217.454	197.798	62.900	128.832	-68.633	1.120
3300	21.019	218.101	198.403	65.002	128.908	-74.804	1.184
3400	21.007	218.728	198.992	67.104	128.974	-80.979	1.244
3500	20.995	219.337	199.564	69.204	129.031	-87.155	1.301
3600	20.985	219.928	200.122	71.303	129.081	-93.332	1.354
3700	20.975	220.503	200.665	73.401	129.124	-99.511	1.405
3800	20.966	221.062	201.195	75.498	129.161	-105.691	1.453
3900	20.958	221.607	201.711	77.594	129.195	-111.871	1.498
4000	20.950	222.137	202.215	79.690	129.226	-118.053	1.542
4100	20.943	222.655	202.707	81.784	129.255	-124.235	1.583
4200	20.936	223.159	203.188	83.878	129.284	-130.418	1.622
4300	20.929	223.652	203.658	85.971	129.314	-136.602	1.659
4400	20.923	224.133	204.118	88.064	129.347	-142.786	1.695
4500	20.918	224.603	204.568	90.156	129.384	-148.972	1.729
4600	20.912	225.063	205.009	92.247	129.426	-155.158	1.762
4700	20.907	225.512	205.440	94.338	129.474	-161.345	1.793
4800	20.903	225.952	205.863	96.429	129.530	-167.533	1.823
4900	20.898	226.383	206.278	98.519	129.594	-173.723	1.852
5000	20.894	226.806	206.684	100.609	129.667	-179.914	1.880
5100	20.890	227.219	207.082	102.698	129.750	-186.106	1.906
5200	20.886	227.625	207.474	104.787	129.844	-192.300	1.932
5300	20.883	228.023	207.858	106.875	129.950	-198.496	1.956
5400	20.879	228.413	208.235	108.963	130.068	-204.694	1.980
5500	20.876	228.796	208.605	111.051	130.199	-210.895	2.003
5600	20.873	229.172	208.969	113.138	130.343	-217.098	2.025
5700	20.870	229.542	209.327	115.226	130.501	-223.304	2.046
5800	20.867	229.905	209.678	117.312	130.673	-229.512	2.067
5900	20.865	230.261	210.024	119.399	130.859	-235.724	2.087
6000	20.862	230.612	210.364	121.485	131.059	-241.939	2.106
