Lithium Chloride Fluoride (Li2ClF)	Cl1F1Li2(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-13.422	-749.132	-749.132	INFINITE
100	35.723	215.376	315.709	-10.033	-749.642	-751.742	392.670
200	51.877	245.279	273.438	-5.632	-751.907	-752.971	196.656
298.15	62.839	268.040	268.040	0.	-753.957	-753.043	131.930
300	62.986	268.429	268.041	0.116	-753.992	-753.038	131.116
400	69.601	287.518	270.599	6.768	-755.887	-752.436	98.258
500	73.601	303.506	275.626	13.940	-764.049	-750.717	78.427
600	76.128	317.161	281.439	21.433	-766.074	-747.856	65.107
700	77.801	329.029	287.408	29.134	-767.836	-744.677	55.568
800	78.948	339.496	293.278	36.974	-769.442	-741.258	48.399
900	79.772	348.845	298.942	44.912	-770.974	-737.642	42.812
1000	80.383	357.282	304.361	52.921	-772.451	-733.859	38.333
1100	80.759	364.961	309.526	60.978	-773.891	-729.930	34.661
1200	81.096	372.003	314.443	69.071	-775.303	-725.871	31.596
1300	81.396	378.506	319.124	77.196	-776.694	-721.695	28.998
1400	81.657	384.548	323.584	85.349	-778.059	-717.413	26.767
1500	81.881	390.190	327.839	93.526	-779.398	-713.034	24.830
1600	82.014	395.478	331.903	101.721	-780.716	-708.567	23.132
1700	82.136	400.454	335.790	109.929	-1072.490	-689.665	21.191
1800	82.245	405.152	339.514	118.148	-1072.271	-667.153	19.360
1900	82.343	409.601	343.087	126.378	-1072.054	-644.652	17.723
2000	82.429	413.827	346.519	134.616	-1071.842	-622.163	16.249
2100	82.488	417.851	349.821	142.862	-1071.637	-599.684	14.916
2200	82.543	421.689	353.001	151.114	-1071.441	-577.215	13.705
2300	82.593	425.359	356.068	159.371	-1071.255	-554.754	12.599
2400	82.639	428.876	359.029	167.632	-1071.082	-532.301	11.585
2500	82.680	432.250	361.891	175.898	-1070.924	-509.855	10.653
2600	82.712	435.493	364.660	184.168	-1070.782	-487.415	9.792
2700	82.741	438.615	367.341	192.440	-1070.661	-464.980	8.996
2800	82.769	441.625	369.941	200.716	-1070.560	-442.550	8.256
2900	82.794	444.530	372.463	208.994	-1070.485	-420.122	7.567
3000	82.818	447.337	374.912	217.275	-1070.435	-397.697	6.925
3100	82.838	450.053	377.293	225.558	-1070.415	-375.273	6.323
3200	82.857	452.683	379.608	233.842	-1070.427	-352.849	5.760
3300	82.874	455.233	381.861	242.129	-1070.471	-330.424	5.230
3400	82.891	457.708	384.056	250.417	-1070.551	-307.997	4.732
3500	82.906	460.111	386.194	258.707	-1070.669	-285.567	4.262
3600	82.919	462.446	388.280	266.998	-1070.825	-263.133	3.818
3700	82.932	464.718	390.316	275.291	-1071.024	-240.695	3.398
3800	82.944	466.930	392.303	283.585	-1071.265	-218.251	3.000
3900	82.954	469.085	394.244	291.880	-1071.550	-195.799	2.622
4000	82.965	471.185	396.141	300.176	-1071.882	-173.340	2.264
4100	82.973	473.234	397.997	308.472	-1072.263	-150.872	1.922
4200	82.981	475.234	399.812	316.770	-1072.694	-128.394	1.597
4300	82.988	477.186	401.589	325.069	-1073.177	-105.905	1.286
4400	82.995	479.094	403.329	333.368	-1073.673	-83.407	0.990
4500	83.002	480.959	405.033	341.668	-1074.247	-60.895	0.707
4600	83.009	482.784	406.704	349.968	-1074.881	-38.369	0.436
4700	83.015	484.569	408.341	358.269	-1075.573	-15.829	0.176
4800	83.021	486.317	409.948	366.571	-1076.325	6.726	-0.073
4900	83.027	488.029	411.524	374.874	-1077.140	29.298	-0.312
5000	83.031	489.706	413.071	383.176	-1078.019	51.887	-0.542
5100	83.035	491.350	414.590	391.480	-1078.954	74.494	-0.763
5200	83.039	492.963	416.081	399.784	-1079.969	97.120	-0.976
5300	83.042	494.545	417.547	408.088	-1081.056	119.767	-1.180
5400	83.045	496.097	418.987	416.392	-1082.220	142.435	-1.378
5500	83.048	497.621	420.403	424.697	-1083.463	165.125	-1.568
5600	83.051	499.117	421.795	433.002	-1084.788	187.838	-1.752
5700	83.054	500.587	423.165	441.307	-1086.199	210.576	-1.930
5800	83.056	502.032	424.512	449.612	-1087.698	233.339	-2.101
5900	83.059	503.451	425.838	457.918	-1089.289	256.129	-2.268
6000	83.061	504.847	427.143	466.224	-1090.974	278.947	-2.428
