Sodium Chloride (NaCl)	Cl1Na1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.616	-179.997	-179.997	INFINITE
100	30.394	193.507	260.320	-6.681	-179.858	-187.377	97.876
200	34.090	215.819	233.022	-3.440	-180.592	-194.620	50.829
250	35.125	223.546	230.379	-1.708	-180.993	-198.081	41.387
298.15	35.786	229.793	229.793	0.	-181.418	-201.334	35.273
300	35.806	230.014	229.794	0.066	-181.436	-201.458	35.077
350	36.272	235.571	230.231	1.869	-181.945	-204.756	30.558
400	36.604	240.437	231.209	3.691	-185.167	-207.769	27.132
450	36.852	244.764	232.479	5.528	-185.781	-210.557	24.441
500	37.044	248.657	233.906	7.375	-186.370	-213.279	22.281
600	37.324	255.437	236.946	11.095	-187.483	-218.555	19.027
700	37.524	261.206	240.010	14.838	-188.528	-223.650	16.689
800	37.680	266.228	242.980	18.598	-189.526	-228.599	14.926
900	37.809	270.673	245.815	22.373	-190.499	-233.424	13.548
1000	37.921	274.663	248.503	26.159	-191.468	-238.142	12.439
1100	38.022	278.282	251.049	29.957	-192.454	-242.761	11.528
1200	38.116	281.594	253.458	33.764	-290.239	-244.850	10.658
1300	38.205	284.649	255.741	37.580	-290.387	-241.062	9.686
1400	38.289	287.483	257.909	41.404	-290.532	-237.262	8.852
1500	38.371	290.128	259.969	45.237	-290.673	-233.452	8.130
1600	38.450	292.607	261.933	49.079	-290.811	-229.633	7.497
1700	38.528	294.940	263.806	52.927	-290.945	-225.805	6.938
1800	38.604	297.144	265.598	56.784	-291.076	-221.969	6.441
1900	38.679	299.234	267.313	60.648	-291.205	-218.127	5.997
2000	38.754	301.219	268.959	64.520	-291.332	-214.277	5.596
2100	38.828	303.112	270.541	68.399	-291.458	-210.421	5.234
2200	38.901	304.920	272.063	72.285	-291.585	-206.559	4.904
2300	38.973	306.651	273.529	76.179	-291.712	-202.692	4.603
2400	39.045	308.311	274.944	80.080	-291.843	-198.818	4.327
2500	39.117	309.906	276.311	83.988	-291.978	-194.940	4.073
2600	39.189	311.442	277.633	87.903	-292.118	-191.055	3.838
2700	39.260	312.922	278.913	91.826	-292.266	-187.165	3.621
2800	39.331	314.351	280.153	95.756	-292.422	-183.270	3.419
2900	39.402	315.733	281.356	99.692	-292.589	-179.369	3.231
3000	39.473	317.070	282.524	103.636	-292.768	-175.462	3.055
3100	39.544	318.365	283.660	107.587	-292.960	-171.548	2.891
3200	39.614	319.622	284.764	111.545	-293.167	-167.629	2.736
3300	39.685	320.842	285.839	115.510	-293.389	-163.702	2.591
3400	39.755	322.028	286.886	119.482	-293.629	-159.769	2.455
3500	39.825	323.181	287.907	123.461	-293.886	-155.828	2.326
3600	39.895	324.304	288.902	127.447	-294.162	-151.879	2.204
3700	39.965	325.398	289.874	131.440	-294.459	-147.923	2.088
3800	40.035	326.465	290.823	135.440	-294.777	-143.959	1.979
3900	40.105	327.506	291.750	139.447	-295.116	-139.985	1.875
4000	40.175	328.522	292.657	143.461	-295.480	-136.003	1.776
4100	40.245	329.515	293.544	147.482	-295.868	-132.011	1.682
4200	40.315	330.485	294.412	151.510	-296.280	-128.010	1.592
4300	40.385	331.435	295.262	155.545	-296.721	-123.998	1.506
4400	40.455	332.364	296.094	159.587	-297.148	-119.980	1.424
4500	40.524	333.274	296.911	163.636	-297.625	-115.949	1.346
4600	40.594	334.165	297.711	167.692	-298.139	-111.906	1.271
4700	40.664	335.039	298.496	171.755	-298.684	-107.851	1.199
4800	40.733	335.896	299.266	175.825	-299.260	-103.785	1.129
4900	40.803	336.737	300.022	179.901	-299.871	-99.706	1.063
5000	40.873	337.562	300.765	183.985	-300.509	-95.616	0.999
5100	40.942	338.372	301.494	188.076	-301.191	-91.511	0.937
5200	41.012	339.168	302.211	192.174	-301.912	-87.393	0.878
5300	41.082	339.949	302.916	196.278	-302.674	-83.260	0.821
5400	41.151	340.718	303.609	200.390	-303.479	-79.113	0.765
5500	41.221	341.474	304.290	204.509	-304.329	-74.950	0.712
5600	41.290	342.217	304.961	208.634	-305.227	-70.771	0.660
5700	41.360	342.948	305.621	212.767	-306.173	-66.576	0.610
5800	41.429	343.668	306.271	216.906	-307.170	-62.364	0.562
5900	41.499	344.377	306.911	221.052	-308.220	-58.135	0.515
6000	41.568	345.075	307.541	225.206	-309.167	-53.905	0.469
