Cobalt Chloride (CoCl2)	Cl2Co1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-15.271	-95.041	-95.041	INFINITE
100	51.604	236.844	350.003	-11.316	-94.519	-98.535	51.469
200	57.705	275.056	303.902	-5.769	-93.920	-102.821	26.854
250	58.855	288.064	299.478	-2.853	-93.778	-105.064	21.952
298.15	59.623	298.500	298.500	0.	-93.722	-107.244	18.789
300	59.648	298.869	298.501	0.110	-93.720	-107.328	18.687
350	60.221	308.109	299.230	3.108	-93.704	-109.598	16.357
400	60.657	316.180	300.855	6.130	-93.738	-111.866	14.608
450	61.011	323.346	302.963	9.172	-93.821	-114.128	13.248
500	61.318	329.790	305.329	12.230	-93.947	-116.378	12.158
600	61.872	341.019	310.369	18.390	-94.314	-120.832	10.519
700	62.395	350.596	315.448	24.604	-94.808	-125.214	9.344
800	62.891	358.961	320.375	30.868	-95.843	-129.456	8.453
900	63.344	366.395	325.083	37.181	-96.596	-133.614	7.755
1000	63.737	373.090	329.555	43.535	-97.550	-137.678	7.192
1100	64.064	379.181	333.793	49.926	-98.746	-141.635	6.726
1200	64.324	384.767	337.812	56.346	-100.223	-145.471	6.332
1300	64.522	389.924	341.625	62.789	-102.135	-149.168	5.994
1400	64.666	394.711	345.247	69.249	-104.615	-152.696	5.697
1500	64.765	399.176	348.696	75.720	-106.081	-156.077	5.435
1600	64.828	403.358	351.983	82.200	-107.295	-159.369	5.203
1700	64.862	407.289	355.121	88.685	-108.414	-162.589	4.996
1800	64.875	410.997	358.124	95.172	-125.807	-165.450	4.801
1900	64.873	414.505	361.000	101.660	-127.196	-167.615	4.608
2000	64.860	417.832	363.759	108.146	-128.597	-169.706	4.432
2100	64.842	420.996	366.410	114.631	-130.011	-171.727	4.271
2200	64.821	424.012	368.960	121.115	-131.438	-173.680	4.124
2300	64.799	426.893	371.417	127.595	-132.882	-175.568	3.987
2400	64.779	429.650	373.786	134.074	-134.342	-177.392	3.861
2500	64.762	432.294	376.074	140.551	-135.820	-179.156	3.743
2600	64.748	434.834	378.285	147.027	-137.316	-180.860	3.634
2700	64.738	437.277	380.425	153.501	-138.832	-182.506	3.531
2800	64.733	439.632	382.498	159.975	-140.367	-184.095	3.434
2900	64.733	441.903	384.507	166.448	-141.923	-185.630	3.344
3000	64.738	444.098	386.457	172.921	-143.497	-187.110	3.258
3100	64.747	446.221	388.351	179.396	-145.090	-188.538	3.177
3200	64.761	448.277	390.192	185.871	-521.514	-188.141	3.071
3300	64.778	450.270	391.982	192.348	-521.715	-177.720	2.813
3400	64.800	452.204	393.725	198.827	-521.932	-167.292	2.570
3500	64.825	454.083	395.423	205.308	-522.165	-156.858	2.341
3600	64.853	455.909	397.078	211.792	-522.413	-146.418	2.124
3700	64.884	457.686	398.692	218.279	-522.674	-135.970	1.920
3800	64.917	459.417	400.268	224.769	-522.949	-125.515	1.725
3900	64.952	461.104	401.806	231.262	-523.234	-115.052	1.541
4000	64.989	462.749	403.309	237.759	-523.529	-104.582	1.366
4100	65.028	464.354	404.778	244.260	-523.832	-94.105	1.199
4200	65.068	465.922	406.216	250.765	-524.143	-83.620	1.040
4300	65.108	467.453	407.622	257.274	-524.458	-73.127	0.888
4400	65.149	468.950	408.999	263.786	-524.778	-62.628	0.743
4500	65.191	470.415	410.347	270.303	-525.100	-52.121	0.605
4600	65.232	471.848	411.669	276.825	-525.424	-41.606	0.472
4700	65.274	473.251	412.964	283.350	-525.748	-31.085	0.345
4800	65.315	474.626	414.235	289.879	-526.072	-20.557	0.224
4900	65.356	475.973	415.481	296.413	-526.394	-10.022	0.107
5000	65.396	477.294	416.704	302.950	-526.714	0.519	-0.005
5100	65.435	478.589	417.905	309.492	-527.032	11.067	-0.113
5200	65.474	479.860	419.084	316.037	-527.346	21.621	-0.217
5300	65.511	481.108	420.243	322.587	-527.658	32.181	-0.317
5400	65.548	482.333	421.381	329.140	-527.966	42.747	-0.413
5500	65.583	483.536	422.500	335.696	-528.271	53.319	-0.506
5600	65.617	484.718	423.601	342.256	-528.573	63.896	-0.596
5700	65.650	485.880	424.683	348.820	-528.873	74.478	-0.683
5800	65.681	487.022	425.748	355.386	-529.170	85.066	-0.766
5900	65.711	488.145	426.796	361.956	-529.422	95.656	-0.847
6000	65.740	489.249	427.828	368.528	-529.706	106.252	-0.925
