Mercury Chloride (HgCl2)	Cl2Hg1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-14.543	-142.313	-142.313	INFINITE
100	46.437	237.359	343.680	-10.632	-143.019	-144.133	75.287
200	54.452	272.269	300.012	-5.549	-143.559	-145.015	37.874
250	56.690	284.678	295.742	-2.766	-146.092	-145.198	30.338
298.15	58.110	294.793	294.793	0.	-146.294	-145.007	25.405
300	58.154	295.152	294.794	0.108	-146.301	-144.999	25.247
350	59.140	304.196	295.506	3.041	-146.475	-144.768	21.605
400	59.826	312.140	297.099	6.017	-146.627	-144.514	18.872
450	60.319	319.217	299.170	9.021	-146.766	-144.241	16.743
500	60.683	325.592	301.499	12.046	-146.896	-143.954	15.039
600	61.174	336.703	306.467	18.141	-147.147	-143.341	12.479
700	61.478	346.157	311.479	24.275	-206.159	-136.116	10.157
800	61.680	354.381	316.339	30.434	-205.779	-126.136	8.236
900	61.819	361.654	320.977	36.609	-205.403	-116.203	6.744
1000	61.920	368.173	325.376	42.796	-205.031	-106.312	5.553
1100	61.995	374.078	329.540	48.992	-204.663	-96.458	4.580
1200	62.053	379.475	333.479	55.195	-204.301	-86.637	3.771
1300	62.097	384.444	337.211	61.402	-203.945	-76.846	3.088
1400	62.133	389.047	340.751	67.614	-203.593	-67.082	2.503
1500	62.162	393.335	344.115	73.829	-203.248	-57.343	1.997
1600	62.185	397.347	347.318	80.046	-202.909	-47.628	1.555
1700	62.205	401.118	350.373	86.266	-202.577	-37.933	1.166
1800	62.221	404.674	353.292	92.487	-202.252	-28.257	0.820
1900	62.235	408.038	356.086	98.710	-201.935	-18.599	0.511
2000	62.247	411.231	358.764	104.934	-201.626	-8.958	0.234
2100	62.258	414.268	361.335	111.159	-201.328	0.668	-0.017
2200	62.267	417.165	363.808	117.385	-201.041	10.280	-0.244
2300	62.274	419.933	366.188	123.612	-200.767	19.879	-0.451
2400	62.281	422.583	368.483	129.840	-200.507	29.467	-0.641
2500	62.287	425.126	370.698	136.069	-200.262	39.044	-0.816
2600	62.292	427.569	372.839	142.298	-200.033	48.612	-0.977
2700	62.297	429.920	374.910	148.527	-199.822	58.171	-1.125
2800	62.301	432.185	376.915	154.757	-199.630	67.723	-1.263
2900	62.305	434.372	378.859	160.987	-199.457	77.268	-1.392
3000	62.309	436.484	380.745	167.218	-199.302	86.807	-1.511
3100	62.312	438.527	382.576	173.449	-199.167	96.342	-1.623
3200	62.315	440.506	384.355	179.680	-199.050	105.873	-1.728
3300	62.317	442.423	386.086	185.912	-198.951	115.400	-1.827
3400	62.320	444.284	387.771	192.144	-198.868	124.924	-1.919
3500	62.322	446.090	389.411	198.376	-198.801	134.447	-2.007
3600	62.324	447.846	391.010	204.608	-198.746	143.967	-2.089
3700	62.326	449.553	392.569	210.841	-198.702	153.487	-2.167
3800	62.327	451.216	394.091	217.073	-198.667	163.005	-2.241
3900	62.329	452.835	395.577	223.306	-198.639	172.522	-2.311
4000	62.330	454.413	397.028	229.539	-198.615	182.039	-2.377
4100	62.332	455.952	398.446	235.772	-198.592	191.555	-2.440
4200	62.333	457.454	399.833	242.006	-198.568	201.070	-2.501
4300	62.334	458.921	401.191	248.239	-198.540	210.585	-2.558
4400	62.335	460.354	402.519	254.472	-198.506	220.099	-2.613
4500	62.336	461.754	403.820	260.706	-198.464	229.612	-2.665
4600	62.337	463.125	405.094	266.940	-198.411	239.125	-2.715
4700	62.338	464.465	406.343	273.173	-198.346	248.636	-2.763
4800	62.339	465.778	407.568	279.407	-198.265	258.145	-2.809
4900	62.340	467.063	408.769	285.641	-198.168	267.653	-2.853
5000	62.340	468.322	409.947	291.875	-198.053	277.158	-2.895
5100	62.341	469.557	411.104	298.109	-197.918	286.661	-2.936
5200	62.342	470.767	412.240	304.343	-197.762	296.161	-2.975
5300	62.342	471.955	413.355	310.577	-197.584	305.658	-3.012
5400	62.343	473.120	414.451	316.812	-197.384	315.151	-3.048
5500	62.343	474.264	415.529	323.046	-197.160	324.641	-3.083
5600	62.344	475.388	416.588	329.280	-196.911	334.126	-3.117
5700	62.344	476.491	417.629	335.515	-196.639	343.606	-3.149
5800	62.345	477.575	418.653	341.749	-196.341	353.082	-3.180
5900	62.345	478.641	419.661	347.984	-196.019	362.552	-3.210
6000	62.346	479.689	420.653	354.218	-195.672	372.016	-3.239
