Trichlorofluorosilane (SiCl3F)	Cl3F1Si1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-19.214	-838.796	-838.796	INFINITE
100	55.092	255.734	407.697	-15.196	-840.866	-829.187	433.123
200	78.839	302.234	343.986	-8.350	-841.220	-817.279	213.451
250	85.487	320.584	337.514	-4.233	-841.131	-811.303	169.513
298.15	90.081	336.055	336.055	0.	-840.984	-805.570	141.133
300	90.231	336.613	336.057	0.167	-840.977	-805.351	140.224
350	93.713	350.797	337.169	4.770	-840.782	-799.428	119.308
400	96.325	363.489	339.680	9.524	-840.557	-793.535	103.625
450	98.321	374.955	342.973	14.392	-840.310	-787.672	91.431
500	99.873	385.398	346.701	19.348	-840.050	-781.837	81.678
600	102.076	403.816	354.726	29.454	-839.505	-770.246	67.056
700	103.521	419.667	362.898	39.739	-838.952	-758.746	56.618
800	104.511	433.559	370.880	50.143	-838.410	-747.325	48.795
900	105.217	445.912	378.543	60.631	-837.892	-735.971	42.715
1000	105.735	457.026	385.845	71.180	-837.404	-724.673	37.853
1100	106.126	467.122	392.782	81.774	-836.951	-713.423	33.878
1200	106.429	476.370	399.368	92.403	-836.537	-702.211	30.566
1300	106.667	484.899	405.623	103.058	-836.165	-691.033	27.766
1400	106.857	492.811	411.572	113.734	-835.839	-679.881	25.367
1500	107.012	500.189	417.237	124.428	-835.561	-668.751	23.288
1600	107.140	507.099	422.639	135.136	-835.333	-657.638	21.470
1700	107.246	513.598	427.801	145.855	-885.335	-646.091	19.852
1800	107.335	519.730	432.739	156.585	-884.981	-632.028	18.341
1900	107.411	525.536	437.472	167.322	-884.640	-617.985	16.990
2000	107.476	531.047	442.014	178.066	-884.312	-603.959	15.774
2100	107.532	536.292	446.379	188.817	-883.997	-589.949	14.674
2200	107.581	541.296	450.581	199.573	-883.697	-575.954	13.675
2300	107.624	546.079	454.630	210.333	-883.412	-561.972	12.763
2400	107.661	550.660	458.536	221.097	-883.142	-548.002	11.927
2500	107.694	555.056	462.310	231.865	-882.888	-534.043	11.158
2600	107.724	559.280	465.959	242.636	-882.651	-520.094	10.449
2700	107.750	563.346	469.491	253.410	-882.430	-506.154	9.792
2800	107.774	567.265	472.913	264.186	-882.225	-492.222	9.183
2900	107.795	571.048	476.232	274.964	-882.037	-478.296	8.615
3000	107.814	574.702	479.454	285.745	-881.863	-464.377	8.086
3100	107.831	578.238	482.584	296.527	-881.704	-450.464	7.590
3200	107.847	581.662	485.627	307.311	-881.556	-436.555	7.126
3300	107.861	584.980	488.588	318.096	-881.419	-422.651	6.690
3400	107.874	588.201	491.470	328.883	-881.290	-408.751	6.280
3500	107.886	591.328	494.279	339.671	-881.166	-394.855	5.893
3600	107.897	594.367	497.017	350.460	-1265.195	-370.501	5.376
3700	107.907	597.324	499.688	361.251	-1264.658	-345.656	4.880
3800	107.916	600.201	502.296	372.042	-1264.118	-320.825	4.410
3900	107.925	603.005	504.842	382.834	-1263.571	-296.009	3.965
4000	107.933	605.737	507.331	393.627	-1263.013	-271.206	3.542
4100	107.940	608.403	509.763	404.420	-1262.440	-246.418	3.139
4200	107.947	611.004	512.143	415.215	-1261.849	-221.644	2.757
4300	107.954	613.544	514.472	426.010	-1261.234	-196.885	2.392
4400	107.960	616.026	516.752	436.806	-1260.593	-172.140	2.044
4500	107.965	618.452	518.985	447.602	-1259.922	-147.410	1.711
4600	107.971	620.825	521.173	458.399	-1259.217	-122.695	1.393
4700	107.975	623.147	523.318	469.196	-1258.476	-97.996	1.089
4800	107.980	625.420	525.422	479.994	-1257.695	-73.313	0.798
4900	107.984	627.647	527.485	490.792	-1256.873	-48.647	0.519
5000	107.988	629.828	529.510	501.591	-1256.006	-23.998	0.251
5100	107.992	631.967	531.498	512.390	-1255.093	0.633	-0.006
5200	107.996	634.064	533.451	523.189	-1254.131	25.246	-0.254
5300	107.999	636.121	535.369	533.989	-1253.120	49.840	-0.491
5400	108.003	638.140	537.253	544.789	-1252.059	74.414	-0.720
5500	108.006	640.122	539.105	555.589	-1250.944	98.968	-0.940
5600	108.008	642.068	540.927	566.390	-1249.778	123.502	-1.152
5700	108.011	643.980	542.718	577.191	-1248.558	148.014	-1.356
5800	108.014	645.858	544.480	587.992	-1247.284	172.504	-1.554
5900	108.016	647.705	546.214	598.794	-1245.957	196.972	-1.744
6000	108.019	649.520	547.921	609.596	-1244.576	221.416	-1.928
