Tetrachlorosilane (SiCl4)	Cl4Si1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-19.404	-660.570	-660.570	INFINITE
100	57.203	250.191	402.620	-15.243	-662.499	-649.333	339.177
200	78.605	297.154	338.877	-8.344	-662.854	-635.967	166.097
250	85.418	315.465	332.406	-4.235	-662.833	-629.246	131.474
298.15	90.261	330.945	330.945	0.	-662.746	-622.784	109.109
300	90.420	331.504	330.947	0.167	-662.741	-622.536	108.393
350	94.081	345.732	332.062	4.784	-662.596	-615.846	91.910
400	96.788	358.480	334.582	9.559	-662.410	-609.179	79.551
450	98.820	370.003	337.888	14.452	-662.194	-602.538	69.941
500	100.372	380.499	341.632	19.433	-661.957	-595.922	62.256
600	102.529	399.005	349.693	29.587	-661.443	-582.763	50.734
700	103.910	414.921	357.901	39.914	-660.908	-569.692	42.511
800	104.841	428.861	365.918	50.354	-660.376	-556.697	36.349
900	105.495	441.249	373.613	60.873	-659.860	-543.769	31.560
1000	105.972	452.390	380.943	71.447	-659.370	-530.896	27.731
1100	106.329	462.508	387.905	82.063	-658.910	-518.071	24.601
1200	106.604	471.772	394.513	92.710	-658.485	-505.287	21.995
1300	106.819	480.314	400.789	103.382	-658.099	-492.536	19.790
1400	106.991	488.236	406.756	114.073	-657.754	-479.814	17.902
1500	107.130	495.623	412.437	124.779	-657.454	-467.114	16.266
1600	107.245	502.541	417.854	135.498	-657.200	-454.434	14.836
1700	107.340	509.045	423.029	146.227	-707.173	-441.320	13.560
1800	107.420	515.183	427.980	156.966	-706.790	-425.693	12.353
1900	107.488	520.993	432.724	167.711	-706.419	-410.087	11.274
2000	107.546	526.508	437.276	178.463	-706.061	-394.500	10.303
2100	107.596	531.756	441.651	189.220	-705.721	-378.930	9.425
2200	107.639	536.762	445.862	199.982	-705.400	-363.376	8.628
2300	107.677	541.548	449.919	210.747	-705.102	-347.837	7.900
2400	107.710	546.131	453.833	221.517	-704.830	-332.309	7.233
2500	107.740	550.529	457.613	232.289	-704.587	-316.793	6.619
2600	107.766	554.755	461.269	243.065	-704.375	-301.285	6.053
2700	107.789	558.823	464.807	253.842	-704.197	-285.785	5.529
2800	107.810	562.743	468.235	264.622	-704.054	-270.291	5.042
2900	107.829	566.527	471.560	275.404	-703.948	-254.802	4.589
3000	107.845	570.182	474.786	286.188	-703.880	-239.315	4.167
3100	107.861	573.719	477.921	296.973	-703.848	-223.830	3.772
3200	107.875	577.144	480.969	307.760	-703.853	-208.346	3.401
3300	107.887	580.463	483.933	318.548	-703.892	-192.860	3.053
3400	107.899	583.684	486.820	329.337	-703.963	-177.374	2.725
3500	107.909	586.812	489.633	340.128	-704.064	-161.885	2.416
3600	107.919	589.852	492.374	350.919	-1088.341	-135.931	1.972
3700	107.928	592.809	495.049	361.712	-1088.075	-109.479	1.546
3800	107.936	595.687	497.660	372.505	-1087.827	-83.034	1.141
3900	107.944	598.491	500.209	383.299	-1087.592	-56.595	0.758
4000	107.951	601.224	502.701	394.094	-1087.366	-30.162	0.394
4100	107.958	603.890	505.136	404.889	-1087.143	-3.735	0.048
4200	107.964	606.491	507.519	415.685	-1086.917	22.687	-0.282
4300	107.969	609.032	509.850	426.482	-1086.683	49.104	-0.596
4400	107.975	611.514	512.133	437.279	-1086.435	75.514	-0.896
4500	107.980	613.941	514.368	448.077	-1086.169	101.919	-1.183
4600	107.984	616.314	516.559	458.875	-1085.880	128.318	-1.457
4700	107.989	618.636	518.706	469.674	-1085.564	154.710	-1.719
4800	107.993	620.910	520.812	480.473	-1085.215	181.096	-1.971
4900	107.996	623.137	522.877	491.272	-1084.830	207.473	-2.212
5000	108.000	625.319	524.904	502.072	-1084.405	233.842	-2.443
5100	108.003	627.457	526.894	512.872	-1083.938	260.203	-2.665
5200	108.007	629.555	528.848	523.673	-1083.424	286.553	-2.878
5300	108.010	631.612	530.768	534.473	-1082.862	312.894	-3.084
5400	108.012	633.631	532.654	545.275	-1082.250	339.223	-3.281
5500	108.015	635.613	534.508	556.076	-1081.584	365.541	-3.472
5600	108.018	637.559	536.331	566.878	-1080.865	391.846	-3.655
5700	108.020	639.471	538.124	577.679	-1080.090	418.137	-3.832
5800	108.022	641.350	539.887	588.482	-1079.259	444.415	-4.002
5900	108.025	643.196	541.623	599.284	-1078.370	470.678	-4.167
6000	108.027	645.012	543.331	610.087	-1077.423	496.924	-4.326
