Tungsten Chloride ((WCl5)2)	Cl10W2(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-60.408	-873.157	-873.157	INFINITE
100	200.630	455.551	934.652	-47.910	-876.522	-825.651	431.276
200	246.532	611.501	737.242	-25.148	-872.964	-775.991	202.668
250	256.975	667.725	717.886	-12.540	-870.764	-752.000	157.122
298.15	263.467	713.581	713.581	0.	-868.598	-729.322	127.774
300	263.668	715.212	713.586	0.488	-868.515	-728.459	126.836
350	268.139	756.214	716.814	13.790	-866.254	-705.295	105.259
400	271.243	792.234	724.036	27.279	-864.001	-682.454	89.119
450	273.470	824.317	733.429	40.900	-861.764	-659.895	76.599
500	275.117	853.219	743.987	54.616	-859.548	-637.585	66.608
600	277.333	903.592	766.512	82.248	-855.192	-593.603	51.678
700	278.710	946.454	789.232	110.055	-850.946	-550.342	41.067
800	279.620	983.734	811.266	137.975	-846.815	-507.682	33.148
900	280.252	1016.707	832.296	165.970	-842.799	-465.532	27.019
1000	280.708	1046.260	852.240	194.019	-838.901	-423.824	22.138
1100	281.047	1073.031	871.114	222.108	-835.121	-382.500	18.163
1200	281.307	1097.497	888.975	250.226	-831.461	-341.516	14.866
1300	281.509	1120.021	905.893	278.367	-827.921	-300.831	12.088
1400	281.671	1140.890	921.942	306.527	-824.503	-260.415	9.716
1500	281.801	1160.327	937.194	334.701	-821.209	-220.239	7.669
1600	281.908	1178.518	951.714	362.886	-818.042	-180.278	5.885
1700	281.997	1195.611	965.563	391.082	-815.003	-140.511	4.317
1800	282.071	1211.732	978.796	419.285	-812.097	-100.920	2.929
1900	282.135	1226.985	991.461	447.495	-809.327	-61.486	1.690
2000	282.188	1241.458	1003.602	475.712	-806.700	-22.195	0.580
2100	282.235	1255.227	1015.259	503.933	-804.221	16.969	-0.422
2200	282.275	1268.357	1026.467	532.158	-801.897	56.018	-1.330
2300	282.310	1280.906	1037.259	560.388	-799.736	94.965	-2.157
2400	282.341	1292.921	1047.663	588.620	-797.745	133.822	-2.913
2500	282.369	1304.448	1057.705	616.856	-795.930	172.599	-3.606
2600	282.393	1315.523	1067.410	645.094	-794.292	211.308	-4.245
2700	282.414	1326.181	1076.798	673.334	-792.890	249.958	-4.836
2800	282.434	1336.452	1085.889	701.577	-791.799	288.560	-5.383
2900	282.451	1346.363	1094.701	729.821	-791.100	327.131	-5.892
3000	282.467	1355.939	1103.250	758.067	-790.846	365.685	-6.367
3100	282.481	1365.201	1111.552	786.314	-791.125	404.239	-6.811
3200	282.494	1374.170	1119.619	814.563	-791.996	442.810	-7.228
3300	282.505	1382.863	1127.465	842.813	-793.506	481.421	-7.620
3400	282.516	1391.297	1135.101	871.064	-795.718	520.086	-7.990
3500	282.526	1399.486	1142.539	899.316	-798.755	558.828	-8.340
3600	282.535	1407.445	1149.787	927.569	-802.799	597.671	-8.672
3700	282.543	1415.187	1156.856	955.823	-877.571	637.023	-8.993
3800	282.551	1422.722	1163.754	984.078	-877.024	677.950	-9.319
3900	282.558	1430.061	1170.489	1012.333	-876.508	718.864	-9.628
4000	282.564	1437.215	1177.068	1040.589	-876.012	759.765	-9.922
4100	282.570	1444.192	1183.498	1068.846	-875.522	800.654	-10.200
4200	282.576	1451.002	1189.787	1097.103	-875.025	841.530	-10.466
4300	282.581	1457.651	1195.939	1125.361	-874.508	882.394	-10.719
4400	282.586	1464.147	1201.961	1153.619	-873.959	923.246	-10.960
4500	282.591	1470.498	1207.858	1181.878	-873.365	964.085	-11.191
4600	282.595	1476.709	1213.636	1210.138	-872.714	1004.911	-11.411
4700	282.599	1482.787	1219.298	1238.397	-871.995	1045.720	-11.622
4800	282.603	1488.736	1224.849	1266.657	-871.198	1086.514	-11.824
4900	282.606	1494.563	1230.294	1294.918	-870.312	1127.292	-12.017
5000	282.609	1500.273	1235.637	1323.179	-869.328	1168.048	-12.203
5100	282.613	1505.869	1240.881	1351.440	-868.239	1208.786	-12.380
5200	282.615	1511.357	1246.030	1379.701	-867.037	1249.500	-12.551
5300	282.618	1516.740	1251.087	1407.963	-865.714	1290.190	-12.716
5400	282.621	1522.023	1256.056	1436.225	-864.265	1330.854	-12.873
5500	282.623	1527.209	1260.939	1464.487	-862.684	1371.491	-13.025
5600	282.626	1532.302	1265.739	1492.749	-860.968	1412.096	-13.171
5700	282.628	1537.304	1270.460	1521.012	-859.112	1452.670	-13.312
5800	282.630	1542.219	1275.103	1549.275	-857.114	1493.212	-13.448
5900	282.632	1547.051	1279.671	1577.538	-854.970	1533.716	-13.578
6000	282.634	1551.801	1284.167	1605.801	-852.679	1574.181	-13.704
