Cesium, Ion  (Cs-)	Cs1-(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.197	32.514				
100	20.786	147.129	188.317	-4.119						
200	20.786	161.537	171.738	-2.040						
250	20.786	166.175	170.179	-1.001						
298.15	20.786	169.836	169.836	0.	24.798	5.802	-1.017
300	20.786	169.965	169.837	0.038	24.738	5.685	-0.990
350	20.786	173.169	170.090	1.078	21.043	2.972	-0.444
400	20.786	175.945	170.652	2.117	19.458	0.499	-0.065
450	20.786	178.393	171.379	3.156	17.888	-1.777	0.206
500	20.786	180.583	172.192	4.196	16.327	-3.878	0.405
600	20.786	184.373	173.916	6.274	13.220	-7.627	0.664
700	20.786	187.577	175.644	8.353	10.123	-10.857	0.810
800	20.786	190.352	177.313	10.431	7.030	-13.642	0.891
900	20.786	192.801	178.901	12.510	3.935	-16.041	0.931
1000	20.786	194.991	180.402	14.589	-66.291	-14.395	0.752
1100	20.786	196.972	181.820	16.667	-68.370	-9.105	0.432
1200	20.786	198.780	183.159	18.746	-70.449	-3.625	0.158
1300	20.786	200.444	184.425	20.824	-72.528	2.028	-0.081
1400	20.786	201.985	185.625	22.903	-74.609	7.841	-0.293
1500	20.786	203.419	186.764	24.982	-76.691	13.803	-0.481
1600	20.786	204.760	187.848	27.060	-78.777	19.904	-0.650
1700	20.786	206.020	188.880	29.139	-80.869	26.135	-0.803
1800	20.786	207.208	189.865	31.217	-82.969	32.490	-0.943
1900	20.786	208.332	190.808	33.296	-85.080	38.962	-1.071
2000	20.786	209.398	191.711	35.375	-87.206	45.546	-1.190
2100	20.786	210.413	192.578	37.453	-89.351	52.236	-1.299
2200	20.786	211.380	193.411	39.532	-91.520	59.029	-1.402
2300	20.786	212.304	194.212	41.610	-93.719	65.921	-1.497
2400	20.786	213.188	194.984	43.689	-95.952	72.910	-1.587
2500	20.786	214.037	195.730	45.768	-98.226	79.992	-1.671
2600	20.786	214.852	196.450	47.846	-100.546	87.167	-1.751
2700	20.786	215.636	197.146	49.925	-102.919	94.431	-1.827
2800	20.786	216.392	197.820	52.004	-105.351	101.785	-1.899
2900	20.786	217.122	198.473	54.082	-107.848	109.226	-1.967
3000	20.786	217.826	199.106	56.161	-110.418	116.755	-2.033
3100	20.786	218.508	199.721	58.239	-113.067	124.371	-2.096
3200	20.786	219.168	200.319	60.318	-115.801	132.074	-2.156
3300	20.786	219.808	200.900	62.397	-118.587	139.860	-2.214
3400	20.786	220.428	201.465	64.475	-121.495	147.735	-2.270
3500	20.786	221.031	202.015	66.554	-124.503	155.697	-2.324
3600	20.786	221.616	202.552	68.632	-127.617	163.747	-2.376
3700	20.786	222.186	203.075	70.711	-130.828	171.883	-2.427
3800	20.786	222.740	203.585	72.790	-134.151	180.108	-2.476
3900	20.786	223.280	204.083	74.868	-137.578	188.420	-2.524
4000	20.786	223.806	204.570	76.947	-141.142	196.824	-2.570
4100	20.786	224.319	205.045	79.025	-144.828	205.319	-2.616
4200	20.786	224.820	205.510	81.104	-148.640	213.905	-2.660
4300	20.786	225.309	205.965	83.183	-152.578	222.583	-2.704
4400	20.786	225.787	206.410	85.261	-156.349	231.321	-2.746
4500	20.786	226.254	206.846	87.340	-159.931	240.113	-2.787
4600	20.786	226.711	207.273	89.418	-164.073	249.048	-2.828
4700	20.786	227.158	207.691	91.497	-168.318	258.075	-2.868
4800	20.786	227.596	208.101	93.576	-172.662	267.193	-2.908
4900	20.786	228.025	208.503	95.654	-177.101	276.402	-2.946
5000	20.786	228.445	208.898	97.733	-181.632	285.703	-2.985
5100	20.786	228.856	209.285	99.811	-186.249	295.096	-3.022
5200	20.786	229.260	209.666	101.890	-190.416	304.502	-3.059
5300	20.786	229.656	210.039	103.969	-195.123	314.064	-3.095
5400	20.786	230.044	210.406	106.047	-199.618	323.673	-3.131
5500	20.786	230.426	210.766	108.126	-204.262	333.383	-3.166
5600	20.786	230.800	211.121	110.204	-209.099	343.202	-3.201
5700	20.786	231.168	211.469	112.283	-213.980	353.107	-3.236
5800	20.786	231.530	211.812	114.362	-218.901	363.099	-3.270
5900	20.786	231.885	212.149	116.440	-223.855	373.176	-3.304
6000	20.786	232.234	212.481	118.519	-228.837	383.337	-3.337
