Cesium Fluoride (CsF)	Cs1F1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.640	-353.988	-353.988	INFINITE
100	30.506	206.799	273.829	-6.703	-354.653	-361.319	188.734
200	34.207	229.206	246.449	-3.449	-355.543	-367.628	96.015
250	35.207	236.954	243.800	-1.711	-355.977	-370.600	77.433
298.15	35.838	243.213	243.213	0.	-356.477	-373.373	65.413
300	35.857	243.435	243.214	0.066	-356.499	-373.478	65.028
350	36.298	248.998	243.652	1.871	-359.184	-375.925	56.104
400	36.611	253.866	244.631	3.694	-359.761	-378.277	49.398
450	36.842	258.192	245.902	5.531	-360.328	-380.558	44.174
500	37.019	262.083	247.329	7.377	-360.892	-382.775	39.988
600	37.276	268.857	250.369	11.093	-362.020	-387.046	33.695
700	37.456	274.617	253.432	14.830	-363.155	-391.127	29.186
800	37.594	279.628	256.400	18.583	-364.301	-395.045	25.794
900	37.707	284.063	259.232	22.348	-365.457	-398.819	23.147
1000	37.805	288.041	261.917	26.124	-433.753	-398.764	20.829
1100	37.891	291.648	264.459	29.909	-433.906	-395.257	18.769
1200	37.971	294.949	266.864	33.702	-434.065	-391.737	17.052
1300	38.046	297.991	269.143	37.503	-434.228	-388.203	15.598
1400	38.117	300.813	271.305	41.311	-434.396	-384.656	14.352
1500	38.185	303.445	273.361	45.126	-434.569	-381.098	13.271
1600	38.251	305.912	275.319	48.948	-434.747	-377.527	12.325
1700	38.316	308.233	277.188	52.776	-434.933	-373.945	11.490
1800	38.379	310.424	278.974	56.611	-435.128	-370.352	10.747
1900	38.441	312.501	280.684	60.452	-435.334	-366.748	10.083
2000	38.502	314.474	282.325	64.299	-435.554	-363.132	9.484
2100	38.563	316.355	283.901	68.152	-435.789	-359.505	8.942
2200	38.623	318.150	285.417	72.012	-436.044	-355.867	8.449
2300	38.683	319.868	286.878	75.877	-436.321	-352.216	7.999
2400	38.742	321.516	288.287	79.748	-436.625	-348.553	7.586
2500	38.801	323.098	289.648	83.625	-436.958	-344.877	7.206
2600	38.860	324.621	290.964	87.508	-437.327	-341.187	6.855
2700	38.919	326.089	292.238	91.397	-437.734	-337.481	6.529
2800	38.977	327.505	293.473	95.292	-438.185	-333.760	6.226
2900	39.035	328.874	294.670	99.193	-438.685	-330.022	5.944
3000	39.093	330.199	295.832	103.099	-439.239	-326.266	5.681
3100	39.151	331.481	296.962	107.011	-439.852	-322.490	5.434
3200	39.209	332.725	298.060	110.929	-440.532	-318.694	5.202
3300	39.266	333.933	299.129	114.853	-441.242	-314.878	4.984
3400	39.324	335.106	300.170	118.783	-442.052	-311.037	4.778
3500	39.381	336.246	301.184	122.718	-442.941	-307.171	4.584
3600	39.439	337.357	302.174	126.659	-443.913	-303.278	4.400
3700	39.496	338.438	303.139	130.606	-444.960	-299.358	4.226
3800	39.553	339.492	304.082	134.558	-446.096	-295.409	4.061
3900	39.611	340.520	305.003	138.516	-447.312	-291.430	3.903
4000	39.668	341.524	305.904	142.480	-448.644	-287.416	3.753
4100	39.725	342.504	306.785	146.450	-450.075	-283.368	3.610
4200	39.782	343.462	307.646	150.425	-451.608	-279.283	3.473
4300	39.839	344.399	308.490	154.406	-453.246	-275.161	3.343
4400	39.896	345.315	309.317	158.393	-454.695	-271.033	3.218
4500	39.953	346.213	310.127	162.385	-455.932	-266.904	3.098
4600	40.010	347.091	310.921	166.384	-457.709	-262.684	2.983
4700	40.067	347.952	311.700	170.388	-459.567	-258.424	2.872
4800	40.124	348.796	312.464	174.397	-461.503	-254.124	2.765
4900	40.181	349.624	313.214	178.412	-463.515	-249.783	2.663
5000	40.238	350.437	313.950	182.433	-465.598	-245.401	2.564
5100	40.295	351.234	314.673	186.460	-467.748	-240.975	2.468
5200	40.352	352.017	315.384	190.492	-469.428	-236.585	2.377
5300	40.408	352.786	316.082	194.530	-471.629	-232.086	2.287
5400	40.465	353.542	316.769	198.574	-473.600	-227.589	2.201
5500	40.522	354.285	317.445	202.623	-475.702	-223.038	2.118
5600	40.579	355.016	318.109	206.678	-477.979	-218.423	2.037
5700	40.636	355.735	318.763	210.739	-480.283	-213.768	1.959
5800	40.692	356.442	319.406	214.805	-482.610	-209.072	1.883
5900	40.749	357.138	320.040	218.878	-484.953	-204.335	1.809
6000	40.806	357.823	320.664	222.955	-487.308	-199.559	1.737
