Copper Fluoride (CuF2)	Cu1F2(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.103	-537.170	-537.170	INFINITE
100	34.229	21.852	128.307	-10.646	-539.289	-523.434	273.414
200	55.731	53.151	83.178	-6.005	-539.591	-507.345	132.505
298.15	65.552	77.452	77.452	0.	-538.899	-491.642	86.134
300	65.689	77.858	77.453	0.121	-538.881	-491.349	85.551
400	72.383	97.697	80.113	7.034	-537.682	-475.674	62.117
500	77.739	114.446	85.347	14.549	-536.097	-460.348	48.092
600	81.923	129.001	91.436	22.539	-534.201	-445.372	38.773
700	84.810	141.857	97.739	30.883	-532.083	-430.732	32.142
800	87.027	153.332	103.984	39.479	-529.821	-416.406	27.189
900	88.868	163.692	110.052	48.276	-527.454	-402.371	23.353
1000	90.374	173.136	115.895	57.241	-525.013	-388.603	20.299
1100	91.588	181.807	121.498	66.340	-522.539	-375.081	17.811
1109.000	91.713	182.554	121.991	67.164	CRYSTAL <--> LIQUID
1200	92.550	189.820	126.862	75.550	520.070  361.785 15.748
1300	93.303	197.259	131.995	84.844	-517.673	-348.693	14.011
1400	93.847	204.195	136.907	94.203	-528.521	-335.374	12.513
1500	94.224	210.683	141.611	103.608	-526.211	-321.659	11.201
1600	94.433	216.771	146.121	113.041	-523.891	-308.097	10.058
1700	94.558	222.501	150.447	122.492	-521.570	-294.681	9.054
1800	94.558	227.906	154.601	131.948	-519.258	-281.402	8.166
1900	94.558	233.018	158.595	141.404	-516.959	-268.250	7.375
2000	94.558	237.868	162.439	150.859	-514.668	-255.220	6.666
