Hydrogen-D1 (HD)	D1H1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.509	0.330	0.330	INFINITE
100	29.288	111.898	169.759	-5.786	0.178	-0.336	0.176
200	29.188	132.147	146.473	-2.865	0.275	-0.883	0.231
298.15	29.200	143.803	143.803	0.	0.320	-1.463	0.256
300	29.202	143.983	143.803	0.054	0.321	-1.474	0.257
400	29.231	152.388	144.949	2.976	0.329	-2.074	0.271
500	29.283	158.915	147.114	5.901	0.328	-2.675	0.279
600	29.395	164.263	149.539	8.834	0.323	-3.275	0.285
700	29.594	168.808	151.975	11.783	0.312	-3.874	0.289
800	29.890	172.778	154.333	14.756	0.297	-4.471	0.292
900	30.269	176.320	156.582	17.764	0.278	-5.066	0.294
1000	30.708	179.531	158.719	20.812	0.258	-5.659	0.296
1100	31.183	182.480	160.747	23.907	0.236	-6.250	0.297
1200	31.674	185.215	162.673	27.050	0.216	-6.838	0.298
1300	32.164	187.769	164.507	30.242	0.196	-7.425	0.298
1400	32.641	190.171	166.255	33.482	0.178	-8.011	0.299
1500	33.101	192.438	167.926	36.769	0.162	-8.595	0.299
1600	33.539	194.589	169.525	40.102	0.147	-9.179	0.300
1700	33.951	196.635	171.060	43.476	0.135	-9.761	0.300
1800	34.341	198.586	172.536	46.891	0.123	-10.343	0.300
1900	34.706	200.453	173.956	50.344	0.114	-10.924	0.300
2000	35.050	202.242	175.326	53.832	0.105	-11.505	0.300
2100	35.371	203.960	176.649	57.353	0.098	-12.085	0.301
2200	35.676	205.612	177.928	60.905	0.092	-12.665	0.301
2300	35.962	207.205	179.167	64.487	0.087	-13.245	0.301
2400	36.234	208.741	180.367	68.097	0.082	-13.824	0.301
2500	36.491	210.225	181.532	71.734	0.079	-14.403	0.301
2600	36.738	211.661	182.663	75.395	0.077	-14.983	0.301
2700	36.972	213.052	183.763	79.081	0.075	-15.562	0.301
2800	37.198	214.401	184.834	82.789	0.073	-16.141	0.301
2900	37.414	215.710	185.876	86.520	0.073	-16.720	0.301
3000	37.625	216.982	186.892	90.272	0.073	-17.299	0.301
3100	37.829	218.219	187.882	94.045	0.074	-17.878	0.301
3200	38.028	219.423	188.849	97.837	0.075	-18.457	0.301
3300	38.223	220.597	189.794	101.650	0.077	-19.036	0.301
3400	38.414	221.740	190.716	105.482	0.079	-19.616	0.301
3500	38.602	222.857	191.619	109.333	0.082	-20.195	0.301
3600	38.788	223.947	192.502	113.202	0.085	-20.774	0.301
3700	38.971	225.012	193.366	117.090	0.089	-21.354	0.301
3800	39.153	226.054	194.213	120.996	0.094	-21.933	0.301
3900	39.334	227.073	195.042	124.921	0.099	-22.513	0.302
4000	39.513	228.071	195.855	128.863	0.105	-23.093	0.302
4100	39.690	229.049	196.653	132.823	0.112	-23.673	0.302
4200	39.866	230.008	197.436	136.801	0.119	-24.253	0.302
4300	40.041	230.948	198.204	140.797	0.127	-24.834	0.302
4400	40.213	231.870	198.959	144.809	0.136	-25.414	0.302
4500	40.384	232.776	199.701	148.839	0.145	-25.995	0.302
4600	40.551	233.665	200.429	152.886	0.155	-26.576	0.302
4700	40.715	234.539	201.146	156.949	0.166	-27.157	0.302
4800	40.876	235.398	201.850	161.029	0.178	-27.739	0.302
4900	41.033	236.243	202.544	165.124	0.191	-28.321	0.302
5000	41.185	237.073	203.226	169.235	0.204	-28.902	0.302
5100	41.333	237.890	203.898	173.361	0.219	-29.485	0.302
5200	41.474	238.694	204.559	177.502	0.234	-30.067	0.302
5300	41.610	239.485	205.211	181.656	0.250	-30.650	0.302
5400	41.738	240.264	205.853	185.823	0.268	-31.233	0.302
5500	41.859	241.031	206.485	190.003	0.286	-31.817	0.302
5600	41.972	241.787	207.109	194.195	0.305	-32.401	0.302
5700	42.078	242.530	207.724	198.398	0.324	-32.985	0.302
5800	42.174	243.263	208.330	202.610	0.345	-33.570	0.302
5900	42.261	243.985	208.929	206.832	0.367	-34.155	0.302
6000	42.339	244.696	209.519	211.062	0.389	-34.740	0.302
