Thiophosphoryl Fluoride (PSF)	F1P1S1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-11.106	-169.189	-169.189	INFINITE
100	34.160	235.944	313.591	-7.765	-168.879	-180.934	94.510
200	39.208	261.056	281.619	-4.113	-170.596	-192.590	50.299
250	41.993	270.107	278.435	-2.082	-171.428	-197.993	41.368
298.15	44.439	277.717	277.717	0.	-172.268	-203.034	35.571
300	44.526	277.992	277.718	0.082	-172.301	-203.224	35.385
350	46.695	285.023	278.268	2.364	-173.915	-208.237	31.078
400	48.493	291.380	279.516	4.746	-177.096	-212.986	27.813
450	49.962	297.179	281.161	7.208	-178.709	-217.384	25.233
500	51.159	302.508	283.033	9.737	-180.348	-221.590	23.149
600	52.936	312.003	287.090	14.948	-183.091	-229.573	19.986
700	54.148	320.259	291.251	20.306	-185.489	-237.127	17.695
800	54.999	327.549	295.342	25.765	-187.677	-244.352	15.955
900	55.615	334.064	299.289	31.298	-242.862	-250.231	14.523
1000	56.073	339.949	303.065	36.883	-243.610	-251.010	13.111
1100	56.421	345.310	306.666	42.509	-244.348	-251.714	11.953
1200	56.692	350.231	310.094	48.165	-308.657	-251.273	10.938
1300	56.906	354.778	313.358	53.845	-308.621	-246.492	9.904
1400	57.078	359.002	316.470	59.545	-308.598	-241.714	9.018
1500	57.218	362.944	319.438	65.260	-308.588	-236.937	8.251
1600	57.334	366.641	322.274	70.988	-308.593	-232.160	7.579
1700	57.430	370.120	324.987	76.726	-308.614	-227.383	6.987
1800	57.512	373.405	327.586	82.473	-308.649	-222.604	6.460
1900	57.581	376.516	330.081	88.228	-308.699	-217.822	5.988
2000	57.640	379.471	332.477	93.989	-308.761	-213.037	5.564
2100	57.692	382.285	334.782	99.756	-308.834	-208.250	5.180
2200	57.736	384.970	337.003	105.527	-308.915	-203.458	4.831
2300	57.775	387.537	339.145	111.303	-309.003	-198.662	4.512
2400	57.810	389.997	341.213	117.082	-309.095	-193.863	4.219
2500	57.840	392.357	343.211	122.864	-309.189	-189.060	3.950
2600	57.867	394.626	345.146	128.650	-309.284	-184.253	3.702
2700	57.891	396.811	347.019	134.438	-309.375	-179.442	3.472
2800	57.912	398.916	348.835	140.228	-309.462	-174.628	3.258
2900	57.932	400.949	350.597	146.020	-309.544	-169.811	3.059
3000	57.949	402.913	352.309	151.814	-309.618	-164.992	2.873
3100	57.965	404.814	353.972	157.610	-309.683	-160.170	2.699
3200	57.980	406.654	355.589	163.407	-309.738	-155.346	2.536
3300	57.993	408.439	357.164	169.206	-309.782	-150.520	2.383
3400	58.005	410.170	358.698	175.006	-309.815	-145.694	2.238
3500	58.016	411.852	360.193	180.807	-309.835	-140.866	2.102
3600	58.026	413.486	361.650	186.609	-309.844	-136.038	1.974
3700	58.035	415.076	363.073	192.412	-309.840	-131.210	1.852
3800	58.044	416.624	364.462	198.216	-309.824	-126.383	1.737
3900	58.052	418.132	365.819	204.021	-309.795	-121.556	1.628
4000	58.059	419.601	367.145	209.826	-309.755	-116.730	1.524
4100	58.066	421.035	368.442	215.632	-309.702	-111.905	1.426
4200	58.072	422.435	369.711	221.439	-309.638	-107.081	1.332
4300	58.078	423.801	370.953	227.247	-309.564	-102.259	1.242
4400	58.083	425.136	372.169	233.055	-309.479	-97.439	1.157
4500	58.089	426.442	373.361	238.863	-309.384	-92.621	1.075
4600	58.093	427.718	374.529	244.672	-309.279	-87.805	0.997
4700	58.098	428.968	375.674	250.482	-309.166	-82.992	0.922
4800	58.102	430.191	376.797	256.292	-309.045	-78.181	0.851
4900	58.106	431.389	377.899	262.102	-308.916	-73.372	0.782
5000	58.110	432.563	378.980	267.913	-308.781	-68.567	0.716
5100	58.113	433.714	380.042	273.724	-308.638	-63.764	0.653
5200	58.117	434.842	381.085	279.536	-308.490	-58.964	0.592
5300	58.120	435.949	382.110	285.348	-308.337	-54.167	0.534
5400	58.123	437.036	383.117	291.160	-308.179	-49.372	0.478
5500	58.126	438.102	384.107	296.972	-308.017	-44.581	0.423
5600	58.128	439.150	385.081	302.785	-307.851	-39.793	0.371
5700	58.131	440.179	386.039	308.598	-307.681	-35.008	0.321
5800	58.133	441.190	386.981	314.411	-307.508	-30.226	0.272
5900	58.135	442.183	387.908	320.225	-307.333	-25.446	0.225
6000	58.138	443.160	388.821	326.038	-307.156	-20.670	0.180
